"Date","Troops","Police","Experts"
1993-12-31,NA,NA,10
1994-01-31,NA,NA,10
1994-02-28,NA,5,10
1994-03-31,NA,5,10
1994-04-30,NA,5,10
1994-05-31,NA,5,10
1994-06-30,NA,5,10
1994-07-31,NA,5,11
1994-08-31,NA,5,11
1994-09-30,NA,10,29
1994-10-31,200,NA,29
1994-11-30,200,NA,29
1994-12-31,200,10,29
1995-01-31,199,10,30
1995-02-28,199,10,30
1995-03-31,199,35,41
1995-04-30,195,35,41
1995-05-31,198,44,40
1995-06-30,198,41,40
1995-07-31,198,41,40
1995-08-31,198,45,40
1995-09-30,132,44,23
1995-10-31,132,47,22
1995-11-30,132,45,22
1995-12-31,132,41,19
1996-01-31,NA,39,10
1996-02-29,NA,39,10
1996-03-31,NA,38,10
1996-04-30,NA,38,10
1996-05-31,NA,77,10
1996-06-30,NA,52,10
1996-07-31,NA,58,10
1996-08-31,NA,54,10
1996-09-30,NA,53,10
1996-10-31,NA,52,10
1996-11-30,NA,52,10
1996-12-31,NA,52,10
1997-01-31,NA,52,10
1997-02-28,NA,53,10
1997-03-31,NA,53,10
1997-04-30,NA,53,9
1997-05-31,NA,53,9
1997-06-30,NA,53,9
1997-07-31,NA,53,9
1997-08-31,NA,68,9
1997-09-30,NA,67,9
1997-10-31,NA,67,9
1997-11-30,NA,40,9
1997-12-31,NA,20,NA
1998-01-31,NA,20,NA
1998-02-28,NA,20,NA
1998-03-31,NA,20,NA
1998-04-30,125,26,NA
1998-05-31,125,26,NA
1998-06-30,125,25,NA
1998-07-31,125,25,NA
1998-08-31,125,26,NA
1998-09-30,125,26,NA
1998-10-31,124,26,NA
1998-11-30,123,26,NA
1998-12-31,123,26,NA
1999-01-31,124,26,NA
1999-02-28,114,16,NA
1999-03-31,124,16,NA
1999-04-30,NA,26,NA
1999-05-31,NA,26,NA
1999-06-30,NA,26,NA
1999-07-31,NA,26,NA
1999-08-31,NA,25,NA
1999-09-30,NA,25,NA
1999-10-31,NA,25,NA
1999-11-30,NA,25,NA
1999-12-31,NA,25,3
2000-01-31,NA,21,2
2000-02-28,NA,10,10
2000-03-31,NA,NA,11
2000-04-30,NA,NA,11
2000-05-31,NA,2,11
2000-06-30,NA,2,11
2000-07-31,NA,NA,11
2000-08-31,NA,NA,11
2000-09-30,NA,NA,11
2000-10-31,NA,NA,11
2000-11-30,NA,NA,11
2000-12-31,NA,NA,9
2001-01-31,NA,NA,9
2001-02-28,NA,NA,9
2001-03-31,NA,2,1
2001-04-30,NA,8,1
2001-05-31,NA,NA,9
2001-06-30,NA,NA,9
2001-07-31,NA,NA,8
2001-08-31,NA,NA,8
2001-09-30,NA,NA,8
2001-10-31,NA,NA,30
2001-11-30,1,NA,30
2001-12-31,1,2,30
2002-01-31,1,2,30
2002-02-28,1,2,30
2002-03-31,1,2,30
2002-04-30,2,2,30
2002-05-31,3,2,29
2002-06-30,3,2,29
2002-07-31,3,2,28
2002-08-30,3,2,29
2002-09-30,3,2,29
2002-10-31,1,2,10
2002-11-30,1,2,10
2002-12-31,1,2,33
2003-01-31,1,1,33
2003-02-28,1,1,32
2003-03-30,1,1,32
2003-04-30,1,1,32
2003-05-31,2,1,30
2003-06-30,2,1,32
2003-07-31,1,2,33
2003-08-31,1,2,33
2003-09-30,2,8,32
2003-10-31,252,8,32
2003-11-30,251,8,33
2003-12-31,251,9,36
2004-01-31,249,10,38
2004-02-28,250,10,38
2004-03-31,250,10,38
2004-04-30,250,10,38
2004-05-31,249,10,34
2004-06-30,5,10,46
2004-07-31,6,10,49
2004-08-31,6,10,48
2004-09-30,5,36,57
2004-10-31,5,36,58
2004-11-30,5,34,56
2004-12-31,5,34,49
2005-01-31,5,34,56
2005-02-28,5,33,54
