"Date","Troops","Police","Experts"
2007-12-31,NA,15,NA
2008-01-31,NA,15,12
2008-02-28,1,15,19
2008-03-31,9,15,10
2008-04-30,5,15,5
2008-05-31,5,15,5
2008-06-30,5,15,5
2008-07-31,NA,15,NA
2008-08-31,NA,14,NA
2008-09-30,NA,14,NA
2008-10-31,NA,14,NA
2008-11-30,NA,9,NA
2008-12-31,NA,9,NA
2009-01-31,NA,1,NA
2009-02-28,NA,1,NA
2012-05-31,NA,NA,10
2012-06-30,NA,NA,10
2012-07-31,NA,NA,3
2013-07-31,5,NA,NA
2013-08-31,4,NA,NA
2013-09-30,4,NA,NA
2013-10-31,4,NA,NA
2013-11-30,4,NA,NA
2013-12-31,4,NA,NA
2014-01-31,4,NA,NA
2014-02-28,4,NA,NA
