"Date","Troops","Police","Experts"
2003-02-28,NA,5,NA
2003-03-30,NA,7,NA
2003-04-30,NA,7,NA
2003-05-31,NA,7,NA
2003-06-30,NA,7,NA
2003-07-31,NA,7,NA
2003-08-31,NA,7,NA
2003-09-30,NA,7,NA
2003-10-31,NA,7,NA
2003-11-30,NA,7,NA
2003-12-31,NA,7,NA
2004-01-31,NA,7,NA
2004-02-28,NA,7,NA
2004-03-31,NA,5,NA
2004-04-30,NA,5,NA
2004-07-31,NA,2,NA
2004-08-31,NA,2,NA
2004-09-30,NA,2,NA
2004-10-31,NA,4,NA
2004-11-30,NA,4,NA
2004-12-31,NA,4,NA
2005-01-31,NA,4,NA
2005-02-28,NA,4,NA
2005-03-31,NA,4,NA
2005-04-30,NA,4,NA
2005-05-31,NA,4,NA
2005-06-30,NA,4,NA
2005-07-31,NA,4,NA
2005-08-31,NA,4,NA
2005-09-30,NA,2,NA
2006-01-31,NA,2,NA
2006-02-28,NA,2,NA
2006-03-31,NA,2,NA
2006-04-30,NA,2,NA
2006-05-31,NA,2,NA
2006-06-30,NA,2,NA
2006-07-31,NA,2,NA
2006-08-31,NA,2,NA
2006-09-30,NA,2,NA
2006-10-31,NA,2,NA
2006-11-30,NA,2,NA
2006-12-31,NA,2,NA
2007-01-31,NA,2,NA
2007-02-28,NA,2,NA
2007-03-31,NA,2,NA
2007-04-30,NA,2,NA
2007-05-31,NA,2,NA
2007-06-30,NA,1,NA
2007-07-31,NA,1,NA
2007-08-31,NA,1,NA
2007-09-30,NA,1,NA
2007-10-31,NA,1,NA
2007-11-30,NA,1,NA
2007-12-31,NA,4,NA
2008-01-31,NA,4,NA
