"Date","Troops","Police","Experts"
1992-02-29,NA,120,NA
1992-03-31,NA,110,NA
1992-04-30,NA,113,NA
1992-05-31,NA,113,NA
1992-06-30,NA,113,NA
1992-07-31,NA,113,NA
1992-08-31,NA,112,NA
1992-09-30,NA,112,NA
1992-10-31,NA,111,NA
1992-11-30,NA,111,NA
1992-12-31,NA,111,NA
1993-01-31,NA,108,NA
1993-02-28,NA,108,NA
1993-03-31,NA,108,NA
1993-04-30,NA,107,NA
1993-05-31,NA,107,NA
1993-06-30,NA,107,NA
1993-07-31,NA,107,NA
1993-08-31,NA,97,NA
1993-09-30,NA,97,NA
1993-10-31,NA,50,NA
1993-11-30,NA,50,NA
1993-12-31,NA,50,NA
1994-01-31,NA,50,NA
1994-02-28,NA,50,NA
1994-03-31,NA,49,NA
1994-04-30,NA,49,NA
1994-05-31,NA,39,NA
1994-06-30,NA,39,NA
1994-07-31,NA,38,NA
1994-08-31,NA,37,NA
1994-09-30,NA,29,NA
1994-10-31,NA,29,NA
1994-11-30,NA,4,NA
1994-12-31,NA,4,NA
1995-01-31,NA,4,NA
1995-02-28,NA,4,NA
1995-03-31,NA,4,NA
1995-04-30,NA,4,NA
