"Date","Troops","Police","Experts"
1991-07-31,10,NA,NA
1991-08-31,10,NA,NA
1991-09-30,15,NA,NA
1991-10-31,15,NA,NA
1991-11-30,15,9,NA
1991-12-31,15,9,NA
1992-01-31,15,9,NA
1992-02-29,15,9,NA
1992-03-31,15,9,NA
1992-04-30,14,9,NA
1992-05-31,14,9,NA
1992-06-30,14,9,NA
1992-07-31,14,9,NA
1992-08-31,NA,111,19
1992-09-30,NA,98,20
1992-10-31,NA,98,18
1992-11-30,NA,104,10
1992-12-31,NA,104,10
1993-01-31,NA,99,5
1993-02-28,NA,98,5
1993-03-31,NA,101,NA
1993-04-30,NA,99,NA
1993-05-31,1284,99,NA
1993-06-30,1341,99,NA
1993-07-31,1340,99,NA
1993-08-31,1346,2,NA
1993-09-30,1347,2,NA
1993-10-31,1424,1,NA
1993-11-30,1361,1,NA
1993-12-31,1431,1,NA
1994-01-31,1410,1,NA
1994-02-28,1382,1,NA
1994-03-31,1375,1,NA
1994-04-30,1375,1,NA
1994-05-31,NA,2,NA
1994-06-30,NA,2,NA
1994-07-31,NA,2,NA
1994-08-31,NA,2,NA
1994-09-30,NA,2,NA
1994-10-31,NA,2,NA
1994-11-30,NA,2,NA
1994-12-31,NA,2,NA
1995-01-31,NA,2,NA
1995-02-28,NA,2,NA
1995-03-31,NA,2,NA
1995-04-30,NA,2,NA
1995-05-31,NA,2,NA
1995-06-30,NA,2,NA
1995-07-31,NA,2,NA
1995-08-31,NA,1,NA
1995-09-30,NA,1,NA
1995-10-31,NA,1,NA
1995-11-30,NA,1,NA
2000-06-30,NA,NA,4
2000-07-31,NA,NA,4
2000-08-31,NA,NA,4
2000-09-30,NA,NA,4
2000-10-31,2,NA,2
2000-11-30,2,NA,2
2000-12-31,2,NA,2
2001-01-31,4,NA,NA
2001-02-28,4,NA,NA
2001-03-31,4,NA,NA
2002-08-30,658,NA,NA
2002-09-30,658,NA,NA
2002-10-31,658,NA,NA
2002-11-30,658,NA,NA
2002-12-31,658,NA,NA
2003-01-31,658,NA,NA
2003-02-28,658,NA,NA
2003-03-30,658,NA,1
2003-04-30,657,NA,1
2003-05-31,658,NA,1
2003-06-30,657,NA,1
2003-07-31,657,NA,1
2003-08-31,657,NA,1
2003-09-30,657,NA,1
2003-10-31,657,NA,1
2003-11-30,657,NA,1
2003-12-31,656,NA,1
2004-01-31,832,4,1
2004-02-28,829,4,1
2004-03-31,804,4,1
2004-04-30,853,4,1
2004-05-31,1538,4,1
2004-06-30,1539,4,2
2004-07-31,1538,4,2
2004-08-31,1535,4,2
2004-09-30,1535,4,2
2004-10-31,1535,4,2
2004-11-30,1698,4,2
2004-12-31,1698,4,2
2005-01-31,1698,4,2
2005-02-28,1701,4,2
2005-03-31,1703,4,2
2005-04-30,1703,4,2
2005-05-31,1703,NA,3
2005-06-30,1704,NA,2
2005-07-31,1705,NA,2
2005-08-31,1705,NA,2
2005-09-30,1705,NA,2
2005-10-31,1703,NA,5
2005-11-30,1701,NA,6
2005-12-31,1701,NA,5
2006-01-31,1701,NA,5
2006-02-28,1701,NA,5
2006-03-31,1573,NA,5
2006-04-30,1544,NA,5
2006-05-31,1542,NA,6
2006-06-30,1538,NA,5
2006-07-31,1543,NA,5
2006-08-31,1543,NA,5
2006-09-30,1543,NA,5
2006-10-31,1545,NA,5
2006-11-30,1545,NA,6
2006-12-31,1545,NA,5
2007-01-31,1545,NA,5
2007-02-28,1544,NA,5
2007-03-31,1544,NA,6
2007-04-30,1544,NA,6
2007-05-31,1545,NA,6
2007-06-30,1544,NA,4
2007-07-31,1533,NA,4
2007-08-31,1533,NA,3
2007-09-30,1533,NA,4
2007-10-31,1533,NA,4
2007-11-30,1533,NA,4
2007-12-31,1534,NA,4
2008-01-31,1534,NA,5
2008-02-28,1534,NA,5
2008-03-31,1558,NA,4
2008-04-30,1556,NA,4
2008-05-31,1556,NA,5
2008-06-30,1556,NA,5
2008-07-31,1556,NA,5
2008-08-31,1555,NA,5
2008-09-30,1555,NA,4
2008-10-31,1554,NA,6
2008-11-30,1554,NA,6
2008-12-31,1555,NA,5
2009-01-31,1556,NA,5
2009-02-28,1556,NA,5
2009-03-31,1556,NA,5
2009-04-30,1556,NA,4
2009-05-31,1555,NA,4
2009-06-30,1557,NA,4
2009-07-31,1557,NA,4
