"Date","Troops","Police","Experts"
1999-10-31,NA,5,NA
1999-11-30,NA,5,NA
1999-12-31,NA,3,NA
2000-02-28,NA,3,NA
2000-03-31,NA,3,2
2000-04-30,NA,3,2
2000-05-31,10,3,2
2000-06-30,10,3,2
2000-07-31,10,3,2
2000-08-31,10,3,2
2000-09-30,10,3,2
2000-10-31,10,3,2
2000-11-30,10,3,2
2000-12-31,10,3,2
2001-01-31,10,3,1
2001-02-28,10,3,1
2001-03-31,10,3,2
2001-04-30,388,3,4
2001-05-31,640,3,2
2001-06-30,628,4,4
2001-07-31,628,4,4
2001-08-31,628,4,4
2001-09-30,627,1,4
2001-10-31,628,1,4
2001-11-30,628,9,4
2001-12-31,628,1,4
2002-01-31,627,1,4
2002-02-28,628,7,3
2002-03-31,618,7,2
2002-04-30,620,7,4
2002-05-31,619,6,4
2002-06-30,657,6,4
2002-07-31,658,6,4
2002-08-30,NA,6,4
2002-09-30,NA,6,4
2002-10-31,NA,6,4
2002-11-30,NA,6,4
2002-12-31,NA,6,4
2003-01-31,NA,6,4
2003-02-28,NA,2,4
2003-03-30,NA,2,4
2003-04-30,NA,2,4
2003-05-31,NA,NA,4
2003-06-30,NA,NA,4
2003-07-31,NA,NA,4
2003-08-31,NA,NA,4
2003-09-30,NA,NA,4
2003-10-31,NA,NA,4
2003-11-30,NA,NA,4
2003-12-31,NA,NA,4
2004-01-31,NA,NA,4
2004-02-28,NA,NA,4
2004-03-31,NA,NA,4
2004-04-30,NA,NA,4
2004-05-31,NA,NA,4
2004-06-30,227,NA,5
2004-07-31,228,NA,6
2004-08-31,229,NA,6
2004-09-30,227,NA,7
2004-10-31,227,NA,7
2004-11-30,224,NA,7
2004-12-31,184,NA,7
2005-01-31,184,NA,7
2005-02-28,184,NA,7
2005-03-31,186,NA,7
2005-04-30,186,NA,7
2005-05-31,184,NA,6
2005-06-30,183,NA,6
2005-07-31,183,NA,5
2005-08-31,184,NA,5
2005-09-30,184,NA,5
2005-10-31,183,NA,5
2005-11-30,179,NA,5
2005-12-31,12,NA,6
2006-01-31,12,NA,8
2006-02-28,4,NA,8
2006-03-31,4,NA,8
2006-04-30,4,NA,8
2006-05-31,4,NA,8
2006-06-30,2,NA,6
2006-07-31,1,NA,7
2006-08-31,NA,NA,7
2006-09-30,NA,NA,7
2006-10-31,NA,NA,7
2006-11-30,NA,NA,7
2006-12-31,NA,NA,2
2007-03-31,NA,NA,1
2007-04-30,NA,NA,1
2007-05-31,NA,NA,1
2007-06-30,NA,NA,1
2007-07-31,NA,NA,3
2007-08-31,NA,NA,3
2007-09-30,NA,NA,3
2007-10-31,NA,NA,3
2007-11-30,NA,NA,3
2007-12-31,NA,NA,3
2008-01-31,1,NA,5
2008-02-28,1,NA,10
2008-03-31,3,NA,6
2008-04-30,3,NA,5
2008-05-31,3,NA,6
2008-06-30,3,NA,6
2008-07-31,3,NA,4
2008-08-31,NA,NA,7
2008-09-30,NA,NA,3
2008-10-31,NA,NA,3
2008-11-30,NA,NA,5
2008-12-31,NA,NA,10
2009-01-31,NA,NA,10
2009-02-28,NA,NA,8
2009-03-31,NA,NA,8
2009-04-30,NA,NA,8
2009-05-31,NA,NA,10
2009-06-30,NA,NA,9
2009-07-31,NA,NA,9
2009-08-31,NA,NA,9
2009-09-30,NA,NA,9
2009-10-31,NA,NA,9
2009-11-30,NA,NA,8
2009-12-31,NA,NA,3
2010-01-31,NA,NA,3
2010-02-28,NA,NA,3
2010-03-31,NA,NA,3
2010-04-30,NA,NA,3
2010-05-31,NA,NA,1
2010-06-30,NA,NA,1
2010-07-31,NA,NA,2
2010-08-31,NA,NA,2
2010-09-30,NA,NA,2
2010-10-31,NA,NA,1
2010-11-30,NA,NA,1
2010-12-31,NA,NA,1
2011-01-31,NA,NA,1
2011-02-28,NA,NA,1
2011-03-31,NA,NA,1
2011-04-30,NA,NA,1
2011-05-31,NA,NA,1
2011-06-30,NA,NA,1
2011-09-30,NA,NA,1
2011-10-31,NA,NA,1
2011-11-30,NA,NA,1
2011-12-31,NA,NA,1
2012-01-31,NA,NA,1
2012-02-28,NA,NA,1
2012-03-31,NA,NA,1
2012-04-30,NA,NA,1
2012-05-31,NA,NA,2
2012-06-30,NA,NA,2
2012-07-31,NA,NA,2
2012-08-31,NA,NA,2
2012-09-30,NA,NA,1
2012-10-31,NA,NA,1
2012-11-30,NA,NA,1
2012-12-31,NA,NA,1
2013-01-31,NA,NA,1
2013-02-28,NA,NA,1
2013-03-31,NA,NA,1
2013-04-30,NA,NA,1
2013-05-31,NA,NA,1
2013-10-31,NA,NA,1
2013-11-30,NA,NA,1
2013-12-31,NA,NA,1
2014-01-31,NA,NA,1
2014-02-28,NA,NA,1
