"Date","Troops","Police","Experts"
1996-01-31,199,NA,NA
1996-02-29,200,NA,NA
1996-03-31,212,NA,NA
1996-04-30,209,NA,NA
1996-05-31,208,NA,NA
1996-06-30,205,NA,NA
1996-07-31,207,NA,NA
1996-08-31,209,NA,NA
1996-09-30,209,NA,NA
1996-10-31,209,NA,NA
1996-11-30,209,NA,NA
1996-12-31,206,NA,NA
1997-01-31,206,NA,NA
1997-02-28,204,NA,NA
1997-03-31,207,NA,NA
1997-04-30,207,NA,NA
1997-05-31,203,NA,NA
1997-06-30,199,NA,NA
1997-07-31,196,NA,NA
1997-08-31,195,NA,NA
1997-09-30,194,NA,NA
1997-10-31,194,NA,NA
1997-11-30,193,NA,NA
1997-12-31,192,20,9
1998-01-31,192,20,9
1998-02-28,150,19,3
1998-03-31,152,18,3
1998-04-30,150,18,3
1998-05-31,150,18,3
1998-06-30,148,29,3
1998-07-31,144,27,3
1998-08-31,140,24,3
1998-09-30,140,21,3
1998-10-31,138,21,3
1998-11-30,136,20,3
1998-12-31,136,20,3
1999-01-31,136,9,3
1999-02-28,7,1,NA
1999-12-31,NA,1,NA
2000-01-31,NA,1,NA
2000-02-28,NA,1,NA
2000-03-31,NA,1,NA
2000-04-30,NA,1,NA
2000-05-31,NA,10,NA
2000-06-30,NA,10,NA
2000-07-31,NA,10,NA
2000-08-31,NA,10,NA
2000-09-30,NA,10,NA
2000-10-31,NA,10,NA
2000-11-30,NA,10,NA
2000-12-31,NA,10,NA
2001-01-31,NA,9,3
2001-02-28,NA,9,3
2001-03-31,NA,10,3
2001-04-30,NA,9,3
2001-05-31,NA,7,3
2001-06-30,2,7,3
2001-07-31,2,7,3
2001-08-31,2,7,3
2001-09-30,2,7,3
2001-10-31,2,7,3
2001-11-30,2,7,3
2001-12-31,2,7,3
2002-01-31,2,7,3
2002-02-28,2,7,3
2002-03-31,2,7,3
2002-04-30,2,7,3
2002-05-31,3,NA,3
2002-06-30,3,NA,3
2002-07-31,2,NA,3
2002-08-30,2,NA,3
2002-09-30,2,NA,3
2002-10-31,2,46,3
2002-11-30,2,NA,3
2002-12-31,2,NA,3
2003-01-31,2,NA,NA
2003-02-28,2,NA,3
2003-03-30,2,NA,3
2003-04-30,2,2,3
2003-05-31,2,2,3
2003-06-30,1,2,3
2003-07-31,1,2,3
2003-08-31,1,2,3
2003-09-30,1,2,3
2003-10-31,2,2,3
2003-11-30,4,2,5
2003-12-31,4,2,7
2004-01-31,118,2,7
2004-02-28,858,2,8
2004-03-31,850,2,8
2004-04-30,850,8,10
2004-05-31,849,8,10
2004-06-30,834,8,11
2004-07-31,832,8,13
2004-08-31,832,8,13
2004-09-30,864,8,13
2004-10-31,864,10,12
2004-11-30,866,10,13
2004-12-31,866,8,11
2005-01-31,866,8,12
2005-02-28,863,8,11
2005-03-31,859,8,13
2005-04-30,854,8,13
2005-05-31,860,8,15
2005-06-30,860,8,14
2005-07-31,858,8,15
2005-08-31,866,8,15
2005-09-30,867,8,15
2005-10-31,864,9,15
2005-11-30,863,9,21
2005-12-31,862,7,21
2006-01-31,863,7,24
2006-02-28,863,7,23
2006-03-31,629,7,23
2006-04-30,616,7,23
2006-05-31,616,7,23
2006-06-30,616,7,23
2006-07-31,615,7,23
2006-08-31,614,7,22
2006-09-30,614,7,20
2006-10-31,614,7,20
2006-11-30,614,7,15
2006-12-31,616,7,19
2007-01-31,615,14,18
2007-02-28,615,18,19
2007-03-31,615,20,18
2007-04-30,618,20,16
2007-05-31,617,20,18
2007-06-30,617,20,18
2007-07-31,616,19,15
2007-08-31,616,20,15
2007-09-30,616,20,15
2007-10-31,7,19,17
2007-11-30,7,20,17
2007-12-31,7,20,16
2008-01-31,9,18,24
2008-02-28,10,7,25
2008-03-31,16,16,24
2008-04-30,14,18,24
2008-05-31,7,20,11
2008-06-30,7,20,13
2008-07-31,7,20,13
2008-08-31,6,18,12
2008-09-30,5,18,13
2008-10-31,5,18,13
2008-11-30,15,25,18
2008-12-31,15,25,18
2009-01-31,15,25,14
2009-02-28,14,23,16
2009-03-31,18,25,13
2009-04-30,20,25,15
2009-05-31,19,25,15
2009-06-30,19,25,16
2009-07-31,19,26,15
2009-08-31,17,36,15
2009-09-30,19,40,15
2009-10-31,15,36,11
2009-11-30,9,34,15
2009-12-31,9,33,14
2010-01-31,9,33,17
2010-02-28,9,33,16
2010-03-31,5,66,19
2010-04-30,5,64,18
2010-05-31,5,63,17
2010-06-30,9,63,17
2010-07-31,9,62,17
2010-08-31,9,64,20
2010-09-30,10,64,19
2010-10-31,10,64,20
2010-11-30,9,64,23
2010-12-31,5,64,19
2011-01-31,5,64,21
2011-02-28,6,61,18
2011-03-31,6,61,12
2011-04-30,5,61,17
2011-05-31,6,58,18
2011-06-30,5,61,14
2011-07-31,6,50,9
2011-08-31,6,63,12
2011-09-30,6,58,12
2011-10-31,5,53,12
2011-11-30,5,58,14
2011-12-31,5,58,14
2012-01-31,4,58,14
2012-02-28,3,58,15
2012-03-31,3,55,15
2012-04-30,4,55,10
2012-05-31,4,55,12
