"Date","Troops","Police","Experts"
1990-11-30,851,NA,NA
1990-12-31,851,NA,NA
1991-01-31,851,NA,NA
1991-02-28,851,NA,NA
1991-03-31,849,NA,NA
1991-04-30,851,NA,NA
1991-05-31,851,NA,NA
1991-06-30,851,NA,NA
1991-07-31,851,NA,NA
1991-08-31,851,NA,NA
1991-09-30,852,NA,NA
1991-10-31,851,NA,NA
1991-11-30,851,NA,NA
1991-12-31,850,NA,NA
1992-01-31,850,NA,NA
1992-02-29,850,NA,NA
1992-03-31,861,NA,NA
1992-04-30,870,14,NA
1992-05-31,870,14,NA
1992-06-30,870,14,NA
1992-07-31,870,14,NA
1992-08-31,1741,130,6
1992-09-30,1536,130,6
1992-10-31,1687,130,6
1992-11-30,1686,130,6
1992-12-31,1624,130,6
1993-01-31,1622,129,6
1993-02-28,1623,130,6
1993-03-31,1623,130,6
1993-04-30,1620,130,6
1993-05-31,1615,130,6
1993-06-30,1616,51,6
1993-07-31,1615,130,6
1993-08-31,1618,51,6
1993-09-30,1618,51,6
1993-10-31,1830,51,6
1993-11-30,1932,50,6
1993-12-31,1936,50,6
1994-01-31,1932,50,6
1994-02-28,1935,50,6
1994-03-31,1938,50,6
1994-04-30,1936,46,6
1994-05-31,1939,50,6
1994-06-30,1936,100,6
1994-07-31,1936,100,6
1994-08-31,1936,99,6
1994-09-30,1936,100,6
1994-10-31,1573,100,5
1994-11-30,1572,99,5
1994-12-31,1570,91,5
1995-01-31,1569,50,5
1995-02-28,1567,35,5
1995-03-31,2067,92,5
1995-04-30,1978,103,5
1995-05-31,1976,96,5
1995-06-30,1972,95,5
1995-07-31,1971,85,5
1995-08-31,1871,69,6
1995-09-30,1244,54,6
1995-10-31,1244,54,7
1995-11-30,1099,53,7
1995-12-31,1081,54,7
1996-01-31,1081,54,6
1996-02-29,685,22,5
1996-03-31,599,162,5
1996-04-30,599,161,4
1996-05-31,599,161,6
1996-06-30,600,161,5
1996-07-31,600,161,6
1996-08-31,600,161,5
1996-09-30,599,161,5
1996-10-31,599,160,5
1996-11-30,598,159,7
1996-12-31,598,158,11
1997-01-31,598,149,11
1997-02-28,598,156,11
1997-03-31,597,156,11
1997-04-30,597,155,10
1997-05-31,597,62,10
1997-06-30,597,62,10
1997-07-31,597,62,10
1997-08-31,596,61,5
1997-09-30,597,61,4
1997-10-31,597,61,4
1997-11-30,597,61,4
1997-12-31,596,61,4
1998-01-31,596,61,2
1998-02-28,594,60,2
1998-03-31,599,47,2
1998-04-30,600,44,2
1998-05-31,600,44,2
1998-06-30,601,41,7
1998-07-31,601,44,7
1998-08-31,602,47,7
1998-09-30,604,41,4
1998-10-31,604,41,4
1998-11-30,604,41,4
1998-12-31,604,41,4
1999-01-31,604,41,4
1999-02-28,604,41,3
1999-03-31,604,41,2
1999-04-30,605,41,3
1999-05-31,601,41,3
1999-06-30,601,41,3
1999-07-31,600,69,3
1999-08-31,599,33,2
1999-09-30,601,28,11
1999-10-31,601,23,10
1999-11-30,601,23,10
1999-12-31,404,24,17
2000-01-31,605,27,17
2000-02-28,609,27,17
2000-03-31,623,100,21
2000-04-30,765,123,21
2000-05-31,765,123,22
2000-06-30,765,124,22
2000-07-31,872,124,22
2000-08-31,871,124,23
2000-09-30,890,124,23
2000-10-31,884,124,25
2000-11-30,882,124,23
2000-12-31,883,124,23
2001-01-31,884,124,22
2001-02-28,884,124,22
2001-03-31,885,69,26
2001-04-30,882,103,31
2001-05-31,881,103,25
2001-06-30,881,98,28
2001-07-31,161,98,29
2001-08-31,198,98,31
2001-09-30,200,98,31
2001-10-31,385,97,31
2001-11-30,966,112,33
2001-12-31,968,119,34
2002-01-31,969,115,34
2002-02-28,969,120,34
2002-03-31,969,124,36
2002-04-30,965,90,36
2002-05-31,965,90,36
2002-06-30,966,53,36
2002-07-31,966,52,36
2002-08-30,961,102,38
2002-09-30,966,100,32
2002-10-31,814,38,38
2002-11-30,807,84,38
2002-12-31,810,67,37
2003-01-31,808,72,37
2003-02-28,809,72,37
2003-03-30,809,75,42
2003-04-30,810,74,37
2003-05-31,809,75,38
2003-06-30,811,74,39
2003-07-31,811,75,39
2003-08-31,811,72,39
2003-09-30,811,72,38
2003-10-31,1623,64,39
2003-11-30,2077,61,40
2003-12-31,2077,166,42
2004-01-31,2078,173,43
2004-02-28,2077,182,43
2004-03-31,2077,170,45
2004-04-30,2076,170,44
2004-05-31,2078,181,42
2004-06-30,1284,300,45
2004-07-31,1283,308,46
2004-08-31,1970,308,45
2004-09-30,2267,302,45
2004-10-31,2266,337,43
2004-11-30,2346,334,42
2004-12-31,2967,440,44
2005-01-31,2968,440,45
2005-02-28,2868,442,45
2005-03-31,2869,440,45
2005-04-30,2870,315,45
2005-05-31,3086,430,43
2005-06-30,3091,430,41
2005-07-31,3096,431,43
2005-08-31,3089,431,43
2005-09-30,2960,421,37
2005-10-31,3003,401,43
2005-11-30,2994,425,41
2005-12-31,2994,431,39
2006-01-31,3023,448,46
2006-02-28,3011,448,49
2006-03-31,3011,448,39
2006-04-30,3009,466,48
2006-05-31,3001,471,48
2006-06-30,3011,470,33
2006-07-31,2998,467,43
2006-08-31,3012,465,45
2006-09-30,2993,462,44
2006-10-31,3004,476,42
2006-11-30,2357,484,49
2006-12-31,2069,493,45
2007-01-31,2144,523,43
2007-02-28,2801,525,43
2007-03-31,3043,540,43
2007-04-30,3045,541,42
2007-05-31,3054,537,44
2007-06-30,3049,559,43
2007-07-31,3047,568,47
2007-08-31,3042,568,46
2007-09-30,3048,578,48
2007-10-31,3050,581,43
2007-11-30,3052,578,43
2007-12-31,3051,577,48
2008-01-31,3050,574,51
2008-02-28,3054,537,51
2008-03-31,3063,557,47
2008-04-30,3061,560,48
2008-05-31,3066,597,48
2008-06-30,3063,605,50
2008-07-31,3060,582,52
2008-08-31,3031,592,58
2008-09-30,3037,604,60
2008-10-31,3044,810,61
2008-11-30,3053,804,61
2008-12-31,3052,809,59
2009-01-31,3055,809,60
2009-02-28,3028,799,61
2009-03-31,3043,803,58
2009-04-30,3044,755,57
2009-05-31,3046,782,56
2009-06-30,3334,759,55
2009-07-31,3343,759,57
2009-08-31,3051,819,57
2009-09-30,3326,824,61
2009-10-31,3451,839,58
2009-11-30,3431,846,58
2009-12-31,3437,814,60
2010-01-31,4212,888,62
2010-02-28,4221,901,64
2010-03-31,4197,911,63
2010-04-30,4342,910,66
2010-05-31,4344,971,66
2010-06-30,4128,957,63
2010-07-31,4072,961,64
2010-08-31,4080,984,65
2010-09-30,4072,913,59
2010-10-31,3770,906,59
2010-11-30,3769,903,59
2010-12-31,3491,886,54
2011-01-31,3489,885,56
2011-02-28,3492,883,55
2011-03-31,3487,814,54
2011-04-30,3489,817,54
2011-05-31,3491,772,58
2011-06-30,3489,753,52
2011-07-31,3483,743,45
2011-08-31,3483,797,60
2011-09-30,3486,794,53
2011-10-31,3557,844,53
2011-11-30,3501,730,50
2011-12-31,2809,735,53
2012-01-31,2803,745,53
2012-02-28,2808,739,62
2012-03-31,2817,789,62
2012-04-30,2822,799,60
2012-05-31,3058,801,54
2012-06-30,3092,799,71
2012-07-31,3092,824,66
2012-08-31,3092,826,61
2012-09-30,3744,847,60
2012-10-31,3742,734,58
2012-11-30,3715,716,61
2012-12-31,3651,718,60
2013-01-31,3677,728,57
