"Date","Troops","Police","Experts"
1990-11-30,15,NA,NA
1990-12-31,15,NA,NA
1991-01-31,15,NA,NA
1991-02-28,15,NA,NA
1991-03-31,15,NA,NA
1991-05-31,17,NA,NA
1991-06-30,16,NA,NA
1991-07-31,24,NA,NA
1991-08-31,22,NA,NA
1991-09-30,25,10,NA
1991-10-31,30,NA,NA
1991-11-30,30,10,NA
1991-12-31,30,10,NA
1992-01-31,26,10,NA
1992-02-29,37,10,NA
1992-03-31,52,10,NA
1992-04-30,398,12,NA
1992-05-31,398,12,NA
1992-06-30,398,12,NA
1992-07-31,398,12,NA
1992-08-31,1212,14,37
1992-09-30,1253,14,38
1992-10-31,1243,14,38
1992-11-30,1943,11,62
1992-12-31,1859,14,61
1993-01-31,1753,13,63
1993-02-28,1836,9,60
1993-03-31,1831,9,59
1993-04-30,1915,9,59
1993-05-31,1849,8,59
1993-06-30,1851,5,57
1993-07-31,1893,4,55
1993-08-31,1829,2,54
1993-09-30,2691,2,66
1993-10-31,1077,2,67
1993-11-30,1019,12,84
1993-12-31,1023,12,79
1994-01-31,1083,12,78
1994-02-28,1515,12,77
1994-03-31,1648,12,77
1994-04-30,2154,11,76
1994-05-31,2163,19,77
1994-06-30,1954,19,77
1994-07-31,2107,18,78
1994-08-31,1913,18,77
1994-09-30,1828,16,67
1994-10-31,1847,13,67
1994-11-30,1814,13,65
1994-12-31,1811,13,65
1995-01-31,1694,20,77
1995-02-28,1727,19,77
1995-03-31,1819,20,77
1995-04-30,1830,20,78
1995-05-31,1829,20,77
1995-06-30,1502,11,77
1995-07-31,1417,9,76
1995-08-31,1240,16,76
1995-09-30,1141,16,76
1995-10-31,1243,18,60
1995-11-30,1055,18,45
1995-12-31,194,18,41
1996-01-31,183,18,29
1996-02-29,26,8,28
1996-03-31,22,8,28
1996-04-30,15,8,28
1996-05-31,14,58,28
1996-06-30,14,58,27
1996-07-31,12,58,26
1996-08-31,14,60,25
1996-09-30,13,60,24
1996-10-31,19,61,25
1996-11-30,15,61,25
1996-12-31,15,60,25
1997-01-31,15,61,28
1997-02-28,15,59,28
1997-03-31,14,61,30
1997-04-30,8,60,27
1997-05-31,8,60,27
1997-06-30,8,60,30
1997-07-31,8,50,12
1997-08-31,7,77,14
1997-09-30,4,53,12
1997-10-31,4,52,12
1997-11-30,NA,81,12
1997-12-31,NA,52,12
1998-01-31,NA,52,12
1998-02-28,NA,55,12
1998-03-31,NA,55,12
1998-04-30,NA,55,12
1998-05-31,NA,55,12
1998-06-30,102,54,13
1998-07-31,101,53,13
1998-08-31,100,52,12
1998-09-30,101,54,12
1998-10-31,102,54,12
1998-11-30,101,54,12
1998-12-31,101,54,12
1999-01-31,104,53,13
1999-02-28,103,55,12
1999-03-31,104,55,11
1999-04-30,102,55,12
1999-05-31,106,45,12
1999-06-30,104,54,10
1999-07-31,104,53,11
1999-08-31,103,52,11
1999-09-30,101,53,12
1999-10-31,100,52,12
1999-11-30,100,52,12
1999-12-31,99,53,12
2000-01-31,101,56,8
2000-02-28,101,53,12
2000-03-31,101,53,12
2000-04-30,99,53,12
2000-05-31,98,50,12
2000-06-30,100,54,12
2000-07-31,99,51,12
2000-08-31,100,51,13
2000-09-30,99,51,13
2000-10-31,98,50,15
2000-11-30,162,51,14
2000-12-31,881,51,14
2001-01-31,890,51,14
2001-02-28,890,51,14
2001-03-31,885,53,14
2001-04-30,899,53,14
2001-05-31,812,55,14
2001-06-30,7,55,12
2001-07-31,7,55,12
2001-08-31,6,55,13
2001-09-30,7,55,12
2001-10-31,7,53,12
2001-11-30,2,53,13
2001-12-31,3,53,12
2002-01-31,3,52,11
2002-02-28,3,54,13
2002-03-31,3,53,11
2002-04-30,3,53,11
2002-05-31,3,55,12
2002-06-30,3,55,12
2002-07-31,2,54,12
2002-08-30,2,55,13
2002-09-30,2,54,13
2002-10-31,2,54,13
2002-11-30,NA,54,13
2002-12-31,NA,NA,13
2003-01-31,NA,NA,13
2003-02-28,NA,NA,12
2003-03-30,NA,NA,12
2003-04-30,NA,NA,12
2003-05-31,NA,NA,12
2003-06-30,NA,NA,12
2003-07-31,NA,NA,11
2003-08-31,NA,NA,13
2003-09-30,NA,NA,13
2003-10-31,NA,NA,13
2003-11-30,270,415,12
2003-12-31,266,4,12
2004-01-31,266,4,12
2004-02-28,NA,4,13
2004-03-31,NA,4,14
2004-04-30,NA,4,13
2004-05-31,12,4,NA
2004-06-30,NA,4,12
2004-07-31,NA,4,12
2004-08-31,NA,4,12
2004-09-30,1,5,12
2004-10-31,1,6,12
2004-11-30,1,6,13
2004-12-31,1,6,13
2005-01-31,1,6,13
2005-02-28,1,6,17
2005-03-31,2,6,16
2005-04-30,1,6,13
2005-05-31,1,6,1
2005-06-30,2,6,NA
2005-07-31,2,6,NA
2005-08-31,2,6,NA
2005-09-30,1,9,NA
2005-10-31,1,9,13
2005-11-30,1,9,1
2005-12-31,1,9,1
2006-01-31,NA,9,22
2006-02-28,NA,9,22
2006-03-31,2,9,23
2006-04-30,2,9,29
2006-05-31,2,9,21
2006-06-30,2,15,16
2006-07-31,4,21,15
2006-08-31,2,21,15
2006-09-30,2,20,33
2006-10-31,2,20,28
2006-11-30,2,19,32
2006-12-31,163,19,23
2007-01-31,174,22,31
2007-02-28,174,22,26
2007-03-31,174,23,26
2007-04-30,174,22,26
2007-05-31,155,22,26
2007-06-30,158,16,26
2007-07-31,158,21,26
2007-08-31,154,21,26
2007-09-30,154,21,26
2007-10-31,154,21,19
2007-11-30,154,21,26
2007-12-31,154,21,27
2008-01-31,176,6,27
2008-02-28,233,21,27
2008-03-31,3,21,27
2008-04-30,4,21,27
2008-05-31,5,22,27
2008-06-30,4,22,34
2008-07-31,4,22,27
2008-08-31,4,21,27
2008-09-30,2,21,26
2008-10-31,5,21,25
2008-11-30,2,22,27
2008-12-31,3,22,19
2009-01-31,2,22,24
2009-02-28,1,23,25
2009-03-31,3,23,25
2009-04-30,5,22,25
2009-05-31,3,22,25
2009-06-30,2,22,30
2009-07-31,2,22,24
2009-08-31,2,20,24
2009-09-30,3,20,24
2009-10-31,3,20,23
2009-11-30,3,19,24
2009-12-31,3,19,18
2010-01-31,3,19,24
2010-02-28,3,21,24
