"Date","Troops","Police","Experts"
1990-11-30,22,NA,NA
1990-12-31,22,NA,NA
1991-01-31,22,NA,NA
1991-02-28,22,NA,NA
1991-03-31,4,NA,NA
1991-05-31,4,NA,NA
1991-06-30,4,NA,NA
1991-07-31,9,NA,NA
1991-08-31,9,NA,NA
1991-09-30,9,NA,NA
1991-10-31,16,NA,NA
1991-11-30,38,NA,NA
1991-12-31,40,NA,NA
1992-01-31,39,NA,NA
1992-02-29,42,NA,NA
1992-03-31,42,NA,NA
1992-04-30,47,NA,NA
1992-05-31,47,NA,NA
1992-06-30,47,NA,NA
1992-07-31,47,NA,NA
1992-08-31,98,NA,23
1992-09-30,97,NA,24
1992-10-31,93,NA,21
1992-11-30,92,NA,20
1992-12-31,102,NA,19
1993-01-31,125,NA,16
1993-02-28,124,NA,14
1993-03-31,97,NA,14
1993-04-30,87,NA,14
1993-05-31,110,NA,14
1993-06-30,109,NA,16
1993-07-31,110,NA,16
1993-08-31,109,NA,16
1993-09-30,104,NA,16
1993-10-31,57,NA,16
1993-11-30,41,NA,19
1993-12-31,46,NA,19
1994-01-31,44,NA,19
1994-02-28,44,NA,19
1994-03-31,46,NA,19
1994-04-30,52,NA,19
1994-05-31,52,NA,21
1994-06-30,4,NA,19
1994-07-31,10,NA,18
1994-08-31,10,NA,19
1994-09-30,15,266,23
1994-10-31,12,250,23
1994-11-30,9,249,23
1994-12-31,260,NA,23
1995-01-31,252,NA,23
1995-02-28,252,NA,23
1995-03-31,250,NA,36
1995-04-30,395,NA,21
1995-05-31,234,NA,21
1995-06-30,256,NA,22
1995-07-31,254,NA,21
1995-08-31,254,NA,21
1995-09-30,257,NA,22
1995-10-31,258,NA,21
1995-11-30,259,NA,21
1995-12-31,65,NA,19
1996-01-31,24,NA,16
1996-02-29,11,NA,16
1996-03-31,11,NA,15
1996-04-30,9,NA,16
1996-05-31,9,NA,17
1996-06-30,10,NA,17
1996-07-31,10,NA,18
1996-08-31,9,NA,17
1996-09-30,9,NA,18
1996-10-31,9,NA,17
1996-11-30,9,NA,18
1996-12-31,11,NA,18
1997-01-31,10,NA,20
1997-02-28,10,NA,18
1997-03-31,8,NA,18
1997-04-30,8,NA,18
1997-05-31,8,NA,17
1997-06-30,10,NA,17
1997-07-31,5,NA,16
1997-08-31,5,NA,17
1997-09-30,1,NA,17
1997-10-31,NA,NA,16
1997-11-30,NA,NA,17
1997-12-31,NA,NA,16
1998-01-31,NA,NA,12
1998-02-28,NA,NA,12
1998-03-31,NA,NA,12
1998-04-30,NA,NA,12
1998-05-31,NA,NA,12
1998-06-30,NA,NA,13
1998-07-31,NA,NA,13
1998-08-31,NA,NA,14
1998-09-30,NA,NA,14
1998-10-31,NA,NA,11
1998-11-30,NA,NA,15
1998-12-31,NA,NA,15
1999-01-31,NA,NA,10
1999-02-28,NA,NA,9
1999-03-31,NA,NA,9
1999-04-30,NA,NA,11
1999-05-31,NA,NA,11
1999-06-30,NA,NA,11
1999-07-31,1,NA,11
1999-08-31,11,10,12
1999-09-30,NA,NA,22
1999-10-31,NA,NA,21
1999-11-30,NA,NA,21
1999-12-31,NA,10,25
2000-01-31,2,10,22
2000-02-28,681,10,21
2000-03-31,664,10,22
2000-04-30,656,10,24
2000-05-31,667,12,22
2000-06-30,666,12,20
2000-07-31,665,12,20
2000-08-31,675,24,20
2000-09-30,666,24,20
2000-10-31,654,18,20
2000-11-30,682,29,12
2000-12-31,676,27,20
2001-01-31,670,26,20
2001-02-28,670,26,20
2001-03-31,657,15,20
2001-04-30,631,15,20
2001-05-31,682,1,12
2001-06-30,661,10,20
2001-07-31,663,10,19
2001-08-31,667,10,19
2001-09-30,642,10,16
2001-10-31,649,10,16
