"Date","Troops","Police","Experts"
1994-08-31,43,NA,NA
1994-09-30,43,NA,NA
1994-10-31,43,NA,NA
1994-11-30,43,NA,NA
1994-12-31,43,NA,NA
1995-01-31,43,NA,NA
1995-02-28,43,NA,NA
1995-08-31,NA,7,NA
1995-09-30,NA,7,NA
1995-10-31,NA,7,NA
1995-11-30,NA,7,NA
1997-10-31,NA,5,NA
1997-11-30,NA,5,NA
1997-12-31,NA,5,NA
1998-01-31,NA,5,NA
1998-02-28,NA,5,NA
1998-03-31,NA,5,NA
1998-04-30,NA,5,NA
1998-05-31,NA,5,NA
1998-06-30,NA,5,NA
1998-07-31,NA,5,NA
1998-08-31,NA,5,NA
1998-09-30,NA,5,NA
1998-10-31,NA,5,NA
1998-11-30,NA,5,NA
1998-12-31,NA,5,NA
1999-01-31,NA,6,NA
1999-02-28,NA,4,NA
1999-03-31,NA,5,NA
1999-04-30,NA,5,NA
1999-05-31,NA,5,NA
1999-06-30,NA,5,NA
1999-07-31,NA,5,NA
1999-08-31,NA,5,NA
1999-09-30,NA,5,NA
1999-10-31,NA,5,NA
1999-11-30,NA,5,NA
1999-12-31,NA,5,NA
2000-01-31,NA,26,NA
2000-02-28,NA,29,NA
2000-03-31,NA,26,NA
2000-04-30,NA,26,NA
2000-05-31,NA,26,NA
2000-06-30,NA,26,3
2000-07-31,NA,26,3
2000-08-31,NA,26,3
2000-09-30,NA,26,3
2000-10-31,NA,26,3
2000-11-30,NA,26,3
2000-12-31,NA,5,3
2001-01-31,1,10,2
2001-02-28,1,10,2
2001-03-31,1,9,2
2001-04-30,1,9,2
2001-05-31,1,9,12
2001-06-30,1,9,12
2001-07-31,1,9,12
2001-08-31,1,8,12
2001-09-30,1,13,12
2001-10-31,2,13,11
2001-11-30,2,13,11
2001-12-31,2,15,11
2002-01-31,1,15,11
2002-02-28,1,12,11
2002-03-31,1,12,11
2002-04-30,1,12,11
2002-05-31,1,12,11
2002-06-30,1,12,11
2002-07-31,1,14,11
2002-08-30,2,14,16
2002-09-30,2,14,15
2002-10-31,2,8,7
2002-11-30,2,10,8
2002-12-31,2,8,12
2003-01-31,2,8,12
2003-02-28,2,8,12
2003-03-30,2,7,12
2003-04-30,2,7,13
2003-05-31,2,11,11
2003-06-30,2,13,13
2003-07-31,1,10,14
2003-08-31,6,10,14
2003-09-30,1,1,14
2003-10-31,1,10,15
2003-11-30,1,10,23
2003-12-31,1,18,23
2004-01-31,1,17,23
2004-02-28,1,17,23
2004-03-31,3,23,22
2004-04-30,313,28,23
2004-05-31,369,31,24
2004-06-30,370,38,25
2004-07-31,370,37,24
2004-08-31,371,37,25
