"Date","Troops","Police","Experts"
1990-11-30,2,NA,NA
1990-12-31,2,NA,NA
1991-01-31,2,NA,NA
1991-02-28,2,NA,NA
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,22,NA,NA
1991-08-31,7,NA,NA
1991-09-30,8,NA,NA
1991-10-31,23,NA,NA
1991-11-30,23,10,NA
1991-12-31,23,10,NA
1992-01-31,23,10,NA
1992-02-29,23,8,NA
1992-03-31,23,8,NA
1992-04-30,35,12,NA
1992-05-31,35,12,NA
1992-06-30,35,12,NA
1992-07-31,35,12,NA
1992-08-31,891,191,29
1992-09-30,890,192,29
1992-10-31,890,192,28
1992-11-30,887,192,29
1992-12-31,887,192,29
1993-01-31,887,180,15
1993-02-28,883,180,15
1993-03-31,883,180,15
1993-04-30,872,180,15
1993-05-31,1430,180,17
1993-06-30,562,178,14
1993-07-31,559,180,15
1993-08-31,586,31,13
1993-09-30,652,30,16
1993-10-31,651,40,21
1993-11-30,615,34,21
1993-12-31,617,34,21
1994-01-31,611,34,22
1994-02-28,631,34,37
1994-03-31,623,34,37
1994-04-30,703,40,34
1994-05-31,746,45,33
1994-06-30,789,17,34
1994-07-31,747,43,40
1994-08-31,798,48,40
1994-09-30,1039,99,41
1994-10-31,398,129,34
1994-11-30,395,123,40
1994-12-31,386,154,65
1995-01-31,352,109,77
1995-02-28,334,108,78
1995-03-31,333,108,77
1995-04-30,323,108,77
1995-05-31,339,109,79
1995-06-30,338,109,79
1995-07-31,154,81,76
1995-08-31,152,81,77
1995-09-30,152,80,79
1995-10-31,149,66,74
1995-11-30,149,66,73
1995-12-31,148,30,52
1996-01-31,148,18,51
1996-02-29,148,21,51
1996-03-31,2,21,40
1996-04-30,NA,29,36
1996-05-31,NA,29,35
1996-06-30,NA,45,35
1996-07-31,NA,41,35
1996-08-31,NA,41,34
1996-09-30,NA,45,32
1996-10-31,NA,45,33
1996-11-30,NA,45,33
1996-12-31,NA,45,33
1997-01-31,NA,45,45
1997-02-28,NA,56,35
1997-03-31,NA,46,33
1997-04-30,NA,43,34
1997-05-31,NA,46,33
1997-06-30,NA,46,33
1997-07-31,NA,46,33
1997-08-31,NA,45,30
1997-09-30,NA,29,32
1997-10-31,NA,54,28
1997-11-30,NA,47,30
1997-12-31,NA,58,24
1998-01-31,NA,60,21
1998-02-28,NA,70,23
1998-03-31,NA,59,21
1998-04-30,NA,59,21
1998-05-31,NA,59,21
1998-06-30,NA,59,20
1998-07-31,NA,59,22
1998-08-31,NA,59,24
1998-09-30,NA,53,16
1998-10-31,NA,50,16
1998-11-30,NA,35,18
1998-12-31,NA,35,18
1999-01-31,NA,30,14
1999-02-28,NA,35,13
1999-03-31,NA,23,12
1999-04-30,NA,22,13
1999-05-31,NA,22,13
1999-06-30,NA,22,11
1999-07-31,NA,36,13
1999-08-31,NA,30,13
1999-09-30,NA,29,13
1999-10-31,NA,38,13
1999-11-30,NA,38,13
1999-12-31,1560,33,13
2000-01-31,1561,38,17
2000-02-28,1558,34,17
2000-03-31,3183,124,15
2000-04-30,3183,124,15
2000-05-31,3231,126,15
2000-06-30,3215,124,21
2000-07-31,3214,124,21
2000-08-31,3201,124,21
2000-09-30,3201,219,19
2000-10-31,3201,219,19
2000-11-30,3290,211,24
2000-12-31,3290,211,24
2001-01-31,3290,206,24
2001-02-28,3290,206,24
2001-03-31,3310,138,30
2001-04-30,3310,126,30
2001-05-31,3322,96,42
2001-06-30,3266,96,42
2001-07-31,3312,96,41
2001-08-31,3326,97,44
2001-09-30,3308,92,46
2001-10-31,3303,92,48
2001-11-30,3314,92,50
2001-12-31,3321,95,52
2002-01-31,3321,134,50
2002-02-28,3318,125,53
2002-03-31,3332,103,54
2002-04-30,3333,102,56
2002-05-31,3331,102,56
2002-06-30,3320,75,56
2002-07-31,3302,75,52
2002-08-30,3275,72,53
2002-09-30,3286,72,53
2002-10-31,3210,74,56
2002-11-30,3159,72,54
2002-12-31,3159,68,50
2003-01-31,3163,64,52
2003-02-28,3178,64,52
2003-03-30,3179,91,48
2003-04-30,3179,93,44
2003-05-31,2402,93,53
2003-06-30,2401,61,58
2003-07-31,2409,61,53
2003-08-31,1630,60,54
2003-09-30,1624,69,55
2003-10-31,3220,65,55
2003-11-30,3223,65,54
2003-12-31,3228,72,61
2004-01-31,3236,85,59
2004-02-28,3244,70,59
2004-03-31,3254,68,64
2004-04-30,3263,69,66
2004-05-31,3267,86,71
2004-06-30,3273,221,71
2004-07-31,3277,230,72
2004-08-31,3274,230,73
2004-09-30,3263,247,78
2004-10-31,3255,257,78
2004-11-30,3400,255,80
2004-12-31,2586,226,78
2005-01-31,2577,226,81
2005-02-28,2734,233,82
2005-03-31,2730,232,79
2005-04-30,2730,234,76
2005-05-31,2723,227,81
2005-06-30,2722,227,84
2005-07-31,2723,350,85
2005-08-31,2723,369,83
2005-09-30,3089,324,86
2005-10-31,2719,217,89
2005-11-30,2262,370,89
2005-12-31,1954,374,84
2006-01-31,1956,390,91
2006-02-28,1953,390,87
2006-03-31,1967,399,90
2006-04-30,1962,398,86
2006-05-31,1963,398,82
2006-06-30,1961,381,82
2006-07-31,1958,383,71
2006-08-31,1964,368,79
2006-09-30,1966,366,80
2006-10-31,1963,377,89
2006-11-30,1972,369,85
2006-12-31,1963,365,80
2007-01-31,1961,428,79
2007-02-28,1976,406,80
2007-03-31,1968,412,85
2007-04-30,1972,414,84
2007-05-31,1971,413,90
2007-06-30,1970,445,100
2007-07-31,1970,432,100
2007-08-31,1971,433,90
2007-09-30,1968,435,83
2007-10-31,1974,421,86
2007-11-30,1973,433,91
2007-12-31,1974,630,90
2008-01-31,4834,629,108
2008-02-28,4722,631,121
2008-03-31,4692,625,98
2008-04-30,4559,613,99
2008-05-31,4573,558,87
2008-06-30,4552,591,89
2008-07-31,4551,569,86
2008-08-31,4535,569,91
2008-09-30,4548,564,90
2008-10-31,4648,657,90
2008-11-30,4760,646,91
2008-12-31,4903,917,88
2009-01-31,4992,919,90
2009-02-28,4996,916,81
2009-03-31,4996,697,85
2009-04-30,4995,718,79
2009-05-31,5000,805,77
2009-06-30,4998,888,74
2009-07-31,5011,892,74
2009-08-31,5008,930,82
2009-09-30,4974,936,75
2009-10-31,4971,863,71
2009-11-30,4960,828,77
2009-12-31,4915,806,86
2010-01-31,4914,806,85
2010-02-28,4916,836,85
2010-03-31,4912,880,80
2010-04-30,4900,959,82
2010-05-31,4904,940,85
2010-06-30,4885,766,81
2010-07-31,4883,808,77
2010-08-31,4886,764,64
2010-09-30,4881,752,76
2010-10-31,4881,842,63
2010-11-30,4892,875,79
2010-12-31,4888,877,76
2011-01-31,4888,908,77
2011-02-28,4888,894,78
2011-03-31,4879,873,79
2011-04-30,4866,866,79
2011-05-31,4863,790,73
2011-06-30,4883,789,82
2011-07-31,4877,678,77
2011-08-31,4883,652,89
2011-09-30,4870,719,78
2011-10-31,4864,718,80
2011-11-30,4922,716,78
2011-12-31,4948,726,75
2012-01-31,4976,721,76
2012-02-28,4960,692,74
2012-03-31,4960,678,76
2012-04-30,4950,684,72
2012-05-31,4882,676,74
2012-06-30,4777,661,70
2012-07-31,4949,608,72
2012-08-31,4946,579,69
2012-09-30,4948,573,75
2012-10-31,4949,573,68
2012-11-30,4946,547,63
2012-12-31,4842,536,63
2013-01-31,4844,555,64
2013-02-28,4845,543,64
2013-03-31,4137,544,60
2013-04-30,4142,539,55
2013-05-31,4142,539,57
2013-06-30,4111,520,53
2013-07-31,4736,665,49
2013-08-31,4163,664,53
2013-09-30,4170,577,53
2013-10-31,4151,573,53
2013-11-30,4127,647,56
2013-12-31,4134,649,53
2014-01-31,4136,668,58
2014-02-28,4128,669,53
