"Date","Troops","Police","Experts"
1990-11-30,924,NA,NA
1990-12-31,924,NA,NA
1991-01-31,924,NA,NA
1991-02-28,924,NA,NA
1991-03-31,910,NA,NA
1991-04-30,967,NA,NA
1991-05-31,1012,NA,NA
1991-06-30,993,NA,NA
1991-07-31,994,NA,NA
1991-08-31,984,NA,NA
1991-09-30,978,NA,NA
1991-10-31,945,NA,NA
1991-11-30,980,NA,NA
1991-12-31,973,NA,NA
1992-01-31,971,NA,NA
1992-02-29,977,3,NA
1992-03-31,973,3,NA
1992-04-30,1104,30,NA
1992-05-31,1104,30,NA
1992-06-30,1104,30,NA
1992-07-31,1104,30,NA
1992-08-31,1000,52,58
1992-09-30,992,52,58
1992-10-31,1001,53,60
1992-11-30,1007,53,60
1992-12-31,1053,53,60
1993-01-31,1061,53,70
1993-02-28,1261,53,60
1993-03-31,1256,53,60
1993-04-30,1264,53,60
1993-05-31,1296,53,60
1993-06-30,1327,49,58
1993-07-31,1317,48,83
1993-08-31,1308,31,74
1993-09-30,1301,31,79
1993-10-31,1587,30,73
1993-11-30,1628,30,69
1993-12-31,1610,30,73
1994-01-31,1591,30,73
1994-02-28,1567,30,72
1994-03-31,1437,40,72
1994-04-30,1412,38,71
1994-05-31,1470,39,71
1994-06-30,1521,38,76
1994-07-31,1467,44,64
1994-08-31,1470,44,62
1994-09-30,1809,58,61
1994-10-31,1843,44,63
1994-11-30,1632,36,58
1994-12-31,1600,35,57
1995-01-31,1690,35,58
1995-02-28,1685,32,58
1995-03-31,1633,28,59
1995-04-30,1655,28,59
1995-05-31,1697,19,59
1995-06-30,1666,18,61
1995-07-31,1662,18,61
1995-08-31,1681,19,61
1995-09-30,1671,31,58
1995-10-31,1733,15,45
1995-11-30,1729,17,45
1995-12-31,998,15,44
1996-01-31,936,32,27
1996-02-29,880,37,28
1996-03-31,881,37,27
1996-04-30,850,37,27
1996-05-31,802,37,28
1996-06-30,663,36,27
1996-07-31,664,33,27
1996-08-31,658,33,26
1996-09-30,665,35,26
1996-10-31,662,36,26
1996-11-30,680,36,27
1996-12-31,670,36,26
1997-01-31,534,35,26
1997-02-28,534,36,28
1997-03-31,534,36,28
1997-04-30,533,36,28
1997-05-31,535,45,25
1997-06-30,660,45,24
1997-07-31,655,44,24
1997-08-31,660,44,27
1997-09-30,649,51,24
1997-10-31,651,43,24
1997-11-30,655,29,24
1997-12-31,657,43,24
1998-01-31,660,43,18
1998-02-28,661,43,18
1998-03-31,661,39,18
1998-04-30,665,39,20
1998-05-31,665,39,20
1998-06-30,668,39,21
1998-07-31,668,39,20
1998-08-31,668,41,18
1998-09-30,651,41,18
1998-10-31,380,26,18
1998-11-30,108,27,18
1998-12-31,108,27,18
1999-01-31,152,26,16
1999-02-28,151,15,15
1999-03-31,6,15,13
1999-04-30,NA,24,13
1999-05-31,NA,24,12
1999-06-30,2,24,12
1999-07-31,2,26,13
1999-08-31,2,27,13
1999-09-30,NA,24,19
1999-10-31,NA,24,19
1999-11-30,NA,24,19
1999-12-31,NA,24,19
2000-01-31,NA,26,19
2000-02-28,6,41,19
2000-03-31,6,43,19
2000-04-30,6,43,19
2000-05-31,6,33,19
2000-06-30,6,46,19
2000-07-31,6,45,19
2000-08-31,6,47,19
2000-09-30,6,49,20
2000-10-31,6,49,18
2000-11-30,10,49,17
2000-12-31,10,49,16
2001-01-31,10,48,19
2001-02-28,10,48,19
2001-03-31,10,48,19
2001-04-30,10,49,19
2001-05-31,6,49,19
2001-06-30,6,49,18
2001-07-31,6,49,18
2001-08-31,6,62,19
2001-09-30,6,48,19
2001-10-31,6,48,24
2001-11-30,7,48,23
2001-12-31,7,48,23
2002-01-31,6,49,19
2002-02-28,7,49,24
2002-03-31,6,51,23
2002-04-30,6,51,23
2002-05-31,7,50,22
2002-06-30,7,49,22
2002-07-31,6,49,22
2002-08-30,6,45,22
2002-09-30,6,45,22
2002-10-31,3,45,22
2002-11-30,3,45,20
2002-12-31,3,35,20
2003-01-31,3,35,20
2003-02-28,3,34,20
2003-03-30,3,35,20
2003-04-30,3,35,20
2003-05-31,2,33,22
2003-06-30,2,26,21
2003-07-31,1,26,23
2003-08-31,1,26,22
2003-09-30,1,29,22
2003-10-31,NA,24,20
2003-11-30,NA,26,20
2003-12-31,NA,28,19
2004-01-31,NA,30,19
2004-02-28,NA,29,19
2004-03-31,NA,28,19
2004-04-30,NA,27,19
2004-05-31,12,36,6
2004-06-30,NA,31,18
2004-07-31,NA,31,18
2004-08-31,NA,31,18
2004-09-30,NA,31,18
2004-10-31,NA,31,18
2004-11-30,NA,31,18
2004-12-31,NA,34,18
2005-01-31,NA,34,18
2005-02-28,NA,33,19
2005-03-31,1,33,19
2005-04-30,3,33,6
2005-05-31,6,31,8
2005-06-30,9,31,8
2005-07-31,15,31,8
2005-08-31,15,31,12
2005-09-30,17,30,16
2005-10-31,15,30,30
2005-11-30,14,27,17
2005-12-31,8,27,17
2006-01-31,8,29,35
2006-02-28,9,30,35
2006-03-31,7,30,35
2006-04-30,6,30,37
2006-05-31,5,34,37
2006-06-30,7,34,23
2006-07-31,7,34,25
2006-08-31,8,34,25
2006-09-30,8,34,37
2006-10-31,8,34,37
2006-11-30,145,34,38
2006-12-31,143,34,35
2007-01-31,139,32,33
2007-02-28,140,33,34
2007-03-31,141,23,34
2007-04-30,144,23,35
2007-05-31,14,31,37
2007-06-30,14,31,34
2007-07-31,13,31,35
2007-08-31,11,30,37
2007-09-30,9,30,35
2007-10-31,9,31,36
2007-11-30,11,31,37
2007-12-31,11,31,37
2008-01-31,12,35,34
2008-02-28,14,35,34
2008-03-31,13,35,35
2008-04-30,12,36,35
2008-05-31,12,34,34
2008-06-30,10,32,32
2008-07-31,10,32,31
2008-08-31,10,31,31
2008-09-30,11,32,31
2008-10-31,12,32,30
2008-11-30,11,26,30
2008-12-31,11,25,31
2009-01-31,12,20,31
2009-02-28,12,20,30
2009-03-31,17,23,31
2009-04-30,131,19,28
2009-05-31,192,19,28
2009-06-30,160,22,27
2009-07-31,168,18,28
2009-08-31,168,22,27
2009-09-30,184,20,29
2009-10-31,182,25,31
2009-11-30,181,22,30
2009-12-31,163,23,28
2010-01-31,161,23,29
2010-02-28,161,23,32
2010-03-31,156,23,31
2010-04-30,127,22,30
2010-05-31,28,21,30
2010-06-30,8,23,30
2010-07-31,9,23,30
2010-08-31,7,23,30
2010-09-30,7,23,30
2010-10-31,7,29,29
2010-11-30,7,29,30
2010-12-31,6,29,30
2011-01-31,9,31,31
2011-02-28,6,31,27
2011-03-31,6,28,27
2011-04-30,6,26,26
2011-05-31,8,30,26
2011-06-30,7,27,27
2011-07-31,NA,20,14
2011-08-31,3,23,24
2011-09-30,3,24,20
2011-10-31,4,24,19
2011-11-30,4,24,22
2011-12-31,5,23,22
2012-01-31,6,24,22
2012-02-28,8,24,21
2012-03-31,10,30,20
2012-04-30,10,30,24
2012-05-31,10,28,25
2012-06-30,10,30,24
