"Date","Troops","Police","Experts"
1991-04-30,9,NA,NA
1991-05-31,9,NA,NA
1991-06-30,9,NA,NA
1991-07-31,9,NA,NA
1991-08-31,9,NA,NA
1991-09-30,10,NA,NA
1991-10-31,10,NA,NA
1991-11-30,12,NA,NA
1991-12-31,12,NA,NA
1992-01-31,12,NA,NA
1992-02-29,16,NA,NA
1992-03-31,17,NA,NA
1992-04-30,113,NA,NA
1992-05-31,113,NA,NA
1992-06-30,113,NA,NA
1992-07-31,113,NA,NA
1992-08-31,1096,143,31
1992-09-30,1606,142,31
1992-10-31,500,NA,8
1992-11-30,505,NA,8
1992-12-31,1594,190,30
1993-01-31,1594,200,22
1993-02-28,1856,198,30
1993-03-31,1856,197,25
1993-04-30,1847,197,25
1993-05-31,5523,197,25
1993-06-30,6044,96,25
1993-07-31,5792,196,40
1993-08-31,5689,4,25
1993-09-30,5307,NA,46
1993-10-31,5165,NA,35
1993-11-30,5000,NA,40
1993-12-31,5049,NA,40
1994-01-31,5244,NA,77
1994-02-28,5099,NA,81
1994-03-31,5605,NA,84
1994-04-30,7057,NA,82
1994-05-31,7152,22,82
1994-06-30,7920,42,82
1994-07-31,9062,66,82
1994-08-31,10041,9,82
1994-09-30,9877,65,80
1994-10-31,8982,71,57
1994-11-30,9005,81,61
1994-12-31,8968,81,61
1995-01-31,8713,18,64
1995-02-28,3021,18,63
1995-03-31,3853,60,69
1995-04-30,3845,70,65
1995-05-31,3848,69,69
1995-06-30,3875,67,70
1995-07-31,2817,67,71
1995-08-31,3617,66,70
1995-09-30,3827,68,71
1995-10-31,3854,61,74
1995-11-30,2357,NA,61
1995-12-31,1409,NA,59
1996-01-31,2250,NA,48
1996-02-29,875,NA,43
1996-03-31,547,NA,42
1996-04-30,896,52,47
1996-05-31,1541,51,41
1996-06-30,1543,134,41
1996-07-31,1540,134,41
1996-08-31,1546,133,40
1996-09-30,1544,129,40
1996-10-31,1545,128,36
1996-11-30,1538,126,40
1996-12-31,1541,126,45
1997-01-31,1550,125,46
1997-02-28,1551,125,49
1997-03-31,1552,125,48
1997-04-30,1550,126,48
1997-05-31,1346,79,43
1997-06-30,1542,80,40
1997-07-31,1186,97,42
1997-08-31,557,99,31
1997-09-30,544,99,28
1997-10-31,544,95,23
1997-11-30,544,110,27
1997-12-31,NA,105,27
1998-01-31,NA,105,27
1998-02-28,NA,109,22
1998-03-31,1,105,19
1998-04-30,1,103,19
1998-05-31,1,103,19
1998-06-30,54,101,22
1998-07-31,103,104,22
1998-08-31,151,105,23
1998-09-30,157,105,28
1998-10-31,157,105,28
1998-11-30,157,105,29
1998-12-31,157,105,29
1999-01-31,11,104,25
1999-02-28,12,104,23
1999-03-31,1,94,21
1999-04-30,2,108,23
1999-05-31,1,107,23
1999-06-30,NA,110,24
1999-07-31,1,110,26
1999-08-31,1,163,27
1999-09-30,1,160,60
1999-10-31,1,177,69
1999-11-30,1,177,69
1999-12-31,1,128,70
2000-01-31,NA,164,69
2000-02-28,125,234,70
2000-03-31,262,358,75
2000-04-30,774,320,77
2000-05-31,774,318,90
2000-06-30,774,312,99
2000-07-31,774,344,90
