"Date","Troops","Police","Experts"
2001-01-31,NA,NA,1
2001-02-28,NA,NA,1
2001-03-31,NA,NA,2
2001-04-30,NA,NA,2
2001-05-31,NA,NA,12
2001-06-30,NA,NA,12
2001-07-31,NA,NA,14
2001-08-31,NA,NA,13
2001-09-30,NA,NA,13
2001-10-31,NA,NA,20
2001-11-30,1,NA,18
2001-12-31,1,NA,18
2002-01-31,1,NA,19
2002-02-28,1,NA,19
2002-03-31,1,NA,18
2002-04-30,1,NA,18
2002-05-31,1,NA,18
2002-06-30,1,NA,19
2002-07-31,1,NA,19
2002-08-30,1,NA,19
2002-09-30,2,NA,21
2002-10-31,2,NA,18
2002-11-30,2,NA,18
2002-12-31,2,NA,20
2003-01-31,2,NA,20
2003-02-28,2,NA,20
2003-03-30,2,NA,20
2003-04-30,2,NA,17
2003-05-31,NA,NA,22
2003-06-30,NA,NA,24
2003-07-31,NA,NA,28
2003-08-31,NA,NA,24
2003-09-30,NA,NA,24
2003-10-31,1,NA,21
2003-11-30,1,NA,30
2003-12-31,1,NA,33
2004-01-31,1,NA,30
2004-02-28,1,NA,33
2004-03-31,2,NA,34
2004-04-30,2,NA,34
2004-05-31,9,NA,34
2004-06-30,9,NA,34
2004-07-31,9,NA,31
2004-08-31,9,NA,37
2004-09-30,9,NA,37
2004-10-31,9,NA,37
2004-11-30,9,NA,32
2004-12-31,9,NA,37
2005-01-31,9,NA,37
2005-02-28,9,NA,38
2005-03-31,9,NA,38
2005-04-30,9,NA,36
2005-05-31,9,NA,41
2005-06-30,6,NA,42
2005-07-31,6,NA,41
2005-08-31,6,NA,41
2005-09-30,6,NA,41
2005-10-31,5,NA,41
2005-11-30,6,NA,46
2005-12-31,6,NA,46
2006-01-31,6,NA,46
2006-02-28,6,NA,45
2006-03-31,8,NA,45
2006-04-30,6,NA,46
2006-05-31,6,NA,46
2006-06-30,6,NA,44
2006-07-31,6,NA,46
2006-08-31,6,NA,46
2006-09-30,6,NA,46
2006-10-31,5,NA,45
2006-11-30,5,NA,41
2006-12-31,35,NA,37
2007-01-31,36,NA,39
2007-02-28,37,NA,48
2007-03-31,37,NA,48
2007-04-30,37,NA,49
2007-05-31,34,NA,47
2007-06-30,34,NA,48
2007-07-31,34,NA,46
2007-08-31,34,NA,41
2007-09-30,34,NA,44
2007-10-31,34,NA,48
2007-11-30,3,NA,47
2007-12-31,34,NA,41
2008-01-31,34,NA,37
2008-02-28,33,NA,43
2008-03-31,33,NA,40
2008-04-30,33,NA,42
2008-05-31,34,NA,38
2008-06-30,33,NA,43
2008-07-31,34,NA,45
2008-08-31,34,NA,38
2008-09-30,34,NA,39
2008-10-31,34,NA,42
2008-11-30,34,NA,48
2008-12-31,34,NA,48
2009-01-31,34,NA,48
2009-02-28,34,NA,41
2009-03-31,34,NA,42
2009-04-30,34,NA,44
2009-05-31,33,NA,46
2009-06-30,48,NA,42
2009-07-31,48,NA,45
2009-08-31,34,NA,43
2009-09-30,34,NA,48
2009-10-31,34,NA,42
2009-11-30,48,NA,41
2009-12-31,48,NA,48
2010-01-31,48,NA,48
2010-02-28,48,NA,48
2010-03-31,48,NA,47
2010-04-30,48,NA,44
2010-05-31,48,NA,43
2010-06-30,48,NA,41
2010-07-31,17,NA,39
2010-08-31,48,NA,41
2010-09-30,48,NA,41
2010-10-31,48,NA,46
2010-11-30,49,NA,37
2010-12-31,148,NA,36
2011-01-31,149,NA,34
2011-02-28,149,NA,34
2011-03-31,149,NA,39
2011-04-30,149,NA,37
2011-05-31,149,NA,37
2011-06-30,148,NA,39
2011-07-31,147,NA,29
2011-08-31,149,NA,37
2011-09-30,148,NA,34
2011-10-31,149,NA,34
2011-11-30,149,NA,29
2011-12-31,179,NA,29
2012-01-31,179,NA,25
2012-02-28,179,NA,32
2012-03-31,179,NA,32
2012-04-30,179,NA,34
2012-05-31,179,NA,45
2012-06-30,179,NA,44
2012-07-31,179,NA,38
2012-08-31,177,NA,34
2012-09-30,179,NA,36
2012-10-31,179,NA,32
2012-11-30,179,NA,31
2012-12-31,179,NA,30
2013-01-31,180,NA,29
2013-02-28,181,NA,24
2013-03-31,180,NA,24
2013-04-30,181,NA,28
2013-05-31,181,NA,34
2013-06-30,180,NA,35
2013-07-31,180,NA,35
2013-08-31,181,NA,35
2013-09-30,181,NA,38
2013-10-31,181,NA,37
2013-11-30,180,NA,36
2013-12-31,133,NA,37
2014-01-31,133,NA,37
2014-02-28,131,1,38
