"Date","Troops","Police","Experts"
1991-09-30,15,NA,NA
1991-10-31,15,NA,NA
1991-11-30,15,NA,NA
1991-12-31,14,NA,NA
1992-03-31,12,NA,NA
1992-04-30,12,NA,NA
1992-05-31,12,NA,NA
1992-06-30,12,NA,NA
1992-07-31,12,NA,NA
1992-08-31,NA,NA,15
1992-09-30,NA,NA,2
2000-05-31,NA,NA,3
2000-06-30,NA,NA,3
2000-07-31,NA,NA,3
2000-08-31,23,NA,3
2000-09-30,23,NA,5
2000-10-31,23,NA,5
2000-11-30,23,NA,5
2000-12-31,23,NA,5
2001-01-31,NA,23,5
2001-02-28,NA,23,5
2001-03-31,NA,23,5
2001-04-30,NA,23,5
2001-05-31,18,NA,7
2001-06-30,18,NA,6
2001-07-31,23,NA,6
2001-08-31,NA,NA,6
2001-09-30,NA,NA,6
2001-10-31,NA,NA,5
2001-11-30,NA,NA,5
2001-12-31,NA,NA,5
2002-01-31,NA,NA,5
2002-02-28,NA,NA,5
2002-03-31,NA,NA,5
2002-04-30,NA,NA,5
2002-05-31,NA,NA,5
2002-06-30,NA,NA,5
2002-07-31,NA,NA,5
2002-08-30,NA,NA,5
2002-09-30,NA,NA,5
2002-10-31,NA,NA,5
2002-11-30,NA,NA,5
2002-12-31,NA,NA,5
2003-01-31,NA,NA,5
2003-02-28,NA,NA,5
2003-03-30,NA,NA,5
2003-04-30,NA,NA,5
2003-05-31,NA,NA,2
2003-06-30,NA,NA,5
2003-07-31,NA,NA,5
2003-08-31,NA,NA,5
2003-09-30,NA,NA,5
2003-10-31,1,NA,6
2003-11-30,2,NA,8
2003-12-31,2,NA,8
2004-01-31,2,NA,10
2004-02-28,2,NA,11
2004-03-31,2,NA,11
2004-04-30,3,NA,13
2004-05-31,5,NA,13
2004-06-30,5,NA,14
2004-07-31,5,NA,15
2004-08-31,4,NA,18
2004-09-30,4,NA,18
2004-10-31,4,NA,18
2004-11-30,209,NA,17
2004-12-31,209,NA,17
2005-01-31,209,NA,17
2005-02-28,209,NA,17
2005-03-31,209,NA,17
2005-04-30,209,NA,17
2005-05-31,209,NA,22
2005-06-30,212,NA,25
2005-07-31,212,NA,24
2005-08-31,212,NA,24
2005-09-30,209,NA,25
2005-10-31,209,NA,25
2005-11-30,210,NA,30
2005-12-31,214,NA,31
2006-01-31,213,NA,35
2006-02-28,213,NA,34
2006-03-31,213,NA,34
2006-04-30,211,NA,31
2006-05-31,211,NA,29
2006-06-30,211,NA,31
2006-07-31,213,NA,35
2006-08-31,212,NA,33
2006-09-30,212,NA,34
2006-10-31,212,NA,32
2006-11-30,210,NA,25
2006-12-31,207,NA,24
2007-01-31,211,NA,28
2007-02-28,211,NA,31
2007-03-31,212,NA,31
2007-04-30,212,NA,29
2007-05-31,212,NA,32
2007-06-30,210,NA,32
2007-07-31,212,NA,31
2007-08-31,212,NA,32
2007-09-30,212,NA,34
2007-10-31,212,NA,34
2007-11-30,212,NA,33
2007-12-31,209,NA,33
2008-01-31,211,NA,27
2008-02-28,211,NA,29
2008-03-31,212,NA,30
2008-04-30,212,NA,29
2008-05-31,212,NA,29
2008-06-30,204,NA,23
2008-07-31,209,NA,22
2008-08-31,211,NA,26
2008-09-30,207,NA,27
2008-10-31,208,NA,32
2008-11-30,210,NA,32
2008-12-31,210,NA,31
2009-01-31,212,NA,31
2009-02-28,213,NA,26
2009-03-31,212,NA,20
2009-04-30,212,NA,20
2009-05-31,213,NA,19
2009-06-30,211,NA,22
2009-07-31,213,NA,25
2009-08-31,212,NA,17
2009-09-30,211,NA,25
2009-10-31,214,NA,23
2009-11-30,213,NA,26
2009-12-31,213,NA,25
2010-01-31,213,NA,26
2010-02-28,213,NA,26
2010-03-31,223,NA,26
2010-04-30,222,NA,24
2010-05-31,375,NA,24
2010-06-30,374,NA,21
2010-07-31,376,NA,24
2010-08-31,376,NA,25
2010-09-30,375,NA,21
2010-10-31,374,NA,24
2010-11-30,375,NA,23
2010-12-31,373,NA,23
2011-01-31,374,NA,24
2011-02-28,374,NA,25
2011-03-31,374,NA,26
2011-04-30,374,NA,26
2011-05-31,374,NA,26
2011-06-30,374,NA,25
2011-07-31,374,NA,17
2011-08-31,374,NA,22
2011-09-30,374,NA,16
2011-10-31,374,NA,14
2011-11-30,374,NA,13
2011-12-31,373,NA,14
2012-01-31,374,NA,15
2012-02-28,374,NA,15
2012-03-31,374,NA,14
2012-04-30,374,NA,14
2012-05-31,375,NA,15
2012-06-30,375,NA,15
2012-07-31,375,NA,14
2012-08-31,375,NA,17
2012-09-30,375,NA,18
2012-10-31,375,NA,18
2012-11-30,376,NA,18
2012-12-31,375,NA,21
2013-01-31,376,NA,21
2013-02-28,376,NA,25
2013-03-31,378,NA,27
2013-04-30,378,NA,27
2013-05-31,377,NA,27
2013-06-30,378,NA,26
2013-07-31,379,NA,26
2013-08-31,378,NA,26
2013-09-30,379,NA,25
2013-10-31,378,NA,25
2013-11-30,378,NA,24
2013-12-31,376,NA,27
2014-01-31,379,NA,28
2014-02-28,380,NA,24
