"Date","Troops","Police","Experts"
1992-03-31,NA,8,NA
1992-04-30,22,NA,NA
1992-05-31,22,NA,NA
1992-06-30,22,NA,NA
1992-07-31,22,NA,NA
1992-08-31,127,150,NA
1992-09-30,127,150,NA
1992-10-31,127,225,NA
1992-11-30,127,225,NA
1992-12-31,127,225,NA
1993-01-31,127,221,NA
1993-02-28,126,228,NA
1993-03-31,127,228,NA
1993-04-30,82,225,NA
1993-05-31,127,224,NA
1993-06-30,127,224,NA
1993-07-31,127,224,NA
1993-08-31,127,224,NA
1993-09-30,114,NA,NA
1993-10-31,24,6,NA
1994-10-31,NA,1,NA
1994-11-30,NA,1,NA
1994-12-31,NA,1,NA
1995-01-31,NA,1,NA
1995-05-31,NA,50,NA
1995-06-30,NA,50,NA
1995-07-31,NA,50,NA
1995-08-31,NA,50,NA
1995-09-30,NA,50,NA
1995-10-31,NA,50,NA
1999-08-31,11,19,NA
1999-09-30,NA,44,NA
1999-10-31,NA,44,NA
1999-11-30,NA,44,NA
1999-12-31,NA,44,19
2000-01-31,NA,44,21
2000-02-28,609,44,21
2000-03-31,699,128,20
2000-04-30,825,128,20
2000-05-31,825,127,20
2000-06-30,603,127,20
2000-07-31,603,160,20
2000-08-31,594,163,20
2000-09-30,595,166,20
2000-10-31,593,167,20
2000-11-30,593,167,20
2000-12-31,631,167,9
2001-01-31,611,167,8
2001-02-28,611,167,8
2001-03-31,607,166,8
2001-04-30,607,168,8
2001-05-31,609,167,NA
2001-06-30,609,169,8
2001-07-31,612,139,8
2001-08-31,613,166,8
2001-09-30,613,142,8
2001-10-31,613,142,8
2001-11-30,613,166,8
2001-12-31,58,168,8
2002-01-31,58,168,8
2002-02-28,58,168,8
2002-03-31,58,166,8
2002-04-30,58,166,8
2002-05-31,58,166,8
2002-06-30,56,151,8
2002-07-31,56,151,8
2002-08-30,51,113,8
2002-09-30,56,111,8
2002-10-31,56,99,8
2002-11-30,56,99,8
2002-12-31,55,134,7
2003-01-31,55,134,7
2003-02-28,55,134,7
2003-03-30,55,130,7
2003-04-30,55,129,7
2003-05-31,55,129,7
2003-06-30,55,94,7
2003-07-31,55,102,7
2003-08-31,55,102,7
2003-09-30,53,101,7
2003-10-31,53,101,7
2003-11-30,200,92,10
2003-12-31,190,73,10
2004-01-31,187,93,10
2004-02-28,187,93,11
2004-03-31,187,93,11
2004-04-30,186,92,11
2004-05-31,184,116,11
2004-06-30,148,116,10
2004-07-31,150,131,12
2004-08-31,150,131,15
2004-09-30,166,134,13
2004-10-31,166,144,13
2004-11-30,186,144,12
2004-12-31,301,141,14
2005-01-31,301,141,13
2005-02-28,303,140,13
2005-03-31,308,140,13
2005-04-30,309,142,13
2005-05-31,307,102,10
2005-06-30,305,102,10
2005-07-31,330,121,12
2005-08-31,330,117,9
2005-09-30,328,122,10
2005-10-31,342,132,11
2005-11-30,342,140,23
2005-12-31,340,113,30
2006-01-31,365,171,31
2006-02-28,344,199,31
2006-03-31,344,199,31
2006-04-30,330,199,31
2006-05-31,329,195,31
2006-06-30,328,180,30
2006-07-31,344,180,30
2006-08-31,329,193,31
2006-09-30,330,219,31
2006-10-31,330,330,30
2006-11-30,329,325,18
2006-12-31,327,325,13
2007-01-31,350,322,20
2007-02-28,332,289,22
2007-03-31,330,247,23
2007-04-30,330,288,23
2007-05-31,328,276,23
2007-06-30,327,293,21
2007-07-31,347,282,21
2007-08-31,330,283,21
2007-09-30,330,316,21
2007-10-31,329,318,22
2007-11-30,329,277,22
2007-12-31,329,270,22
2008-01-31,330,320,10
2008-02-28,330,319,21
2008-03-31,330,288,20
2008-04-30,330,274,23
2008-05-31,330,288,23
2008-06-30,330,317,22
2008-07-31,328,316,23
2008-08-31,354,311,23
2008-09-30,330,268,23
2008-10-31,330,283,23
2008-11-30,330,275,23
2008-12-31,330,273,23
2009-01-31,328,202,18
2009-02-28,300,202,21
2009-03-31,300,214,21
2009-04-30,298,242,22
2009-05-31,298,293,22
2009-06-30,298,273,21
2009-07-31,295,294,22
2009-08-31,316,324,23
2009-09-30,308,331,23
2009-10-31,630,324,22
2009-11-30,633,400,23
2009-12-31,634,405,23
2010-01-31,634,405,23
2010-02-28,638,414,12
2010-03-31,619,393,23
2010-04-30,620,397,21
2010-05-31,620,414,23
2010-06-30,622,366,23
2010-07-31,621,376,23
2010-08-31,624,391,19
2010-09-30,626,379,19
2010-10-31,626,374,23
2010-11-30,626,293,22
2010-12-31,624,280,22
2011-01-31,625,279,23
2011-02-28,623,278,23
2011-03-31,623,268,22
2011-04-30,621,250,23
2011-05-31,622,234,22
2011-06-30,622,223,22
2011-07-31,619,263,11
2011-08-31,619,232,15
2011-09-30,634,242,15
2011-10-31,618,249,14
2011-11-30,619,250,14
2011-12-31,621,273,14
2012-01-31,621,273,13
2012-02-28,619,295,13
2012-03-31,618,294,10
2012-04-30,620,287,12
2012-05-31,622,259,15
2012-06-30,621,230,18
2012-07-31,620,196,17
2012-08-31,618,184,15
2012-09-30,618,178,15
2012-10-31,616,164,11
2012-11-30,617,96,13
2012-12-31,620,95,12
2013-01-31,621,97,12
2013-02-28,622,105,11
2013-03-31,621,106,11
2013-04-30,621,106,11
2013-05-31,614,88,11
2013-06-30,613,89,4
2013-07-31,612,89,6
2013-08-31,610,80,7
2013-09-30,605,80,7
2013-10-31,623,85,5
2013-11-30,613,86,7
2013-12-31,624,70,7
2014-01-31,622,74,7
2014-02-28,627,46,8
