"Date","Troops","Police","Experts"
1990-11-30,165,NA,NA
1990-12-31,165,NA,NA
1991-01-31,165,NA,NA
1991-02-28,165,NA,NA
1991-03-31,155,NA,NA
1991-04-30,163,NA,NA
1991-05-31,163,NA,NA
1991-06-30,171,NA,NA
1991-07-31,164,NA,NA
1991-08-31,164,NA,NA
1991-09-30,165,NA,NA
1991-10-31,165,NA,NA
1991-11-30,168,NA,NA
1991-12-31,167,NA,NA
1992-01-31,181,NA,NA
1992-02-29,186,NA,NA
1992-03-31,171,NA,NA
1992-04-30,1154,14,NA
1992-05-31,1154,14,NA
1992-06-30,1154,14,NA
1992-07-31,1154,14,NA
1992-08-31,1797,30,38
1992-09-30,1796,30,38
1992-10-31,1776,30,38
1992-11-30,1799,30,38
1992-12-31,1777,30,40
1993-01-31,1763,30,39
1993-02-28,1756,30,41
1993-03-31,1739,30,41
1993-04-30,1792,30,41
1993-05-31,1780,30,42
1993-06-30,1739,33,44
1993-07-31,1771,30,42
1993-08-31,1644,33,42
1993-09-30,1357,33,41
1993-10-31,1365,33,34
1993-11-30,1248,33,29
1993-12-31,1406,33,31
1994-01-31,1396,33,33
1994-02-28,1378,33,33
1994-03-31,1658,33,33
1994-04-30,1912,29,34
1994-05-31,1890,29,30
1994-06-30,1955,29,33
1994-07-31,2060,29,33
1994-08-31,2073,29,32
1994-09-30,2058,29,30
1994-10-31,2030,29,36
1994-11-30,2026,29,49
1994-12-31,2097,29,43
1995-01-31,2097,29,45
1995-02-28,2098,29,54
1995-03-31,2013,29,51
1995-04-30,1977,29,53
1995-05-31,1959,29,54
1995-06-30,1943,26,52
1995-07-31,1940,26,52
1995-08-31,1824,26,46
1995-09-30,1281,26,52
1995-10-31,1360,15,50
1995-11-30,1230,16,49
1995-12-31,895,5,47
1996-01-31,894,5,39
1996-02-29,891,26,32
1996-03-31,892,26,29
1996-04-30,898,30,30
1996-05-31,926,30,30
1996-06-30,994,30,30
1996-07-31,716,30,32
1996-08-31,984,30,29
1996-09-30,987,30,28
1996-10-31,989,29,30
1996-11-30,1006,29,30
1996-12-31,1039,28,30
1997-01-31,1038,28,33
1997-02-28,1036,29,30
1997-03-31,1034,29,31
1997-04-30,1041,32,29
1997-05-31,1041,28,28
1997-06-30,1040,48,28
1997-07-31,1043,49,30
1997-08-31,1041,49,28
1997-09-30,1039,49,28
1997-10-31,1011,47,27
1997-11-30,1005,49,26
1997-12-31,1009,47,28
1998-01-31,985,47,27
1998-02-28,983,46,24
1998-03-31,984,46,30
1998-04-30,985,36,28
1998-05-31,985,36,28
1998-06-30,987,26,24
1998-07-31,982,31,23
1998-08-31,975,37,22
1998-09-30,982,33,21
1998-10-31,984,41,21
1998-11-30,984,48,21
1998-12-31,984,48,21
1999-01-31,973,48,18
1999-02-28,960,48,16
1999-03-31,983,51,14
1999-04-30,988,52,14
1999-05-31,988,50,14
1999-06-30,989,33,13
1999-07-31,981,50,14
1999-08-31,978,49,16
1999-09-30,988,60,19
1999-10-31,992,57,19
1999-11-30,992,57,19
1999-12-31,987,58,19
2000-01-31,984,57,19
2000-02-28,983,61,19
2000-03-31,989,61,20
2000-04-30,994,61,20
2000-05-31,992,60,18
2000-06-30,989,47,19
2000-07-31,987,63,19
2000-08-31,984,63,19
2000-09-30,990,62,25
2000-10-31,992,80,24
2000-11-30,997,175,24
2000-12-31,993,175,24
2001-01-31,991,175,23
2001-02-28,991,175,23
2001-03-31,993,174,26
2001-04-30,963,175,26
2001-05-31,958,174,25
2001-06-30,955,173,25
2001-07-31,855,181,28
2001-08-31,854,180,29
2001-09-30,827,180,28
2001-10-31,827,172,27
2001-11-30,839,167,28
2001-12-31,837,170,27
2002-01-31,836,172,27
2002-02-28,838,149,26
2002-03-31,836,173,24
2002-04-30,827,168,25
2002-05-31,830,96,26
2002-06-30,822,176,22
2002-07-31,823,175,24
2002-08-30,817,174,24
2002-09-30,817,173,21
2002-10-31,598,156,20
2002-11-30,596,156,21
2002-12-31,596,125,20
2003-01-31,597,125,20
2003-02-28,597,124,19
2003-03-30,595,124,15
2003-04-30,594,123,15
2003-05-31,594,123,15
2003-06-30,594,124,16
2003-07-31,595,124,17
2003-08-31,851,124,16
2003-09-30,597,122,16
2003-10-31,596,123,18
2003-11-30,594,125,19
2003-12-31,592,124,19
2004-01-31,594,127,19
2004-02-28,592,127,20
2004-03-31,591,127,20
2004-04-30,592,128,22
2004-05-31,594,48,22
2004-06-30,591,128,22
2004-07-31,593,128,21
2004-08-31,591,127,21
2004-09-30,591,129,21
2004-10-31,586,128,22
2004-11-30,586,128,22
2004-12-31,581,126,22
2005-01-31,576,126,22
2005-02-28,573,125,22
2005-03-31,574,124,23
2005-04-30,584,117,21
2005-05-31,582,48,21
2005-06-30,575,48,21
2005-07-31,578,128,20
2005-08-31,580,128,21
2005-09-30,578,126,21
2005-10-31,557,127,21
2005-11-30,556,128,23
2005-12-31,555,129,21
2006-01-31,553,129,21
2006-02-28,554,129,23
2006-03-31,563,126,23
2006-04-30,566,127,23
2006-05-31,567,117,23
2006-06-30,567,105,23
2006-07-31,566,128,23
2006-08-31,566,126,18
2006-09-30,590,128,21
2006-10-31,593,126,17
2006-11-30,662,127,22
2006-12-31,660,128,23
2007-01-31,663,127,23
2007-02-28,652,127,21
2007-03-31,671,183,19
2007-04-30,817,131,21
2007-05-31,814,131,21
2007-06-30,837,146,20
2007-07-31,835,145,21
2007-08-31,872,127,21
2007-09-30,835,127,19
2007-10-31,835,127,18
2007-11-30,834,127,17
2007-12-31,833,127,14
2008-01-31,842,130,13
2008-02-28,843,130,16
2008-03-31,836,124,17
2008-04-30,837,123,16
2008-05-31,837,123,16
2008-06-30,842,130,14
2008-07-31,842,130,17
2008-08-31,872,148,16
2008-09-30,835,128,17
2008-10-31,833,128,16
2008-11-30,834,8,16
2008-12-31,829,7,16
2009-01-31,825,5,16
2009-02-28,825,5,14
2009-03-31,1144,5,16
2009-04-30,1105,5,14
2009-05-31,1137,5,14
2009-06-30,1137,3,9
2009-07-31,1129,4,10
2009-08-31,1117,3,12
2009-09-30,1105,3,12
2009-10-31,751,3,13
2009-11-30,524,3,14
2009-12-31,19,3,14
2010-01-31,3,3,14
2010-02-28,4,3,14
2010-03-31,4,3,14
2010-04-30,2,3,14
2010-05-31,2,3,15
2010-06-30,2,3,16
2010-07-31,2,3,15
2010-08-31,2,3,13
2010-09-30,2,3,12
2010-10-31,2,3,13
2010-11-30,2,3,13
2010-12-31,NA,3,12
2011-01-31,NA,3,12
2011-02-28,NA,3,12
2011-03-31,NA,3,12
2011-04-30,NA,3,13
2011-05-31,NA,3,13
2011-06-30,NA,3,13
2011-07-31,NA,3,10
2011-08-31,NA,3,13
2011-09-30,NA,3,12
2011-10-31,NA,3,12
2011-11-30,NA,3,14
2011-12-31,NA,3,14
2012-01-31,NA,3,14
2012-02-28,NA,3,13
2012-03-31,NA,3,13
2012-04-30,NA,1,12
