"Date","Troops","Police","Experts"
1992-04-30,3,14,NA
1992-05-31,3,14,NA
1992-06-30,3,14,NA
1992-07-31,3,14,NA
1992-08-31,NA,36,10
1992-09-30,NA,36,10
1992-10-31,NA,35,10
1992-11-30,NA,35,12
1992-12-31,NA,35,12
1993-01-31,9,36,12
1993-02-28,9,35,12
1993-03-31,12,35,12
1993-04-30,44,35,12
1993-05-31,291,35,12
1993-06-30,286,35,12
1993-07-31,290,35,12
1993-08-31,286,35,12
1993-09-30,286,35,12
1993-10-31,293,35,12
1993-11-30,294,45,13
1993-12-31,294,45,13
1994-01-31,294,45,13
1994-02-28,294,46,13
1994-03-31,284,52,13
1994-04-30,284,51,12
1994-05-31,284,52,13
1994-06-30,150,51,13
1994-07-31,154,74,13
1994-08-31,154,72,13
1994-09-30,157,59,13
1994-10-31,154,97,13
1994-11-30,152,97,13
1994-12-31,152,99,13
1995-01-31,1,41,2
1995-02-28,1,41,18
1995-03-31,2,41,19
1995-04-30,2,43,20
1995-05-31,121,31,20
1995-06-30,121,28,20
1995-07-31,121,28,20
1995-08-31,225,41,20
1995-09-30,229,41,20
1995-10-31,220,41,20
1995-11-30,226,39,20
1995-12-31,230,28,20
1996-01-31,230,28,16
1996-02-29,262,28,10
1996-03-31,336,28,12
1996-04-30,327,42,12
1996-05-31,326,62,13
1996-06-30,326,62,18
1996-07-31,304,60,33
1996-08-31,327,71,17
1996-09-30,323,71,17
1996-10-31,323,72,19
1996-11-30,320,71,19
1996-12-31,321,71,14
1997-01-31,319,71,17
1997-02-28,325,78,17
1997-03-31,316,78,17
1997-04-30,319,78,15
1997-05-31,315,78,14
1997-06-30,313,99,13
1997-07-31,303,98,10
1997-08-31,316,97,10
1997-09-30,366,97,12
1997-10-31,356,98,9
1997-11-30,358,96,12
1997-12-31,303,108,11
1998-01-31,301,108,10
1998-02-28,180,106,10
1998-03-31,184,106,11
1998-04-30,159,116,11
1998-05-31,159,116,11
1998-06-30,133,123,10
1998-07-31,109,121,10
1998-08-31,84,119,10
1998-09-30,84,115,8
1998-10-31,64,109,9
1998-11-30,44,113,7
1998-12-31,44,113,7
1999-01-31,44,23,5
1999-02-28,8,76,7
1999-03-31,1,62,2
1999-04-30,2,63,5
1999-05-31,2,58,5
1999-06-30,NA,48,5
1999-07-31,NA,47,5
1999-08-31,NA,71,5
1999-09-30,1,60,5
1999-10-31,1,50,6
1999-11-30,1,50,6
1999-12-31,1,59,2
2000-01-31,NA,64,6
2000-02-28,767,112,6
2000-03-31,767,111,2
2000-04-30,765,112,2
2000-05-31,765,231,6
2000-06-30,761,231,6
2000-07-31,761,225,6
2000-08-31,764,222,6
2000-09-30,770,222,5
2000-10-31,768,229,5
2000-11-30,766,208,5
2000-12-31,768,217,5
2001-01-31,764,232,5
2001-02-28,764,232,5
2001-03-31,758,164,5
2001-04-30,930,234,5
2001-05-31,928,234,5
2001-06-30,924,234,5
2001-07-31,924,233,3
2001-08-31,914,231,3
2001-09-30,900,230,4
2001-10-31,933,217,4
2001-11-30,936,230,2
2001-12-31,931,213,4
2002-01-31,927,210,2
2002-02-28,922,222,4
2002-03-31,920,213,NA
2002-04-30,736,213,NA
2002-05-31,733,211,4
2002-06-30,678,90,NA
2002-07-31,664,68,1
2002-08-30,650,69,1
2002-09-30,647,69,NA
2002-10-31,646,71,1
2002-11-30,641,71,1
2002-12-31,639,57,1
2003-01-31,653,58,1
2003-02-28,654,56,1
2003-03-30,656,56,1
2003-04-30,654,56,1
