"Date","Troops","Police","Experts"
1993-06-30,61,NA,NA
1993-10-31,252,NA,NA
1993-11-30,249,NA,NA
1993-12-31,253,NA,NA
1994-01-31,252,NA,NA
1994-02-28,251,NA,NA
1994-05-31,6,2,NA
1994-06-30,NA,2,11
1994-07-31,NA,2,11
1994-08-31,27,2,7
1994-09-30,43,2,2
1994-10-31,43,NA,8
1994-11-30,43,NA,13
1994-12-31,42,NA,13
1995-01-31,41,NA,13
1995-02-28,40,NA,14
1995-03-31,40,NA,13
1995-04-30,40,NA,13
1995-05-31,40,NA,13
1995-06-30,40,NA,13
1995-07-31,40,NA,13
1995-08-31,40,NA,13
1995-09-30,40,NA,13
1995-10-31,228,NA,13
1995-11-30,238,NA,17
1995-12-31,238,NA,17
1996-01-31,238,NA,17
1996-02-29,244,NA,17
1996-03-31,244,NA,16
1996-04-30,244,NA,17
1996-05-31,244,NA,17
1996-06-30,244,NA,17
1996-07-31,244,NA,17
1996-08-31,241,NA,17
1996-09-30,224,NA,15
1996-10-31,225,NA,14
1996-11-30,224,NA,14
1996-12-31,26,NA,14
1997-01-31,26,NA,14
1997-02-28,20,NA,14
1997-03-31,20,NA,51
1997-04-30,20,NA,14
1997-05-31,20,NA,14
1997-06-30,20,NA,13
1997-07-31,20,NA,13
1997-08-31,20,NA,13
1997-09-30,14,NA,13
1997-10-31,14,NA,13
1997-11-30,14,NA,13
1997-12-31,14,NA,13
1998-01-31,14,NA,13
1998-02-28,14,NA,13
1998-03-31,14,NA,13
1998-04-30,17,NA,13
1998-05-31,17,NA,13
1998-06-30,20,NA,12
1998-07-31,20,NA,12
1998-08-31,20,NA,12
1998-09-30,20,NA,12
1998-10-31,20,NA,12
1998-11-30,20,NA,12
1998-12-31,20,NA,12
1999-01-31,20,NA,12
1999-02-28,10,NA,12
1999-03-31,NA,NA,12
1999-04-30,20,NA,12
1999-05-31,20,NA,12
1999-06-30,20,NA,12
1999-07-31,20,NA,12
1999-08-31,20,5,12
1999-09-30,20,5,12
1999-10-31,20,NA,12
1999-11-30,20,NA,12
1999-12-31,20,NA,12
2000-01-31,20,NA,12
2000-02-28,464,NA,12
2000-03-31,462,NA,12
2000-04-30,462,NA,12
2000-05-31,464,NA,12
2000-06-30,464,NA,12
2000-07-31,464,NA,12
2000-08-31,464,NA,12
2000-09-30,464,NA,12
2000-10-31,464,NA,12
2000-11-30,464,NA,12
2000-12-31,460,NA,12
2001-01-31,460,NA,12
2001-02-28,460,NA,12
2001-03-31,462,NA,12
2001-04-30,460,NA,12
2001-05-31,460,NA,12
2001-06-30,460,NA,12
2001-07-31,460,NA,12
2001-08-31,459,NA,12
2001-09-30,459,NA,12
2001-10-31,460,NA,14
2001-11-30,460,NA,16
2001-12-31,459,NA,14
2002-01-31,459,NA,14
2002-02-28,460,NA,14
2002-03-31,460,NA,14
2002-04-30,461,NA,13
2002-05-31,461,NA,13
2002-06-30,456,NA,14
2002-07-31,456,NA,14
2002-08-30,456,NA,14
2002-09-30,456,NA,14
2002-10-31,458,NA,14
2002-11-30,457,NA,14
2002-12-31,457,NA,16
2003-01-31,457,NA,16
2003-02-28,457,NA,16
2003-03-30,453,NA,16
2003-04-30,276,NA,16
2003-05-31,256,NA,16
2003-06-30,276,NA,16
2003-07-31,275,NA,17
2003-08-31,275,NA,17
2003-09-30,274,NA,17
2003-10-31,27,NA,17
2003-11-30,27,NA,18
2003-12-31,30,NA,19
2004-01-31,22,NA,19
2004-02-28,23,NA,19
2004-03-31,23,NA,19
2004-04-30,24,NA,18
2004-05-31,24,NA,18
2004-06-30,21,NA,18
2004-07-31,21,NA,18
2004-08-31,21,NA,17
2004-09-30,21,NA,26
2004-10-31,21,NA,22
2004-11-30,21,NA,20
2004-12-31,21,NA,20
2005-01-31,21,NA,22
2005-02-28,21,NA,20
2005-03-31,21,NA,20
2005-04-30,21,NA,20
2005-05-31,21,NA,20
2005-06-30,20,NA,20
