"Date","Troops","Police","Experts"
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,7,NA,NA
1991-10-31,7,NA,NA
1991-11-30,7,NA,NA
1991-12-31,41,NA,NA
1992-02-29,7,NA,NA
1992-03-31,7,NA,NA
1992-04-30,7,NA,NA
1992-05-31,7,NA,NA
1992-06-30,7,NA,NA
1992-07-31,7,NA,NA
1992-08-31,NA,NA,6
1992-09-30,NA,NA,6
1992-10-31,NA,NA,6
1992-11-30,NA,NA,6
1992-12-31,NA,NA,6
1993-01-31,NA,NA,6
1993-02-28,NA,NA,6
1993-03-31,NA,NA,6
1993-04-30,NA,NA,5
1993-05-31,NA,NA,6
1993-06-30,236,NA,6
1993-07-31,NA,230,6
1993-08-31,NA,236,6
1993-09-30,NA,236,5
1993-10-31,235,NA,5
1993-11-30,235,NA,6
1993-12-31,235,NA,6
1994-01-31,232,NA,6
1994-02-28,231,NA,6
1994-03-31,236,NA,6
1994-04-30,231,NA,6
1994-05-31,231,NA,7
1994-06-30,231,NA,7
1994-07-31,237,NA,7
1994-08-31,237,NA,7
1994-09-30,236,NA,7
1994-10-31,NA,NA,7
1994-11-30,NA,NA,7
1994-12-31,NA,NA,7
1995-01-31,NA,NA,7
1995-02-28,NA,NA,7
1995-03-31,NA,NA,7
1995-04-30,NA,NA,7
1995-05-31,137,NA,6
1995-06-30,137,NA,6
1995-07-31,136,NA,6
1995-08-31,346,NA,6
1995-09-30,894,NA,6
1995-10-31,903,NA,6
1995-11-30,892,NA,6
1995-12-31,885,NA,6
1996-01-31,885,NA,6
1996-02-29,885,NA,6
1996-03-31,890,NA,6
1996-04-30,892,NA,6
1996-05-31,932,NA,6
1996-06-30,907,NA,6
1996-07-31,866,NA,6
1996-08-31,895,NA,6
1996-09-30,895,NA,5
1996-10-31,895,NA,5
1996-11-30,898,NA,5
1996-12-31,782,NA,5
1997-01-31,782,NA,5
1997-02-28,781,NA,5
1997-03-31,792,NA,5
1997-04-30,791,NA,5
1997-05-31,782,NA,5
1997-06-30,327,NA,5
1997-07-31,151,NA,5
1997-08-31,151,NA,5
1997-09-30,150,NA,5
1997-10-31,150,NA,5
1997-11-30,150,NA,5
1997-12-31,150,NA,5
1998-01-31,150,NA,5
1998-02-28,146,NA,5
1998-03-31,150,NA,5
1998-04-30,146,NA,5
1998-05-31,146,NA,5
1998-06-30,142,NA,6
1998-07-31,142,NA,6
1998-08-31,142,10,6
1998-09-30,142,10,6
1998-10-31,142,10,6
1998-11-30,142,10,6
1998-12-31,142,10,6
1999-01-31,140,15,6
1999-02-28,138,15,NA
1999-03-31,137,10,6
1999-04-30,134,20,6
1999-05-31,133,20,6
1999-06-30,100,20,5
1999-07-31,101,20,5
1999-08-31,1,45,5
1999-09-30,NA,43,6
1999-10-31,NA,43,6
1999-11-30,NA,43,6
1999-12-31,NA,64,11
2000-01-31,NA,64,9
2000-02-28,NA,64,9
2000-03-31,NA,63,11
2000-04-30,NA,63,12
2000-05-31,NA,63,16
2000-06-30,NA,90,16
2000-07-31,NA,90,16
2000-08-31,NA,88,16
2000-09-30,NA,88,16
2000-10-31,NA,88,22
2000-11-30,NA,88,22
2000-12-31,NA,88,21
2001-01-31,1,87,19
2001-02-28,1,87,19
2001-03-31,1,87,30
2001-04-30,1,85,30
2001-05-31,NA,85,31
2001-06-30,NA,88,31
2001-07-31,NA,88,33
2001-08-31,NA,88,33
2001-09-30,NA,86,33
2001-10-31,NA,86,40
2001-11-30,NA,86,40
2001-12-31,NA,88,40
2002-01-31,NA,88,40
2002-02-28,NA,201,40
2002-03-31,NA,203,40
2002-04-30,NA,203,40
2002-05-31,1,203,39
2002-06-30,1,203,39
2002-07-31,1,200,39
2002-08-30,1,200,40
2002-09-30,1,199,40
