"Date","Troops","Police","Experts"
1990-11-30,35,NA,NA
1990-12-31,35,NA,NA
1991-01-31,35,NA,NA
1991-02-28,35,NA,NA
1991-03-31,35,NA,NA
1991-04-30,56,NA,NA
1991-05-31,54,NA,NA
1991-06-30,55,NA,NA
1991-07-31,54,NA,NA
1991-08-31,55,NA,NA
1991-09-30,84,NA,NA
1991-10-31,84,NA,NA
1991-11-30,86,NA,NA
1991-12-31,51,NA,NA
1992-01-31,81,NA,NA
1992-02-29,87,NA,NA
1992-03-31,90,NA,NA
1992-04-30,995,14,NA
1992-05-31,995,14,NA
1992-06-30,995,14,NA
1992-07-31,995,14,NA
1992-08-31,904,36,148
1992-09-30,887,36,138
1992-10-31,887,36,137
1992-11-30,907,36,137
1992-12-31,886,36,134
1993-01-31,871,36,131
1993-02-28,881,36,130
1993-03-31,881,36,124
1993-04-30,890,36,123
1993-05-31,880,36,121
1993-06-30,886,41,131
1993-07-31,882,36,121
1993-08-31,856,41,104
1993-09-30,835,40,116
1993-10-31,936,40,106
1993-11-30,879,41,97
1993-12-31,880,41,101
1994-01-31,1186,41,116
1994-02-28,1130,41,107
1994-03-31,1095,41,115
1994-04-30,1316,45,111
1994-05-31,1312,38,110
1994-06-30,1361,36,108
1994-07-31,1443,32,107
1994-08-31,1342,39,101
1994-09-30,1384,39,108
1994-10-31,1389,39,111
1994-11-30,1464,36,99
1994-12-31,1420,31,99
1995-01-31,1388,34,98
1995-02-28,1345,33,109
1995-03-31,1310,38,112
1995-04-30,1290,38,114
1995-05-31,1341,29,113
1995-06-30,1510,22,119
1995-07-31,1473,19,121
1995-08-31,1404,11,121
1995-09-30,1384,22,116
1995-10-31,1425,25,118
1995-11-30,1624,25,115
1995-12-31,1595,25,111
1996-01-31,1111,24,94
1996-02-29,1119,24,88
1996-03-31,1080,43,72
1996-04-30,1045,46,72
1996-05-31,1111,45,70
1996-06-30,983,44,69
1996-07-31,1153,46,68
1996-08-31,1068,46,63
1996-09-30,1019,31,62
1996-10-31,1169,46,64
1996-11-30,1106,46,63
1996-12-31,1070,41,62
1997-01-31,1050,41,63
1997-02-28,1023,41,61
1997-03-31,1007,41,63
1997-04-30,1122,41,65
1997-05-31,1024,40,58
1997-06-30,999,42,58
1997-07-31,958,41,58
1997-08-31,986,41,55
1997-09-30,972,39,55
1997-10-31,852,39,54
1997-11-30,351,41,55
1997-12-31,340,41,55
1998-01-31,132,36,49
1998-02-28,218,36,49
1998-03-31,165,36,48
1998-04-30,165,32,51
1998-05-31,165,39,49
1998-06-30,165,40,50
1998-07-31,165,40,51
1998-08-31,151,39,54
1998-09-30,136,38,56
1998-10-31,103,35,55
1998-11-30,104,38,57
1998-12-31,104,38,57
1999-01-31,103,35,52
1999-02-28,92,35,51
1999-03-31,1,35,36
1999-04-30,1,34,48
1999-05-31,1,34,46
1999-06-30,NA,28,47
1999-07-31,3,28,51
1999-08-31,5,102,52
1999-09-30,NA,111,61
1999-10-31,NA,112,58
1999-11-30,NA,112,58
1999-12-31,NA,149,64
2000-01-31,NA,148,66
2000-02-28,NA,146,66
2000-03-31,NA,144,67
2000-04-30,NA,145,68
2000-05-31,NA,145,70
2000-06-30,NA,142,68
2000-07-31,9,137,68
2000-08-31,112,120,68
2000-09-30,110,124,68
2000-10-31,110,118,68
2000-11-30,109,117,69
2000-12-31,109,114,67
2001-01-31,109,115,68
2001-02-28,109,115,68
2001-03-31,110,117,78
2001-04-30,113,138,79
2001-05-31,113,137,81
2001-06-30,113,117,84
2001-07-31,113,139,86
2001-08-31,113,137,85
2001-09-30,114,134,86
2001-10-31,111,158,87
2001-11-30,115,156,98
2001-12-31,114,143,96
2002-01-31,115,147,92
2002-02-28,115,161,96
2002-03-31,113,171,98
2002-04-30,113,168,95
2002-05-31,112,165,92
2002-06-30,112,164,91
2002-07-31,112,136,94
2002-08-30,112,162,97
2002-09-30,116,161,97
2002-10-31,116,138,94
2002-11-30,116,138,91
2002-12-31,117,137,94
2003-01-31,117,121,93
