"Date","Troops","Police","Experts"
2005-05-31,NA,NA,1
2005-06-30,NA,NA,6
2005-07-31,NA,NA,6
2005-08-31,NA,NA,6
2005-09-30,NA,NA,6
2005-10-31,NA,NA,6
2005-11-30,61,NA,11
2005-12-31,255,NA,15
2006-01-31,255,NA,15
2006-02-28,255,NA,15
2006-03-31,255,NA,15
2006-04-30,255,34,18
2006-05-31,255,35,18
2006-06-30,255,35,18
2006-07-31,256,35,18
2006-08-31,256,50,18
2006-09-30,256,50,18
2006-10-31,256,62,18
2006-11-30,260,64,15
2006-12-31,261,64,15
2007-01-31,261,64,15
2007-02-28,261,64,15
2007-03-31,261,64,15
2007-04-30,262,45,15
2007-05-31,262,44,15
2007-06-30,261,61,15
2007-07-31,262,57,15
2007-08-31,262,58,15
2007-09-30,262,62,15
2007-10-31,262,56,15
2007-11-30,258,51,13
2007-12-31,261,128,13
2008-01-31,2828,131,25
2008-02-28,2832,131,24
2008-03-31,2841,145,22
2008-04-30,2849,139,18
2008-05-31,2847,137,17
2008-06-30,2848,125,15
2008-07-31,2833,111,11
2008-08-31,2829,111,15
2008-09-30,2815,114,22
2008-10-31,2826,117,23
2008-11-30,2809,118,24
2008-12-31,3496,119,20
2009-01-31,3497,116,22
2009-02-28,3492,82,23
2009-03-31,3494,91,23
2009-04-30,3493,89,23
2009-05-31,3496,66,23
2009-06-30,3496,66,22
2009-07-31,3492,96,20
2009-08-31,3480,96,12
2009-09-30,3484,93,18
2009-10-31,3490,175,18
2009-11-30,3483,167,19
2009-12-31,3494,157,20
2010-01-31,3490,156,21
2010-02-28,3488,152,23
2010-03-31,3484,141,22
2010-04-30,3485,140,23
2010-05-31,3484,140,23
2010-06-30,3478,153,23
2010-07-31,3485,143,24
2010-08-31,3489,173,24
2010-09-30,3488,127,20
2010-10-31,3488,211,16
2010-11-30,3477,210,20
2010-12-31,3492,298,20
2011-01-31,3490,333,19
2011-02-28,3490,334,17
2011-03-31,3484,414,16
2011-04-30,3489,432,17
2011-05-31,3491,430,20
2011-06-30,3489,436,21
2011-07-31,3486,394,14
2011-08-31,3240,421,20
2011-09-30,3240,413,16
2011-10-31,3241,413,16
2011-11-30,3241,411,14
2011-12-31,3234,418,13
2012-01-31,3234,468,11
2012-02-28,3236,458,11
2012-03-31,3296,456,10
2012-04-30,3829,443,13
2012-05-31,4107,440,4
2012-06-30,4100,458,13
2012-07-31,4098,465,14
2012-08-31,4096,465,14
2012-09-30,4097,394,14
2012-10-31,4107,472,17
2012-11-30,4108,459,17
2012-12-31,4213,467,17
2013-01-31,4211,459,16
2013-02-28,4216,459,16
2013-03-31,4214,466,15
2013-04-30,4213,437,18
2013-05-31,4231,438,15
2013-06-30,4208,463,15
2013-07-31,4210,445,15
2013-08-31,4225,449,14
2013-09-30,4224,368,14
2013-10-31,4224,382,16
2013-11-30,4222,507,14
2013-12-31,4251,483,17
2014-01-31,4242,518,15
2014-02-28,4243,544,15
