"Date","Troops","Police","Experts"
1990-11-30,4,NA,NA
1990-12-31,4,NA,NA
1991-01-31,4,NA,NA
1991-02-28,4,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,12,NA,NA
1991-08-31,12,NA,NA
1991-09-30,12,NA,NA
1991-10-31,22,NA,NA
1991-11-30,24,NA,NA
1991-12-31,24,NA,NA
1992-01-31,24,NA,NA
1992-02-29,24,NA,NA
1992-03-31,24,NA,NA
1992-04-30,24,NA,NA
1992-05-31,24,NA,NA
1992-06-30,24,NA,NA
1992-07-31,24,NA,NA
1992-08-31,NA,NA,24
1992-09-30,NA,NA,24
1992-10-31,NA,NA,24
1992-11-30,NA,NA,25
1992-12-31,NA,NA,24
1993-01-31,NA,NA,9
1993-02-28,NA,NA,9
1993-03-31,NA,NA,9
1993-04-30,NA,NA,9
1993-05-31,NA,NA,9
1993-06-30,NA,NA,8
1993-07-31,NA,NA,9
1993-08-31,NA,NA,8
1993-09-30,NA,NA,18
1993-10-31,NA,NA,18
1993-11-30,NA,NA,45
1993-12-31,NA,NA,45
1994-01-31,NA,NA,45
1994-02-28,NA,NA,45
1994-03-31,NA,NA,45
1994-04-30,NA,NA,45
1994-05-31,NA,NA,44
1994-06-30,NA,NA,44
1994-07-31,NA,NA,18
1994-08-31,43,NA,18
1994-09-30,241,NA,NA
1994-10-31,241,NA,NA
1994-11-30,241,NA,NA
1994-12-31,241,NA,NA
1995-01-31,241,NA,NA
1995-02-28,241,NA,NA
1995-03-31,241,NA,NA
1995-04-30,240,NA,12
1995-05-31,238,19,18
1995-06-30,238,19,12
1995-07-31,238,19,12
1995-08-31,1,20,12
1995-09-30,1,20,12
1995-10-31,1,20,12
1995-11-30,1,20,12
1995-12-31,1,20,19
1996-01-31,1,11,19
1996-02-29,1,11,19
1996-03-31,1,6,19
1996-04-30,NA,59,17
1996-05-31,NA,53,17
1996-06-30,NA,53,17
1996-07-31,NA,53,17
1996-08-31,NA,53,16
1996-09-30,NA,52,15
1996-10-31,NA,52,15
1996-11-30,NA,52,15
1996-12-31,NA,51,15
1997-01-31,NA,51,15
1997-02-28,NA,51,15
1997-03-31,NA,51,15
1997-04-30,NA,32,15
1997-05-31,NA,32,15
1997-06-30,NA,32,15
1997-07-31,NA,32,15
1997-08-31,NA,32,15
1997-09-30,NA,42,15
1997-10-31,NA,42,15
1997-11-30,NA,42,15
1997-12-31,NA,40,15
1998-01-31,NA,40,9
1998-02-28,NA,40,9
1998-03-31,NA,40,9
1998-04-30,129,18,9
1998-05-31,129,26,9
1998-06-30,129,26,14
1998-07-31,129,29,9
1998-08-31,129,29,9
1998-09-30,128,29,9
1998-10-31,127,29,9
1998-11-30,127,29,9
1998-12-31,127,29,9
1999-01-31,127,28,8
1999-02-28,126,29,7
1999-03-31,129,29,6
1999-04-30,129,29,6
1999-05-31,129,31,6
1999-06-30,129,31,5
1999-07-31,129,33,6
1999-08-31,129,41,6
1999-09-30,129,40,6
