"Date","Troops","Police","Experts"
1990-11-30,17,NA,NA
1990-12-31,17,NA,NA
1991-01-31,17,NA,NA
1991-02-28,17,NA,NA
1991-03-31,6,NA,NA
1991-04-30,6,NA,NA
1991-05-31,6,NA,NA
1991-06-30,6,NA,NA
1991-07-31,15,NA,NA
1991-08-31,12,NA,NA
1991-09-30,12,NA,NA
1991-10-31,12,NA,NA
1991-11-30,12,NA,NA
1991-12-31,12,NA,NA
1992-10-31,NA,NA,11
1993-01-31,NA,NA,7
2002-06-30,NA,NA,2
2002-07-31,NA,NA,3
2002-08-30,NA,NA,3
2002-09-30,NA,NA,3
2002-10-31,NA,NA,3
2002-11-30,NA,NA,3
2002-12-31,NA,NA,3
2003-01-31,NA,NA,3
2003-02-28,NA,NA,3
2003-03-30,NA,NA,3
2003-04-30,NA,NA,3
2003-05-31,NA,NA,3
2003-06-30,6,NA,3
2003-07-31,6,NA,2
2003-08-31,6,NA,2
2003-09-30,6,NA,2
2003-10-31,6,NA,2
2003-11-30,6,NA,2
2003-12-31,6,NA,4
2004-01-31,6,NA,4
2004-02-28,6,NA,4
2004-03-31,6,NA,5
2004-04-30,6,8,8
2004-05-31,6,8,9
2004-06-30,6,37,9
2004-07-31,6,8,9
2004-08-31,6,8,9
2004-09-30,6,8,11
2004-10-31,6,8,11
2004-11-30,6,8,11
2004-12-31,6,8,11
2005-01-31,6,8,10
2005-02-28,6,8,10
2005-03-31,6,8,10
2005-04-30,6,7,10
2005-05-31,6,7,10
2005-06-30,6,7,10
2005-07-31,6,8,10
2005-08-31,6,8,10
2005-09-30,6,8,10
2005-10-31,6,8,10
2005-11-30,6,8,10
2005-12-31,6,7,8
2006-01-31,6,4,10
2006-02-28,6,4,10
2006-03-31,6,4,10
2006-04-30,6,3,7
2006-05-31,6,2,10
2006-06-30,6,2,10
2006-07-31,6,6,10
2006-08-31,6,6,10
2006-09-30,6,7,9
2006-10-31,6,7,9
2006-11-30,6,7,7
2006-12-31,6,7,7
2007-01-31,6,7,7
2007-02-28,6,7,7
2007-03-31,6,7,9
2007-04-30,6,7,9
2007-05-31,6,3,9
2007-06-30,6,3,9
2007-07-31,6,3,9
2007-08-31,6,7,9
2007-09-30,6,7,9
2007-10-31,6,7,9
2007-11-30,6,7,9
2007-12-31,6,6,9
2008-01-31,6,6,7
2008-02-28,6,6,7
2008-03-31,6,10,8
2008-04-30,6,11,7
2008-05-31,6,11,7
2008-06-30,6,11,6
2008-07-31,6,11,9
2008-08-31,6,9,9
2008-09-30,6,9,9
2008-10-31,6,11,9
2008-11-30,6,11,9
2008-12-31,6,11,9
2009-01-31,6,11,9
2009-02-28,6,8,9
2009-03-31,6,6,7
2009-04-30,6,6,7
2009-05-31,6,6,7
2009-06-30,11,6,7
2009-07-31,6,11,7
2009-08-31,6,11,7
2009-09-30,6,11,7
2009-10-31,6,9,7
2009-11-30,6,11,7
2009-12-31,27,11,7
2010-01-31,27,11,7
2010-02-28,27,11,7
2010-03-31,27,14,7
2010-04-30,9,11,4
2010-05-31,6,11,5
2010-06-30,6,11,8
2010-07-31,20,11,7
2010-08-31,20,11,9
2010-09-30,20,11,9
2010-10-31,27,11,9
2010-11-30,27,10,9
2010-12-31,18,10,9
2011-01-31,18,10,9
2011-02-28,18,11,9
2011-03-31,18,11,9
2011-04-30,18,10,9
2011-05-31,18,10,9
2011-06-30,23,10,9
2011-07-31,18,11,11
2011-08-31,18,11,9
2011-09-30,56,11,9
2011-10-31,56,11,9
2011-11-30,56,12,9
2011-12-31,61,10,9
2012-01-31,56,12,9
2012-02-28,56,11,9
2012-03-31,57,11,9
2012-04-30,57,13,9
2012-05-31,57,13,9
2012-06-30,57,13,9
2012-07-31,57,8,8
2012-08-31,57,13,9
2012-09-30,57,13,10
2012-10-31,50,13,10
2012-11-30,98,13,10
2012-12-31,104,13,10
2013-01-31,99,13,10
2013-02-28,101,13,8
2013-03-31,103,13,8
2013-04-30,102,13,8
2013-05-31,103,13,8
2013-06-30,103,13,8
2013-07-31,103,13,8
2013-08-31,103,8,8
2013-09-30,103,8,8
2013-10-31,116,8,8
2013-11-30,197,8,8
2013-12-31,197,8,8
2014-01-31,197,8,8
2014-02-28,197,8,8
