"Date","Troops","Police","Experts"
2004-09-30,NA,5,NA
2004-10-31,NA,5,NA
2004-11-30,NA,5,NA
2004-12-31,NA,5,NA
2005-01-31,NA,5,NA
2005-02-28,NA,7,NA
2005-03-31,NA,7,NA
2005-04-30,NA,7,NA
2005-05-31,NA,7,NA
2005-06-30,NA,7,NA
2005-07-31,NA,7,NA
2005-08-31,NA,7,NA
2005-09-30,NA,7,NA
2005-10-31,NA,7,NA
2005-11-30,NA,7,NA
2005-12-31,250,7,NA
2006-01-31,250,7,NA
2006-02-28,NA,7,NA
2006-03-31,NA,7,NA
2006-04-30,NA,2,NA
2006-05-31,NA,2,NA
2006-06-30,NA,2,NA
2006-07-31,NA,2,NA
2006-08-31,NA,2,NA
2006-09-30,NA,2,NA
2006-10-31,NA,2,NA
2006-11-30,NA,2,NA
2006-12-31,NA,2,NA
2007-01-31,NA,2,NA
2007-02-28,1,2,2
2007-03-31,NA,1,3
2007-04-30,NA,NA,3
2007-05-31,NA,NA,3
2007-06-30,NA,NA,3
2007-07-31,NA,NA,3
2007-08-31,NA,NA,3
2007-09-30,NA,NA,3
2007-10-31,NA,2,3
2007-11-30,NA,2,3
2007-12-31,NA,2,3
2008-01-31,NA,20,3
2008-02-28,NA,20,5
2008-03-31,NA,20,5
2008-04-30,NA,20,5
2008-05-31,NA,20,5
2008-06-30,NA,20,5
2008-07-31,NA,20,3
2008-08-31,NA,20,3
2008-09-30,NA,20,3
2008-10-31,2,20,3
2008-11-30,11,20,6
2008-12-31,12,20,6
2009-01-31,12,19,6
2009-02-28,12,19,4
2009-03-31,12,19,6
2009-04-30,12,20,10
2009-05-31,12,81,10
2009-06-30,12,64,10
2009-07-31,14,64,10
2009-08-31,13,64,10
2009-09-30,13,64,10
2009-10-31,15,64,10
2009-11-30,7,64,12
2009-12-31,60,63,12
2010-01-31,65,63,12
2010-02-28,169,63,12
2010-03-31,169,63,10
2010-04-30,169,63,13
2010-05-31,168,63,14
2010-06-30,139,63,16
2010-07-31,134,61,15
2010-08-31,160,61,14
2010-09-30,138,158,15
2010-10-31,138,158,14
2010-11-30,138,158,16
2010-12-31,139,157,16
2011-01-31,138,157,14
2011-02-28,135,244,14
2011-03-31,134,277,14
2011-04-30,137,276,17
2011-05-31,139,280,14
2011-06-30,139,280,12
2011-07-31,138,279,9
2011-08-31,138,279,14
2011-09-30,138,222,14
2011-10-31,138,221,13
2011-11-30,140,259,10
2011-12-31,139,259,10
2012-01-31,139,259,10
2012-02-28,137,258,10
2012-03-31,136,258,10
2012-04-30,136,257,8
2012-05-31,134,257,11
2012-06-30,138,257,11
2012-07-31,138,255,10
2012-08-31,138,255,10
2012-09-30,137,195,10
2012-10-31,138,195,11
2012-11-30,138,194,10
2012-12-31,138,193,11
2013-01-31,138,193,11
2013-02-28,13,193,11
2013-03-31,13,193,10
2013-04-30,13,191,12
2013-05-31,13,144,13
2013-06-30,14,110,12
2013-07-31,11,110,12
2013-08-31,14,125,11
2013-09-30,13,90,13
2013-10-31,14,90,14
2013-11-30,13,55,13
2013-12-31,13,95,12
2014-01-31,14,95,13
2014-02-28,14,95,13
