"Date","Troops","Police","Experts"
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,15,NA,NA
1991-08-31,15,NA,NA
1991-09-30,15,NA,NA
1991-10-31,15,NA,NA
1991-11-30,15,NA,NA
1991-12-31,14,NA,NA
1992-01-31,15,NA,NA
1992-02-29,15,NA,NA
1992-03-31,15,8,NA
1992-04-30,17,15,NA
1992-05-31,17,15,NA
1992-06-30,17,15,NA
1992-07-31,17,15,NA
1992-08-31,NA,75,15
1992-09-30,NA,75,15
1992-10-31,NA,75,15
1992-11-30,NA,75,13
1992-12-31,NA,75,7
1993-01-31,NA,75,7
1993-02-28,NA,75,7
1993-03-31,NA,75,7
1993-04-30,NA,75,6
1993-05-31,62,75,6
1993-06-30,NA,75,6
1993-07-31,NA,75,6
1993-08-31,NA,3,6
1993-09-30,NA,1,6
1993-10-31,NA,1,6
1993-11-30,NA,NA,7
1993-12-31,NA,NA,7
1994-01-31,NA,NA,7
1994-02-28,NA,NA,7
1994-03-31,NA,NA,7
1994-04-30,NA,NA,7
1994-05-31,NA,NA,7
1994-06-30,NA,NA,7
1994-07-31,NA,NA,7
1994-08-31,NA,NA,7
1994-09-30,NA,NA,13
1994-10-31,NA,NA,13
1994-11-30,NA,NA,12
1994-12-31,NA,NA,12
1995-01-31,NA,NA,12
1995-02-28,NA,NA,12
1995-03-31,NA,NA,12
1995-04-30,NA,NA,12
1995-05-31,NA,NA,6
1995-06-30,NA,NA,12
1995-07-31,NA,NA,12
1995-08-31,NA,NA,12
1995-09-30,NA,NA,12
1995-10-31,NA,NA,13
1995-11-30,NA,NA,13
1995-12-31,NA,NA,6
1996-01-31,NA,NA,6
1996-02-29,NA,NA,6
1996-03-31,NA,NA,6
1996-04-30,NA,NA,6
1996-05-31,NA,NA,6
1996-06-30,NA,NA,6
1996-07-31,NA,NA,6
1996-08-31,NA,NA,7
1996-09-30,NA,NA,7
1996-10-31,NA,NA,7
1996-11-30,NA,NA,7
1996-12-31,NA,NA,7
1997-01-31,NA,NA,7
1997-02-28,NA,NA,12
1997-03-31,NA,NA,12
1997-04-30,NA,NA,11
1997-05-31,NA,NA,6
1997-06-30,NA,NA,6
1997-07-31,NA,NA,5
1997-08-31,NA,NA,5
1997-09-30,NA,NA,5
1997-10-31,NA,NA,5
1997-11-30,NA,NA,5
1997-12-31,NA,NA,5
1998-01-31,NA,NA,5
1998-02-28,NA,NA,5
1998-03-31,NA,NA,5
1998-04-30,NA,NA,5
1998-05-31,NA,NA,5
1998-06-30,NA,NA,5
1998-07-31,NA,NA,6
1998-08-31,NA,NA,6
1998-09-30,NA,NA,6
1998-10-31,NA,NA,6
1998-11-30,NA,NA,6
1998-12-31,NA,NA,6
1999-01-31,NA,NA,6
1999-02-28,NA,NA,6
1999-03-31,NA,NA,6
1999-04-30,NA,NA,6
1999-05-31,NA,NA,6
1999-06-30,NA,NA,6
1999-07-31,NA,NA,6
1999-08-31,NA,NA,6
1999-09-30,NA,NA,5
1999-10-31,NA,NA,5
1999-11-30,NA,NA,5
1999-12-31,NA,NA,5
2000-01-31,NA,NA,6
2000-02-28,24,NA,5
2000-03-31,24,40,5
2000-04-30,24,39,5
2000-05-31,24,40,5
2000-06-30,24,40,5
2000-07-31,24,40,5
2000-08-31,24,40,5
2000-09-30,24,40,5
2000-10-31,24,40,5
2000-11-30,24,40,5
2000-12-31,24,75,5
2001-01-31,23,40,7
2001-02-28,23,40,7
2001-03-31,24,40,7
2001-04-30,24,40,7
2001-05-31,26,40,7
2001-06-30,87,40,7
2001-07-31,94,40,7
2001-08-31,87,40,7
2001-09-30,86,80,7
2001-10-31,87,40,7
2001-11-30,86,40,7
2001-12-31,86,40,7
2002-01-31,88,40,7
2002-02-28,71,25,7
2002-03-31,63,25,8
2002-04-30,64,25,4
