"Date","Troops","Police","Experts"
1993-04-30,NA,NA,6
1993-05-31,409,NA,6
1993-06-30,398,NA,6
1993-07-31,398,NA,5
1993-08-31,408,NA,5
1993-09-30,402,NA,5
1993-10-31,412,NA,5
1993-11-30,306,NA,20
1993-12-31,404,NA,21
1994-01-31,464,NA,21
1994-02-28,526,NA,20
1994-03-31,591,NA,20
1994-04-30,583,NA,20
1994-05-31,572,NA,20
1994-06-30,557,NA,20
1994-07-31,600,NA,20
1994-08-31,587,NA,18
1994-09-30,581,NA,20
1994-10-31,580,NA,12
1994-11-30,582,NA,5
1994-12-31,575,NA,5
1995-01-31,571,NA,5
1995-02-28,569,NA,5
1995-03-31,567,NA,5
1995-04-30,566,NA,5
1995-05-31,589,NA,5
1995-06-30,584,NA,5
1995-07-31,580,NA,5
1995-08-31,595,NA,5
1995-09-30,595,NA,5
1995-10-31,590,NA,5
1995-11-30,593,NA,5
1995-12-31,609,NA,5
1996-01-31,591,NA,5
1996-02-29,588,NA,5
1996-03-31,588,NA,10
1996-04-30,599,NA,5
1996-05-31,595,NA,5
1996-06-30,593,NA,5
1996-07-31,588,NA,5
1996-08-31,603,NA,5
1996-09-30,592,NA,5
1996-10-31,583,NA,5
1996-11-30,602,NA,5
1996-12-31,583,NA,5
1997-01-31,581,NA,5
1997-02-28,580,NA,5
1997-03-31,580,NA,5
1997-04-30,562,NA,5
1997-05-31,561,NA,5
1997-06-30,560,NA,5
1997-07-31,559,NA,5
1997-08-31,359,NA,5
1997-09-30,357,NA,5
1997-10-31,366,NA,5
1997-11-30,256,NA,5
1997-12-31,256,NA,5
1998-01-31,6,NA,3
1998-02-28,6,NA,3
1998-03-31,NA,NA,3
1998-04-30,NA,NA,3
1998-05-31,NA,NA,3
1998-06-30,35,NA,3
1998-07-31,35,NA,3
1998-08-31,35,NA,3
1998-09-30,35,NA,5
1998-10-31,35,NA,5
1998-11-30,35,NA,5
1998-12-31,35,NA,5
1999-01-31,35,NA,5
1999-02-28,35,NA,4
1999-03-31,35,NA,2
1999-04-30,35,NA,2
1999-05-31,35,NA,2
1999-06-30,93,NA,2
1999-07-31,93,NA,2
1999-08-31,93,NA,4
1999-09-30,93,NA,4
1999-10-31,93,NA,4
1999-11-30,93,NA,4
1999-12-31,93,NA,4
2000-01-31,93,NA,4
2000-02-28,93,NA,4
2000-03-31,92,NA,4
2000-04-30,92,NA,4
2000-05-31,93,NA,4
2000-06-30,93,NA,4
2000-07-31,93,NA,4
2000-08-31,93,NA,4
2000-09-30,93,NA,4
2000-10-31,93,NA,4
2000-11-30,93,NA,4
2000-12-31,157,NA,4
2001-01-31,252,NA,4
2001-02-28,252,NA,4
2001-03-31,251,NA,4
2001-04-30,253,NA,4
2001-05-31,332,NA,4
2001-06-30,566,NA,4
2001-07-31,608,NA,4
2001-08-31,604,NA,4
2001-09-30,606,NA,4
2001-10-31,604,NA,4
2001-11-30,602,NA,4
2001-12-31,593,NA,4
2002-01-31,593,NA,4
2002-02-28,592,NA,4
2002-03-31,595,NA,4
2002-04-30,595,NA,4
2002-05-31,597,NA,4
2002-06-30,596,NA,4
2002-07-31,600,NA,4
2002-08-30,504,NA,4
2002-09-30,608,NA,4
2002-10-31,606,NA,4
2002-11-30,603,NA,4
2002-12-31,609,NA,4
2003-01-31,606,NA,4
2003-02-28,606,NA,4
2003-03-30,604,NA,4
2003-04-30,603,2,4
2003-05-31,604,NA,4
2003-06-30,604,NA,4
2003-07-31,603,NA,4
2003-08-31,603,NA,4
2003-09-30,603,NA,4
2003-10-31,600,NA,4
2003-11-30,509,NA,4
2003-12-31,493,NA,4
2004-01-31,496,NA,4
2004-02-28,495,NA,4
2004-03-31,502,13,4
2004-04-30,499,NA,4
2004-05-31,501,NA,2
2004-06-30,394,NA,4
2004-07-31,371,NA,4
2004-08-31,368,NA,3
2004-09-30,368,NA,3
2004-10-31,367,NA,3
2004-11-30,367,NA,3
2004-12-31,360,NA,3
2005-01-31,299,NA,3
2005-02-28,298,NA,3
2005-03-31,298,NA,3
2005-04-30,295,NA,1
2005-05-31,295,NA,1
2005-06-30,299,NA,1
2005-07-31,300,NA,1
2005-08-31,299,NA,1
2005-09-30,293,NA,1
2005-10-31,293,NA,3
2005-11-30,290,NA,1
2005-12-31,290,NA,NA
2006-01-31,293,NA,2
2006-02-28,291,NA,2
2006-03-31,291,NA,2
2006-04-30,291,NA,2
2006-05-31,291,NA,NA
2006-06-30,291,NA,NA
2006-07-31,291,NA,NA
2006-08-31,290,NA,NA
2006-09-30,292,NA,NA
2006-10-31,291,NA,2
2006-11-30,292,NA,2
2006-12-31,292,NA,2
2007-01-31,292,NA,2
2007-02-28,291,NA,2
2007-03-31,297,NA,2
2007-04-30,297,NA,2
2007-05-31,296,NA,1
2007-06-30,297,NA,2
2007-07-31,295,NA,2
2007-08-31,289,NA,2
2007-09-30,295,NA,2
2007-10-31,291,NA,2
2007-11-30,292,NA,2
2007-12-31,291,NA,2
2008-01-31,291,NA,2
2008-02-28,291,NA,2
2008-03-31,291,NA,3
2008-04-30,291,NA,3
2008-05-31,291,NA,3
2008-06-30,196,NA,1
2008-07-31,195,NA,3
2008-08-31,195,NA,3
2008-09-30,196,NA,2
2008-10-31,188,NA,11
2008-11-30,196,NA,3
2008-12-31,196,NA,3
2009-01-31,196,NA,2
2009-02-28,196,1,2
2009-03-31,196,NA,2
2009-04-30,196,NA,2
2009-05-31,196,NA,2
2009-06-30,210,NA,2
2009-07-31,195,1,2
2009-08-31,196,NA,2
2009-09-30,196,NA,2
2009-10-31,196,NA,2
2009-11-30,196,NA,2
2009-12-31,196,NA,2
2010-01-31,196,NA,2
2010-02-28,196,NA,2
2010-03-31,196,NA,2
2010-04-30,196,NA,2
2010-05-31,196,NA,2
2010-06-30,195,NA,2
2010-07-31,195,NA,2
2010-08-31,194,NA,2
2010-09-30,198,NA,2
2010-10-31,198,NA,2
2010-11-30,198,NA,2
2010-12-31,198,NA,2
2011-01-31,199,NA,2
2011-02-28,199,NA,2
2011-03-31,198,NA,3
2011-04-30,198,NA,3
2011-05-31,198,NA,3
2011-06-30,198,NA,3
2011-07-31,198,NA,3
2011-08-31,197,NA,3
2011-09-30,159,NA,3
2011-10-31,159,NA,3
2011-11-30,159,NA,3
2011-12-31,159,NA,3
2012-01-31,159,NA,3
2012-02-28,159,NA,3
2012-03-31,159,NA,2
2012-04-30,159,NA,2
2012-05-31,159,NA,2
2012-06-30,159,NA,2
2012-07-31,159,NA,2
2012-08-31,158,NA,2
2012-09-30,159,NA,2
2012-10-31,159,NA,2
2012-11-30,159,NA,2
2012-12-31,159,NA,2
2013-01-31,159,NA,2
2013-02-28,159,NA,2
2013-03-31,159,NA,2
2013-04-30,158,NA,2
2013-05-31,159,NA,2
2013-06-30,158,2,2
2013-07-31,157,2,2
2013-08-31,157,2,2
2013-09-30,157,2,2
2013-10-31,157,2,2
2013-11-30,157,2,2
2013-12-31,157,1,2
2014-01-31,157,1,2
2014-02-28,157,1,2
