"Date","Troops","Police","Experts"
1997-11-30,10,NA,NA
1997-12-31,10,NA,NA
1998-01-31,10,NA,NA
1998-02-28,10,NA,NA
1998-03-31,12,NA,NA
1998-04-30,10,NA,NA
1998-05-31,10,NA,NA
1998-06-30,10,NA,NA
1998-07-31,10,NA,NA
1998-08-31,18,NA,NA
1998-09-30,26,NA,1
1998-10-31,26,NA,1
1998-11-30,26,NA,2
1998-12-31,26,NA,2
1999-01-31,26,NA,2
1999-02-28,26,NA,1
1999-03-31,27,NA,2
1999-04-30,27,NA,2
1999-05-31,27,NA,2
1999-06-30,27,NA,2
1999-07-31,27,NA,2
1999-08-31,27,NA,2
1999-09-30,29,NA,2
1999-10-31,29,NA,2
1999-11-30,29,NA,2
1999-12-31,29,NA,2
2000-01-31,29,NA,2
2000-02-28,29,NA,2
2000-03-31,29,2,2
2000-04-30,29,2,2
2000-05-31,29,2,2
2000-06-30,29,2,2
2000-07-31,29,2,2
2000-08-31,29,2,2
2000-09-30,29,2,2
2000-10-31,29,17,2
2000-11-30,29,16,1
2000-12-31,29,17,1
2001-01-31,29,17,2
2001-02-28,29,17,2
2001-03-31,29,17,2
2001-04-30,29,17,2
2001-05-31,29,17,2
2001-06-30,3,17,2
2001-07-31,2,17,2
2001-08-31,1,17,2
2001-09-30,NA,17,2
2001-10-31,NA,17,2
2001-11-30,NA,17,2
2001-12-31,NA,17,2
2002-01-31,NA,17,2
2002-02-28,NA,17,2
2002-03-31,NA,17,2
2002-04-30,NA,17,2
2002-05-31,NA,17,2
2002-06-30,NA,17,2
2002-07-31,NA,17,2
2002-08-30,NA,17,2
2002-09-30,NA,16,3
2002-10-31,NA,15,3
2002-11-30,NA,15,3
2002-12-31,NA,17,4
2003-01-31,NA,17,3
2003-02-28,NA,17,3
2003-03-30,NA,17,3
2003-04-30,NA,15,3
2003-05-31,NA,17,3
2003-06-30,NA,17,3
2003-07-31,NA,17,3
2003-08-31,NA,17,3
2003-09-30,NA,17,2
2003-10-31,NA,15,2
2003-11-30,NA,14,2
2003-12-31,NA,13,2
2004-01-31,NA,13,2
2004-02-28,NA,13,2
2004-03-31,NA,NA,2
2004-04-30,NA,21,2
2004-05-31,2,15,NA
2004-06-30,NA,14,2
2004-07-31,NA,14,2
2004-08-31,NA,14,2
2004-09-30,NA,14,2
2004-10-31,NA,15,2
2004-11-30,NA,14,2
2004-12-31,NA,14,2
2005-01-31,NA,14,2
2005-02-28,NA,14,2
2005-03-31,NA,14,2
2005-04-30,NA,14,NA
2005-05-31,NA,14,NA
2005-06-30,NA,14,NA
2005-07-31,NA,13,NA
2005-08-31,NA,13,NA
2005-09-30,NA,13,NA
2005-10-31,NA,15,2
2005-11-30,NA,15,NA
2005-12-31,NA,15,NA
2006-01-31,NA,15,2
2006-02-28,NA,15,2
2006-03-31,NA,15,2
2006-04-30,NA,15,2
2006-05-31,NA,15,NA
2006-06-30,NA,14,NA
2006-07-31,NA,14,NA
2006-08-31,NA,14,NA
2006-09-30,NA,14,NA
2006-10-31,NA,8,2
2006-11-30,NA,15,2
2006-12-31,11,15,2
2007-01-31,12,15,2
2007-02-28,12,15,2
2007-03-31,12,15,2
2007-04-30,12,15,2
2007-05-31,12,15,2
2007-06-30,12,15,2
2007-07-31,12,15,2
2007-08-31,12,15,2
2007-09-30,NA,15,2
2007-10-31,NA,15,2
2007-11-30,NA,15,2
2007-12-31,NA,15,2
2008-01-31,14,15,2
2008-02-28,12,15,3
2008-03-31,12,15,2
2008-04-30,12,15,2
2008-05-31,12,14,2
2008-06-30,12,14,3
2008-07-31,14,14,3
2008-08-31,14,14,3
2008-09-30,14,6,2
2008-10-31,15,6,2
2008-11-30,14,6,3
2008-12-31,14,6,3
2009-01-31,14,1,3
2009-02-28,14,NA,3
2009-03-31,14,1,2
2009-04-30,14,1,2
2009-05-31,14,1,2
2009-06-30,NA,1,2
2009-07-31,14,NA,2
2009-08-31,14,1,2
2009-09-30,14,1,2
2009-10-31,14,1,2
2009-11-30,14,1,2
2009-12-31,14,1,2
2010-01-31,14,NA,2
2010-02-28,14,NA,2
2010-03-31,14,NA,2
2010-04-30,14,NA,2
2010-05-31,28,NA,2
2010-06-30,14,NA,2
2010-07-31,14,NA,2
2010-08-31,14,NA,2
2010-09-30,14,NA,2
2010-10-31,14,NA,2
2010-11-30,14,NA,2
2010-12-31,14,NA,2
2011-01-31,14,NA,3
2011-02-28,14,NA,3
2011-03-31,14,NA,3
2011-04-30,14,NA,3
2011-05-31,14,NA,3
2011-06-30,14,NA,3
2011-07-31,14,NA,3
2011-08-31,14,NA,3
2011-09-30,14,NA,3
2011-10-31,14,NA,3
2011-11-30,14,NA,3
2011-12-31,14,NA,3
2012-01-31,14,NA,3
2012-02-28,14,NA,3
2012-03-31,14,NA,3
2012-04-30,14,NA,3
2012-05-31,28,NA,4
2012-06-30,14,NA,4
2012-07-31,14,NA,4
2012-08-31,14,NA,3
2012-09-30,14,NA,3
2012-10-31,14,NA,3
2012-11-30,28,NA,3
2012-12-31,14,NA,3
2013-01-31,14,NA,3
2013-02-28,14,NA,3
2013-03-31,14,NA,4
2013-04-30,14,NA,4
2013-05-31,28,NA,4
2013-06-30,14,NA,5
2013-07-31,14,NA,5
2013-08-31,14,NA,5
2013-09-30,14,NA,5
2013-10-31,14,NA,5
2013-11-30,28,NA,5
2013-12-31,14,NA,5
2014-01-31,14,NA,6
2014-02-28,14,NA,5
