"Date","Troops","Police","Experts"
1999-09-30,NA,NA,1
1999-10-31,NA,NA,1
1999-11-30,NA,NA,1
1999-12-31,NA,NA,1
2000-01-31,NA,NA,1
2000-02-28,NA,NA,1
2000-03-31,NA,NA,1
2000-04-30,NA,NA,1
2000-05-31,NA,NA,1
2000-06-30,NA,NA,1
2000-07-31,NA,NA,1
2000-08-31,NA,NA,1
2000-09-30,NA,NA,1
2000-10-31,NA,NA,1
2000-11-30,NA,NA,1
2000-12-31,2,NA,2
2001-01-31,2,NA,6
2001-02-28,2,NA,6
2001-03-31,2,NA,9
2001-04-30,10,NA,6
2001-05-31,97,NA,5
2001-06-30,97,NA,17
2001-07-31,97,NA,6
2001-08-31,97,NA,6
2001-09-30,97,NA,7
2001-10-31,99,NA,6
2001-11-30,99,NA,6
2001-12-31,98,NA,6
2002-01-31,98,NA,6
2002-02-28,98,NA,6
2002-03-31,98,NA,6
2002-04-30,138,NA,6
2002-05-31,146,NA,6
2002-06-30,147,NA,7
2002-07-31,153,NA,5
2002-08-30,151,NA,6
2002-09-30,152,NA,5
2002-10-31,152,NA,6
2002-11-30,151,NA,6
2002-12-31,153,NA,7
2003-01-31,152,NA,6
2003-02-28,153,NA,6
2003-03-30,152,NA,7
2003-04-30,186,NA,8
2003-05-31,154,NA,7
2003-06-30,1391,NA,6
2003-07-31,1403,NA,7
2003-08-31,1409,NA,7
2003-09-30,1407,NA,7
2003-10-31,1409,NA,7
2003-11-30,1410,NA,7
2003-12-31,1409,NA,6
2004-01-31,1450,NA,3
2004-02-28,1448,NA,6
2004-03-31,1458,NA,8
2004-04-30,1452,NA,8
2004-05-31,1275,NA,7
2004-06-30,2358,NA,7
2004-07-31,2473,NA,7
2004-08-31,2438,NA,10
2004-09-30,2504,NA,10
2004-10-31,2444,NA,11
2004-11-30,2387,NA,11
2004-12-31,2319,NA,12
2005-01-31,2306,NA,11
2005-02-28,2288,NA,13
2005-03-31,2306,NA,10
2005-04-30,2315,NA,10
2005-05-31,2120,NA,14
2005-06-30,2167,NA,13
2005-07-31,2161,NA,11
2005-08-31,2307,NA,13
2005-09-30,2292,NA,12
2005-10-31,2134,NA,28
2005-11-30,1982,NA,28
2005-12-31,1984,NA,26
2006-01-31,1968,NA,27
2006-02-28,2020,NA,26
2006-03-31,2010,NA,36
2006-04-30,1976,NA,36
2006-05-31,2035,NA,34
2006-06-30,1967,NA,34
2006-07-31,2056,NA,38
2006-08-31,2052,NA,37
2006-09-30,2053,NA,36
2006-10-31,2049,NA,28
2006-11-30,1997,NA,38
2006-12-31,1057,NA,33
2007-01-31,1165,NA,31
2007-02-28,1188,NA,21
2007-03-31,1166,NA,22
2007-04-30,1160,NA,20
2007-05-31,1161,NA,24
2007-06-30,1185,2,25
2007-07-31,1184,2,25
2007-08-31,1187,NA,17
2007-09-30,1187,NA,23
2007-10-31,1190,3,26
2007-11-30,1191,3,27
2007-12-31,1139,130,27
2008-01-31,1715,129,44
2008-02-28,1728,128,49
2008-03-31,1727,17,27
2008-04-30,1749,17,26
2008-05-31,1756,83,28
2008-06-30,1762,96,31
2008-07-31,1759,96,31
2008-08-31,1748,96,36
2008-09-30,1745,159,29
2008-10-31,1782,159,31
2008-11-30,1806,158,30
2008-12-31,1844,158,30
2009-01-31,1842,157,31
2009-02-28,1843,157,30
2009-03-31,1841,144,30
2009-04-30,1841,144,30
2009-05-31,1808,143,28
2009-06-30,1829,137,17
2009-07-31,1848,138,25
2009-08-31,1849,217,28
2009-09-30,1847,217,31
2009-10-31,1970,154,28
2009-11-30,1935,154,35
2009-12-31,1992,154,32
2010-01-31,1968,154,31
2010-02-28,1788,154,31
2010-03-31,1791,154,31
2010-04-30,1940,154,33
2010-05-31,1938,233,32
2010-06-30,1941,159,25
2010-07-31,1993,158,23
2010-08-31,1990,79,27
2010-09-30,1980,79,29
2010-10-31,2004,117,26
2010-11-30,1990,154,29
2010-12-31,2005,154,28
2011-01-31,2006,154,28
2011-02-28,2002,154,28
2011-03-31,1995,152,27
2011-04-30,2006,152,27
2011-05-31,2004,148,27
2011-06-30,2024,73,30
2011-07-31,2026,131,30
2011-08-31,2023,131,21
2011-09-30,1984,131,15
2011-10-31,1959,58,20
2011-11-30,1841,58,20
2011-12-31,1989,58,20
2012-01-31,2015,58,27
2012-02-28,2017,58,30
2012-03-31,2017,72,31
2012-04-30,2016,72,29
2012-05-31,1998,72,34
2012-06-30,2026,71,29
2012-07-31,2020,71,31
2012-08-31,2010,71,31
2012-09-30,2003,71,31
2012-10-31,1982,71,24
2012-11-30,2028,71,24
2012-12-31,2064,71,23
2013-01-31,2043,14,24
2013-02-28,2052,14,15
2013-03-31,2042,13,14
2013-04-30,1756,13,17
2013-05-31,1644,13,18
2013-06-30,2032,29,19
2013-07-31,2028,28,19
2013-08-31,2070,28,19
2013-09-30,2070,61,19
2013-10-31,2120,61,20
2013-11-30,2107,61,19
2013-12-31,2092,61,20
2014-01-31,2105,61,21
2014-02-28,2105,61,20
