"Date","Troops","Police","Experts"
1990-11-30,720,18,NA
1990-12-31,720,18,NA
1991-01-31,720,18,NA
1991-02-28,720,18,NA
1991-03-31,728,18,NA
1991-04-30,753,18,NA
1991-05-31,759,18,NA
1991-06-30,742,18,NA
1991-07-31,751,17,NA
1991-08-31,749,17,NA
1991-09-30,721,29,NA
1991-10-31,702,NA,NA
1991-11-30,635,28,NA
1991-12-31,635,28,NA
1992-01-31,641,28,NA
1992-02-29,636,28,NA
1992-03-31,628,28,NA
1992-04-30,148,55,NA
1992-05-31,148,55,NA
1992-06-30,148,55,NA
1992-07-31,148,55,NA
1992-08-31,632,94,71
1992-09-30,619,93,71
1992-10-31,621,104,70
1992-11-30,616,96,58
1992-12-31,604,91,57
1993-01-31,629,71,74
1993-02-28,871,71,80
1993-03-31,859,73,80
1993-04-30,881,71,81
1993-05-31,1028,71,70
1993-06-30,1051,67,70
1993-07-31,1000,70,75
1993-08-31,981,38,73
1993-09-30,1336,38,79
1993-10-31,1882,38,72
1993-11-30,1672,36,70
1993-12-31,1622,37,70
1994-01-31,1708,46,77
1994-02-28,1715,46,62
1994-03-31,1486,47,73
1994-04-30,1053,47,76
1994-05-31,1253,84,75
1994-06-30,1249,95,75
1994-07-31,1291,94,75
1994-08-31,1264,94,69
1994-09-30,1192,96,69
1994-10-31,1183,92,72
1994-11-30,1212,37,67
1994-12-31,1220,47,67
1995-01-31,1214,35,74
1995-02-28,1207,35,74
1995-03-31,439,9,74
1995-04-30,1148,35,75
1995-05-31,1179,35,76
1995-06-30,1169,30,72
1995-07-31,1187,30,72
1995-08-31,1232,30,73
1995-09-30,1148,26,73
1995-10-31,1157,26,77
1995-11-30,1172,35,76
1995-12-31,127,35,74
1996-01-31,118,43,68
1996-02-29,105,50,66
1996-03-31,54,91,65
1996-04-30,43,66,66
1996-05-31,43,108,64
1996-06-30,41,60,62
1996-07-31,41,59,66
1996-08-31,44,59,63
1996-09-30,45,56,68
1996-10-31,44,64,61
1996-11-30,45,65,60
1996-12-31,44,64,60
1997-01-31,45,61,62
1997-02-28,42,62,62
1997-03-31,43,61,61
1997-04-30,41,67,57
1997-05-31,42,66,56
1997-06-30,41,84,61
1997-07-31,41,80,41
1997-08-31,39,80,41
1997-09-30,39,78,42
1997-10-31,39,89,42
1997-11-30,39,81,41
1997-12-31,40,84,40
1998-01-31,40,90,36
1998-02-28,40,90,37
1998-03-31,40,90,36
1998-04-30,43,90,35
1998-05-31,77,90,35
1998-06-30,77,91,38
1998-07-31,114,90,34
1998-08-31,142,89,35
1998-09-30,169,88,36
1998-10-31,106,85,34
1998-11-30,106,68,34
1998-12-31,106,68,34
1999-01-31,198,62,35
1999-02-28,209,58,31
1999-03-31,31,54,25
1999-04-30,NA,42,30
1999-05-31,NA,65,30
1999-06-30,NA,64,30
1999-07-31,NA,92,31
1999-08-31,NA,121,31
1999-09-30,NA,120,34
1999-10-31,NA,120,34
1999-11-30,NA,120,34
1999-12-31,NA,111,36
2000-01-31,NA,120,39
2000-02-28,NA,119,38
2000-03-31,NA,117,41
2000-04-30,NA,117,41
2000-05-31,NA,119,42
2000-06-30,6,119,41
2000-07-31,44,103,40
2000-08-31,45,117,41
2000-09-30,46,115,41
2000-10-31,46,103,43
2000-11-30,51,102,44
2000-12-31,6,102,44
2001-01-31,100,33,39
2001-02-28,100,33,39
2001-03-31,6,96,46
2001-04-30,6,96,47
2001-05-31,NA,88,44
2001-06-30,NA,87,45
2001-07-31,1,88,46
2001-08-31,1,87,46
2001-09-30,1,98,46
2001-10-31,1,87,46
2001-11-30,1,87,47
2001-12-31,1,90,42
2002-01-31,1,89,39
2002-02-28,1,89,38
2002-03-31,1,88,38
2002-04-30,1,87,34
2002-05-31,1,88,34
2002-06-30,1,87,33
2002-07-31,1,89,32
2002-08-30,1,89,33
2002-09-30,1,88,33
2002-10-31,1,75,33
2002-11-30,1,75,36
2002-12-31,1,58,36
2003-01-31,1,58,37
2003-02-28,1,58,35
2003-03-30,1,54,33
2003-04-30,1,54,34
2003-05-31,2,54,33
2003-06-30,94,53,32
2003-07-31,90,52,32
2003-08-31,90,53,32
2003-09-30,90,55,32
2003-10-31,95,55,30
2003-11-30,95,54,30
2003-12-31,95,54,29
2004-01-31,95,54,31
2004-02-28,143,57,32
2004-03-31,324,42,29
2004-04-30,321,43,33
2004-05-31,333,45,24
2004-06-30,237,44,30
2004-07-31,233,46,28
2004-08-31,230,46,27
2004-09-30,236,46,29
2004-10-31,235,46,30
2004-11-30,235,44,30
2004-12-31,234,41,30
2005-01-31,233,41,29
2005-02-28,227,42,29
2005-03-31,231,52,29
2005-04-30,233,52,22
2005-05-31,236,53,20
2005-06-30,240,53,22
2005-07-31,239,58,23
2005-08-31,237,58,22
2005-09-30,242,65,24
2005-10-31,237,64,29
2005-11-30,238,68,21
2005-12-31,236,64,21
2006-01-31,236,35,30
2006-02-28,236,65,30
2006-03-31,233,67,30
2006-04-30,240,66,23
2006-05-31,237,71,23
2006-06-30,235,67,23
2006-07-31,233,64,23
2006-08-31,233,64,20
2006-09-30,234,66,21
2006-10-31,158,63,25
2006-11-30,45,63,26
2006-12-31,73,66,25
2007-01-31,70,65,28
2007-02-28,70,69,28
2007-03-31,69,65,31
2007-04-30,70,70,32
2007-05-31,70,76,31
2007-06-30,71,77,31
2007-07-31,71,76,30
2007-08-31,3,74,31
2007-09-30,3,78,32
2007-10-31,4,79,33
2007-11-30,3,81,33
2007-12-31,3,84,32
2008-01-31,3,87,33
2008-02-28,3,85,32
2008-03-31,2,71,32
2008-04-30,2,69,32
2008-05-31,2,86,33
2008-06-30,2,83,30
2008-07-31,2,82,31
2008-08-31,1,81,28
2008-09-30,2,55,26
2008-10-31,6,53,23
2008-11-30,3,50,27
2008-12-31,3,50,27
2009-01-31,3,46,27
2009-02-28,5,46,27
2009-03-31,5,55,26
2009-04-30,4,56,25
2009-05-31,4,44,25
2009-06-30,4,45,24
2009-07-31,3,39,22
2009-08-31,2,46,22
2009-09-30,2,46,20
2009-10-31,2,45,24
2009-11-30,2,33,20
2009-12-31,2,34,24
2010-01-31,1,34,27
2010-02-28,2,34,25
2010-03-31,1,33,25
2010-04-30,1,34,25
2010-05-31,2,26,24
2010-06-30,2,33,24
2010-07-31,2,32,22
2010-08-31,2,32,22
2010-09-30,NA,32,23
2010-10-31,4,28,21
2010-11-30,3,36,21
2010-12-31,3,33,21
2011-01-31,3,33,19
2011-02-28,3,33,19
2011-03-31,3,33,20
2011-04-30,3,33,20
2011-05-31,3,32,21
2011-06-30,3,27,21
2011-07-31,NA,20,17
2011-08-31,2,25,21
2011-09-30,3,26,22
2011-10-31,2,33,20
2011-11-30,1,31,21
2011-12-31,1,30,21
2012-01-31,1,28,21
2012-02-28,3,28,20
2012-03-31,4,35,21
2012-04-30,3,25,22
2012-05-31,4,31,23
2012-06-30,4,29,25
2012-07-31,4,34,25
2012-08-31,4,41,24
2012-09-30,4,41,24
2012-10-31,3,38,24
2012-11-30,2,42,24
2012-12-31,3,48,25
2013-01-31,3,47,25
2013-02-28,3,45,25
2013-03-31,3,40,25
2013-04-30,3,40,25
2013-05-31,2,31,23
2013-06-30,1,32,21
2013-07-31,6,27,24
2013-08-31,8,24,22
2013-09-30,8,24,22
2013-10-31,8,24,21
2013-11-30,7,24,21
2013-12-31,6,33,21
2014-01-31,6,33,21
2014-02-28,6,35,21
