"Date","Troops","Police","Experts"
1995-08-31,NA,5,NA
1995-09-30,NA,5,NA
1995-10-31,NA,5,NA
1995-11-30,NA,5,NA
1995-12-31,NA,5,NA
1996-01-31,NA,3,NA
1996-02-29,NA,3,NA
1996-03-31,NA,3,NA
1996-04-30,NA,3,NA
1996-05-31,NA,3,NA
1996-06-30,NA,3,NA
1996-07-31,NA,3,NA
1996-08-31,NA,3,NA
1996-09-30,NA,3,NA
1996-10-31,NA,3,NA
1996-11-30,NA,3,NA
1996-12-31,NA,3,NA
1997-01-31,NA,3,NA
1997-02-28,NA,3,NA
1997-03-31,NA,3,NA
1997-04-30,NA,3,NA
1997-05-31,NA,3,NA
1997-06-30,NA,3,NA
1997-07-31,NA,3,NA
1997-08-31,NA,3,NA
1997-09-30,NA,3,NA
1997-10-31,NA,3,NA
1997-11-30,NA,3,NA
1997-12-31,NA,3,NA
1998-01-31,NA,3,NA
1998-02-28,NA,3,NA
1998-03-31,NA,3,NA
1998-04-30,NA,3,NA
1998-05-31,NA,3,NA
1998-06-30,NA,3,NA
1998-07-31,NA,3,NA
1998-08-31,NA,3,NA
1998-09-30,NA,3,NA
1998-10-31,NA,3,NA
1998-11-30,NA,3,NA
1998-12-31,NA,3,NA
1999-01-31,NA,2,NA
1999-02-28,NA,1,NA
1999-08-31,NA,5,NA
1999-09-30,NA,NA,13
1999-10-31,NA,NA,13
1999-11-30,NA,NA,13
1999-12-31,NA,NA,14
2000-01-31,NA,NA,14
2000-02-28,NA,NA,2
2000-03-31,NA,NA,2
2000-04-30,NA,NA,2
2000-05-31,NA,NA,7
2000-06-30,NA,NA,7
2000-07-31,NA,NA,7
2000-08-31,NA,NA,20
2000-09-30,NA,NA,25
2000-10-31,NA,NA,26
2000-11-30,NA,NA,26
2000-12-31,3,NA,25
2001-01-31,4,NA,24
2001-02-28,4,NA,24
2001-03-31,4,NA,22
2001-04-30,4,NA,24
2001-05-31,3,NA,22
2001-06-30,3,NA,19
2001-07-31,3,NA,19
2001-08-31,3,NA,18
2001-09-30,3,1,20
2001-10-31,3,2,20
2001-11-30,3,2,20
2001-12-31,3,2,20
2002-01-31,3,2,20
2002-02-28,3,2,20
2002-03-31,3,2,19
2002-04-30,3,2,20
2002-05-31,3,2,20
2002-06-30,3,2,20
2002-07-31,3,2,20
2002-08-30,3,2,19
2002-09-30,3,2,19
2002-10-31,3,1,19
2002-11-30,3,1,20
2002-12-31,3,1,20
2003-01-31,NA,1,20
2003-02-28,3,1,20
2003-03-30,3,1,20
2003-04-30,3,1,20
2003-05-31,3,1,20
2003-06-30,3,1,20
2003-07-31,3,1,20
2003-08-31,3,1,19
2003-09-30,3,1,17
2003-10-31,3,1,20
2003-11-30,3,1,9
2003-12-31,3,NA,19
2004-01-31,3,NA,19
2004-02-28,3,NA,19
2004-03-31,3,NA,20
2004-04-30,3,NA,20
2004-05-31,3,NA,18
2004-06-30,3,NA,19
2004-07-31,3,NA,20
2004-08-31,3,NA,20
2004-09-30,3,NA,20
2004-10-31,3,NA,20
2004-11-30,3,NA,20
2004-12-31,3,NA,15
2005-01-31,3,NA,15
2005-02-28,2,NA,15
2005-03-31,2,1,14
2005-04-30,2,1,14
2005-05-31,2,1,14
2005-06-30,2,1,14
2005-07-31,2,1,13
2005-08-31,3,1,13
2005-09-30,3,1,10
2005-10-31,3,1,12
2005-11-30,3,3,12
2005-12-31,3,3,18
2006-01-31,3,3,27
2006-02-28,1,3,28
2006-03-31,1,4,28
2006-04-30,3,4,28
2006-05-31,3,4,28
2006-06-30,3,4,27
2006-07-31,3,4,26
2006-08-31,2,3,27
2006-09-30,3,3,28
2006-10-31,4,2,29
2006-11-30,6,2,23
2006-12-31,6,2,18
2007-01-31,8,2,23
2007-02-28,83,2,22
2007-03-31,83,2,22
2007-04-30,81,2,22
2007-05-31,80,1,22
2007-06-30,86,1,24
2007-07-31,86,NA,24
2007-08-31,87,NA,23
2007-09-30,87,NA,24
2007-10-31,86,1,24
2007-11-30,85,1,24
2007-12-31,85,1,24
2008-01-31,89,1,9
2008-02-28,85,NA,19
2008-03-31,85,NA,13
2008-04-30,85,NA,13
2008-05-31,85,NA,23
2008-06-30,81,9,23
2008-07-31,80,9,23
2008-08-31,80,9,21
2008-09-30,84,9,30
2008-10-31,85,9,30
2008-11-30,85,9,30
2008-12-31,88,9,30
2009-01-31,88,9,30
2009-02-28,90,9,20
2009-03-31,90,9,25
2009-04-30,93,9,25
2009-05-31,96,9,21
2009-06-30,96,9,26
2009-07-31,102,9,26
2009-08-31,363,60,26
2009-09-30,361,60,19
2009-10-31,365,66,26
2009-11-30,364,66,28
2009-12-31,365,62,27
2010-01-31,371,62,27
2010-02-28,969,62,29
2010-03-31,969,87,24
2010-04-30,966,87,26
2010-05-31,965,88,24
2010-06-30,966,84,28
2010-07-31,966,82,30
2010-08-31,893,82,31
2010-09-30,895,82,34
2010-10-31,971,82,36
2010-11-30,967,82,30
2010-12-31,966,154,30
2011-01-31,963,187,30
2011-02-28,963,188,30
2011-03-31,1041,188,29
2011-04-30,1038,186,28
2011-05-31,1046,186,27
2011-06-30,1046,186,35
2011-07-31,1045,186,20
2011-08-31,1045,186,21
2011-09-30,1048,186,18
2011-10-31,1048,131,16
2011-11-30,1049,131,15
2011-12-31,1047,131,17
2012-01-31,1045,131,16
2012-02-28,1050,131,26
2012-03-31,1049,134,27
2012-04-30,1049,134,24
2012-05-31,1049,134,28
2012-06-30,1048,133,27
2012-07-31,1048,133,28
2012-08-31,1049,133,28
2012-09-30,1052,316,29
2012-10-31,1055,317,29
2012-11-30,1053,317,28
2012-12-31,1049,263,28
2013-01-31,1050,237,29
2013-02-28,1052,240,19
2013-03-31,1056,216,29
2013-04-30,1059,216,30
2013-05-31,1671,216,25
2013-06-30,2303,211,25
2013-07-31,2305,211,35
2013-08-31,2305,212,32
2013-09-30,2295,199,27
2013-10-31,2300,199,27
2013-11-30,2293,191,27
2013-12-31,2291,187,27
2014-01-31,2215,186,27
2014-02-28,2215,186,27
