"Date","Troops","Police","Experts"
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,7,NA,NA
1991-10-31,7,NA,NA
1991-11-30,7,NA,NA
1991-12-31,7,NA,NA
1992-01-31,7,NA,NA
1992-02-29,712,NA,NA
1992-03-31,712,NA,NA
1992-04-30,716,NA,NA
1992-05-31,716,NA,NA
1992-06-30,716,NA,NA
1992-07-31,716,NA,NA
1992-08-31,720,NA,7
1992-09-30,720,NA,7
1992-10-31,720,NA,7
1992-11-30,720,NA,7
1992-12-31,720,NA,7
1993-01-31,NA,720,7
1993-02-28,NA,720,7
1993-03-31,NA,720,7
1993-04-30,NA,719,7
1993-05-31,NA,720,7
1993-06-30,NA,714,7
1993-07-31,NA,714,6
1993-08-31,NA,711,6
1993-09-30,NA,711,6
1993-10-31,9,NA,6
1993-11-30,NA,NA,6
1993-12-31,NA,NA,6
1994-01-31,NA,NA,6
1994-02-28,NA,NA,6
1994-03-31,NA,NA,6
1994-04-30,NA,NA,6
1994-05-31,NA,NA,6
1994-06-30,6,NA,NA
1994-07-31,6,NA,NA
1994-08-31,6,NA,NA
1994-09-30,6,NA,NA
1994-10-31,6,NA,NA
1994-11-30,6,NA,NA
1994-12-31,6,NA,NA
1995-01-31,6,NA,NA
1995-02-28,6,NA,NA
1995-03-31,6,NA,NA
1995-04-30,6,NA,NA
1995-05-31,NA,NA,6
1995-06-30,NA,NA,6
1995-07-31,NA,NA,7
1995-08-31,NA,NA,7
1995-09-30,NA,NA,7
1995-10-31,NA,NA,7
1995-11-30,NA,NA,7
1995-12-31,NA,NA,7
1996-01-31,NA,NA,7
1996-02-29,NA,NA,7
1996-03-31,NA,NA,7
1996-04-30,NA,NA,7
1996-05-31,NA,NA,7
1996-06-30,NA,NA,7
1996-07-31,NA,NA,7
1996-08-31,NA,NA,5
1996-09-30,NA,NA,5
1996-10-31,NA,NA,5
1996-11-30,NA,NA,5
1996-12-31,NA,NA,5
1997-01-31,NA,NA,5
1997-02-28,NA,NA,5
1997-03-31,NA,NA,5
1997-04-30,NA,NA,5
1997-05-31,NA,NA,5
1997-06-30,NA,NA,5
1997-07-31,NA,NA,5
1997-08-31,NA,NA,5
1997-09-30,NA,NA,5
1997-10-31,NA,NA,5
1997-11-30,NA,NA,5
1997-12-31,NA,3,5
1998-01-31,NA,3,5
1998-02-28,NA,3,5
1998-03-31,NA,3,5
1998-04-30,NA,3,5
1998-05-31,NA,3,5
1998-06-30,NA,3,5
1998-07-31,NA,3,5
1998-08-31,NA,3,5
1998-09-30,NA,3,5
1998-10-31,NA,3,5
1998-11-30,NA,5,5
1998-12-31,NA,5,5
1999-01-31,NA,5,5
1999-02-28,NA,5,5
1999-03-31,NA,5,5
1999-04-30,NA,5,5
1999-05-31,NA,NA,5
1999-06-30,NA,NA,6
1999-07-31,NA,5,6
1999-08-31,2,12,6
1999-09-30,NA,11,8
1999-10-31,NA,8,8
1999-11-30,NA,8,8
1999-12-31,NA,7,23
2000-01-31,NA,7,22
2000-02-28,909,6,35
2000-03-31,909,7,35
2000-04-30,907,36,35
2000-05-31,908,35,35
2000-06-30,910,35,32
2000-07-31,910,33,32
2000-08-31,709,33,21
2000-09-30,708,33,30
2000-10-31,708,35,20
2000-11-30,709,36,20
2000-12-31,707,41,17
2001-01-31,707,41,17
2001-02-28,707,41,17
2001-03-31,704,40,16
2001-04-30,738,34,16
2001-05-31,735,34,10
2001-06-30,736,34,16
2001-07-31,738,37,16
2001-08-31,736,37,16
2001-09-30,736,37,16
2001-10-31,736,35,16
2001-11-30,736,35,16
2001-12-31,736,29,11
2002-01-31,735,34,17
2002-02-28,402,34,17
2002-03-31,397,35,17
2002-04-30,366,35,17
2002-05-31,366,34,17
2002-06-30,364,36,18
