"Date","Troops","Police","Experts"
2005-12-31,NA,10,NA
2006-01-31,NA,10,NA
2006-02-28,NA,10,NA
2006-03-31,NA,10,NA
2006-04-30,NA,10,NA
2006-05-31,NA,10,NA
2006-06-30,NA,10,NA
2006-07-31,NA,10,NA
2006-08-31,NA,10,NA
2006-09-30,NA,10,NA
2006-10-31,NA,10,NA
2006-11-30,NA,10,NA
2006-12-31,NA,9,NA
2007-01-31,NA,9,NA
2007-02-28,NA,9,NA
2007-03-31,NA,9,NA
2007-04-30,NA,8,NA
2007-05-31,NA,8,NA
2007-06-30,NA,2,NA
2007-07-31,NA,2,NA
2007-08-31,NA,2,NA
2007-09-30,NA,2,NA
2007-10-31,NA,2,NA
2007-11-30,NA,2,NA
2011-11-30,NA,NA,1
2011-12-31,NA,NA,1
2012-01-31,NA,NA,1
2012-02-28,11,NA,1
2012-03-31,11,NA,1
2012-04-30,11,NA,1
2012-05-31,11,NA,1
2012-06-30,NA,NA,1
2012-07-31,NA,NA,1
2012-08-31,NA,NA,1
2012-09-30,NA,NA,1
2012-10-31,NA,NA,2
2012-11-30,NA,NA,2
2012-12-31,NA,NA,2
2013-01-31,NA,NA,2
2013-02-28,NA,NA,2
2013-03-31,NA,NA,2
2013-04-30,NA,NA,2
2013-05-31,NA,NA,2
2013-06-30,NA,NA,2
2013-07-31,NA,NA,2
2013-08-31,NA,NA,2
2013-09-30,NA,NA,2
2013-11-30,NA,NA,3
2013-12-31,NA,NA,3
2014-01-31,NA,NA,3
2014-02-28,NA,NA,3
