"Date","Troops","Police","Experts"
1994-01-31,NA,5,15
1994-02-28,NA,20,15
1994-03-31,NA,20,15
1994-04-30,NA,20,14
1994-05-31,NA,15,14
1994-06-30,NA,15,13
1994-07-31,NA,20,13
1994-08-31,NA,10,NA
1994-09-30,NA,10,NA
1994-10-31,NA,10,NA
1994-11-30,NA,10,NA
1994-12-31,NA,10,NA
1995-01-31,NA,5,NA
1995-02-28,NA,24,NA
1995-03-31,NA,13,NA
1995-04-30,NA,9,NA
1995-05-31,NA,9,NA
1995-06-30,NA,9,NA
1995-07-31,NA,9,NA
1995-08-31,NA,9,NA
1995-09-30,NA,9,NA
1995-10-31,NA,9,NA
1995-11-30,NA,9,NA
1995-12-31,NA,8,NA
1996-01-31,NA,28,NA
1996-02-29,NA,28,NA
1996-03-31,NA,8,NA
1996-04-30,NA,8,NA
1996-05-31,NA,8,NA
1996-06-30,NA,5,NA
1996-07-31,NA,1,NA
1996-08-31,NA,2,NA
1996-09-30,NA,2,NA
1996-10-31,NA,2,NA
1996-11-30,NA,2,NA
1996-12-31,NA,9,NA
1997-01-31,NA,9,NA
1997-02-28,NA,9,NA
1997-03-31,NA,9,NA
1997-04-30,NA,9,NA
1997-05-31,NA,9,NA
1997-06-30,NA,9,NA
1997-07-31,NA,7,NA
1997-08-31,NA,7,NA
1997-09-30,NA,7,NA
1997-10-31,NA,7,NA
1997-11-30,NA,7,NA
1997-12-31,NA,7,NA
1998-01-31,NA,7,NA
1998-02-28,NA,7,NA
1998-03-31,NA,7,NA
1998-04-30,124,7,NA
1998-05-31,126,7,NA
1998-06-30,126,6,NA
1998-07-31,126,7,NA
1998-08-31,126,7,NA
1998-09-30,126,6,NA
1998-10-31,126,6,NA
1998-11-30,126,6,NA
1998-12-31,126,6,NA
1999-01-31,126,7,NA
1999-02-28,126,7,NA
1999-03-31,126,7,NA
1999-04-30,126,7,NA
1999-05-31,126,7,NA
1999-06-30,126,NA,NA
1999-07-31,126,7,NA
1999-08-31,126,7,NA
1999-09-30,126,7,NA
1999-10-31,126,7,NA
1999-11-30,126,7,NA
1999-12-31,NA,7,NA
2000-01-31,NA,7,NA
2000-02-28,NA,7,NA
2003-10-31,151,NA,NA
2003-11-30,150,NA,1
2003-12-31,150,NA,1
2004-01-31,150,NA,1
2004-02-28,150,NA,1
2004-03-31,150,NA,1
2004-04-30,382,NA,3
2004-05-31,437,1,3
2004-06-30,296,1,10
2004-07-31,297,1,10
2004-08-31,300,1,16
2004-09-30,299,5,18
2004-10-31,299,5,18
2004-11-30,299,5,18
2004-12-31,300,5,18
2005-01-31,300,5,18
2005-02-28,300,5,18
2005-03-31,300,5,19
2005-04-30,300,5,19
2005-05-31,300,5,19
2005-06-30,300,5,19
2005-07-31,300,5,21
2005-08-31,300,5,18
2005-09-30,300,10,18
2005-10-31,300,10,19
2005-11-30,300,10,19
2005-12-31,300,10,18
2006-01-31,300,10,18
2006-02-28,299,10,18
2006-03-31,298,10,18
2006-04-30,299,5,18
2006-05-31,299,5,18
2006-06-30,295,6,16
2006-07-31,319,6,17
2006-08-31,317,6,13
2006-09-30,320,6,13
2006-10-31,319,10,14
2006-11-30,321,10,14
2006-12-31,320,10,8
2007-01-31,320,10,8
2007-02-28,320,17,8
2007-03-31,320,17,8
2007-04-30,320,17,8
2007-05-31,320,12,8
2007-06-30,319,12,8
2007-07-31,320,12,8
2007-08-31,320,12,8
2007-09-30,320,12,8
2007-10-31,319,11,9
2007-11-30,316,11,11
2007-12-31,316,13,9
2008-01-31,317,13,17
2008-02-28,317,6,16
2008-03-31,317,15,16
2008-04-30,319,22,13
2008-05-31,319,19,13
2008-06-30,319,19,16
2008-07-31,318,19,16
2008-08-31,316,23,9
2008-09-30,317,23,17
2008-10-31,317,28,17
2008-11-30,317,28,17
2008-12-31,317,26,17
2009-01-31,317,28,16
2009-02-28,323,26,16
2009-03-31,394,30,17
2009-04-30,522,41,15
2009-05-31,758,33,17
2009-06-30,771,33,17
2009-07-31,772,49,17
2009-08-31,773,49,17
2009-09-30,771,49,10
2009-10-31,772,40,17
2009-11-30,773,50,17
2009-12-31,773,48,17
2010-01-31,772,47,17
2010-02-28,767,67,16
2010-03-31,767,64,17
2010-04-30,767,62,17
2010-05-31,768,60,17
2010-06-30,770,60,17
2010-07-31,674,52,17
2010-08-31,673,52,17
2010-09-30,674,48,16
2010-10-31,729,44,19
2010-11-30,729,43,15
2010-12-31,516,176,15
2011-01-31,516,166,16
2011-02-28,517,168,16
2011-03-31,516,167,17
2011-04-30,517,166,15
2011-05-31,476,160,17
2011-06-30,527,160,17
2011-07-31,525,163,17
2011-08-31,525,152,17
2011-09-30,525,153,17
2011-10-31,525,153,15
2011-11-30,526,148,17
2011-12-31,526,148,17
2012-01-31,526,153,16
2012-02-28,526,153,16
2012-03-31,526,153,16
2012-04-30,526,153,16
2012-05-31,526,152,21
2012-06-30,527,152,21
2012-07-31,528,151,18
2012-08-31,526,151,16
2012-09-30,526,153,16
2012-10-31,526,171,17
2012-11-30,526,171,15
2012-12-31,526,178,16
2013-01-31,526,171,16
2013-02-28,526,172,22
2013-03-31,525,168,17
2013-04-30,525,168,17
2013-05-31,525,167,17
2013-06-30,525,167,17
2013-07-31,1465,320,17
2013-08-31,1464,319,18
2013-09-30,1464,319,18
2013-10-31,1464,315,18
2013-11-30,1464,299,18
2013-12-31,1464,324,19
2014-01-31,1410,324,18
2014-02-28,1410,324,19
