"Date","Troops","Police","Experts"
1991-09-30,9,NA,NA
1991-10-31,9,NA,NA
1991-11-30,11,NA,NA
1991-12-31,11,NA,NA
1992-01-31,11,NA,NA
1992-02-29,11,NA,NA
1992-03-31,21,NA,NA
1992-04-30,21,13,NA
1992-05-31,21,13,NA
1992-06-30,21,13,NA
1992-07-31,21,13,NA
1992-08-31,867,44,26
1992-09-30,868,44,26
1992-10-31,868,44,26
1992-11-30,868,44,25
1992-12-31,868,44,26
1993-01-31,869,43,25
1993-02-28,869,43,25
1993-03-31,869,42,25
1993-04-30,868,42,26
1993-05-31,999,41,26
1993-06-30,994,41,26
1993-07-31,987,NA,26
1993-08-31,144,11,23
1993-09-30,143,11,20
1993-10-31,143,11,9
1993-11-30,203,11,9
1993-12-31,204,11,9
1994-01-31,203,11,9
1994-02-28,61,11,9
1994-03-31,60,11,9
1994-04-30,40,10,9
1994-05-31,40,10,9
1994-06-30,NA,10,9
1994-07-31,NA,10,9
1994-08-31,NA,10,9
1994-09-30,30,10,19
1994-10-31,833,NA,20
1994-11-30,844,12,19
1994-12-31,844,12,21
1995-01-31,843,17,21
1995-02-28,843,12,21
1995-03-31,840,12,21
1995-04-30,840,12,21
1995-05-31,834,12,19
1995-06-30,830,NA,19
1995-07-31,22,NA,19
1995-08-31,22,NA,19
1995-09-30,19,10,9
1995-10-31,17,10,9
1995-11-30,19,10,9
1995-12-31,NA,NA,9
1996-01-31,NA,NA,9
1996-02-29,NA,12,9
1996-03-31,NA,33,9
1996-04-30,NA,30,9
1996-05-31,NA,30,9
1996-06-30,NA,30,9
1996-07-31,NA,30,9
1996-08-31,NA,30,9
1996-09-30,NA,30,6
1996-10-31,NA,30,6
1996-11-30,NA,30,2
1996-12-31,NA,30,2
1997-01-31,NA,30,2
1997-02-28,NA,23,2
1997-03-31,NA,23,2
1997-04-30,NA,26,9
1997-05-31,NA,26,1
1997-06-30,NA,26,NA
1997-07-31,NA,16,NA
1997-08-31,NA,16,NA
1997-09-30,NA,20,NA
1997-10-31,NA,20,NA
1997-11-30,NA,19,NA
1997-12-31,NA,25,NA
1998-01-31,NA,25,NA
1998-02-28,NA,26,NA
1998-03-31,NA,23,NA
1998-04-30,NA,24,NA
1998-05-31,NA,22,NA
1998-06-30,NA,22,NA
1998-07-31,NA,23,NA
1998-08-31,NA,23,NA
1998-09-30,NA,6,NA
1998-10-31,NA,6,NA
1998-11-30,NA,6,NA
1998-12-31,NA,6,NA
1999-01-31,NA,7,NA
1999-02-28,NA,7,NA
1999-03-31,NA,6,NA
1999-04-30,NA,5,NA
1999-05-31,NA,7,NA
1999-06-30,NA,12,NA
1999-07-31,NA,7,NA
1999-08-31,NA,7,NA
1999-09-30,NA,7,NA
1999-10-31,NA,17,NA
1999-11-30,NA,17,NA
1999-12-31,NA,19,NA
2000-01-31,NA,11,NA
2000-02-28,NA,18,NA
2000-03-31,NA,12,NA
2000-04-30,NA,12,NA
2000-05-31,NA,12,NA
2000-06-30,NA,12,6
2000-07-31,NA,12,7
2000-08-31,NA,12,7
2000-09-30,NA,12,7
2000-10-31,NA,11,7
2000-11-30,NA,11,7
2000-12-31,NA,11,7
2001-01-31,NA,12,9
2001-02-28,NA,12,9
2001-03-31,NA,11,18
