"Date","Troops","Police","Experts"
1990-11-30,2,NA,NA
1990-12-31,2,NA,NA
1991-01-31,2,NA,NA
1991-02-28,2,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,7,NA,NA
1991-10-31,7,NA,NA
1991-11-30,7,NA,NA
1991-12-31,7,NA,NA
1992-01-31,7,NA,NA
1992-02-29,7,NA,NA
1992-03-31,7,NA,NA
1992-04-30,7,NA,NA
1992-05-31,7,NA,NA
1992-06-30,7,NA,NA
1992-07-31,7,NA,NA
1992-08-31,NA,NA,6
1992-09-30,NA,NA,6
1992-10-31,NA,NA,6
1992-11-30,NA,NA,6
1992-12-31,NA,NA,6
1993-01-31,NA,NA,6
1993-02-28,NA,NA,6
1993-03-31,NA,NA,6
1993-04-30,NA,NA,6
1993-05-31,320,NA,6
1993-06-30,320,NA,6
1993-07-31,320,NA,7
1993-08-31,319,NA,7
1993-09-30,324,NA,7
1993-10-31,326,NA,7
1993-11-30,320,NA,7
1993-12-31,320,NA,7
1994-01-31,NA,NA,7
1994-02-28,NA,NA,7
1994-03-31,NA,NA,7
1994-04-30,NA,NA,7
1994-05-31,NA,NA,7
1994-06-30,1497,NA,7
1994-07-31,NA,NA,6
1994-08-31,NA,NA,6
1994-09-30,NA,NA,6
1994-10-31,NA,NA,11
1994-11-30,NA,NA,11
1994-12-31,NA,NA,11
1995-01-31,NA,NA,11
1995-02-28,NA,NA,11
1995-03-31,NA,NA,11
1995-04-30,1477,NA,11
1995-05-31,1478,NA,11
1995-06-30,1485,12,11
1995-07-31,1478,12,11
1995-08-31,1493,12,11
1995-09-30,1478,12,11
1995-10-31,1466,NA,11
1995-11-30,1166,NA,11
1995-12-31,10,NA,10
1996-01-31,6,NA,11
1996-02-29,2,NA,11
1996-03-31,3,30,11
1996-04-30,2,30,11
1996-05-31,2,30,11
1996-06-30,2,30,11
1996-07-31,2,30,11
1996-08-31,NA,30,10
1996-09-30,NA,30,10
1996-10-31,NA,30,10
1996-11-30,NA,30,10
1996-12-31,NA,30,10
1997-01-31,NA,30,10
1997-02-28,NA,30,10
1997-03-31,NA,30,10
1997-04-30,NA,31,10
1997-05-31,NA,31,11
1997-06-30,NA,28,12
1997-07-31,NA,31,12
1997-08-31,NA,31,12
1997-09-30,NA,31,12
1997-10-31,NA,30,12
1997-11-30,NA,31,11
1997-12-31,NA,31,11
1998-01-31,NA,31,11
1998-02-28,NA,31,11
1998-03-31,NA,31,10
1998-04-30,NA,31,11
1998-05-31,NA,31,7
1998-06-30,NA,31,6
1998-07-31,NA,31,7
1998-08-31,NA,31,7
1998-09-30,NA,31,12
1998-10-31,NA,31,12
1998-11-30,NA,30,12
1998-12-31,NA,30,12
1999-01-31,NA,31,12
1999-02-28,NA,31,12
1999-03-31,NA,30,12
1999-04-30,NA,18,11
1999-05-31,NA,18,11
1999-06-30,NA,18,11
1999-07-31,NA,26,12
1999-08-31,NA,49,11
1999-09-30,NA,47,11
1999-10-31,NA,80,11
1999-11-30,NA,80,11
1999-12-31,NA,80,11
2000-01-31,NA,80,11
2000-02-28,NA,81,13
2000-03-31,NA,81,12
2000-04-30,NA,155,9
2000-05-31,NA,174,13
2000-06-30,NA,170,13
2000-07-31,NA,159,13
2000-08-31,NA,158,13
2000-09-30,NA,157,13
2000-10-31,NA,152,13
2000-11-30,NA,144,13
2000-12-31,NA,141,14
2001-01-31,NA,169,14
2001-02-28,NA,169,14
2001-03-31,NA,159,14
2001-04-30,NA,160,14
2001-05-31,NA,152,12
2001-06-30,NA,170,14
2001-07-31,NA,158,14
2001-08-31,NA,144,14
2001-09-30,NA,171,14
2001-10-31,NA,177,14
2001-11-30,NA,183,14
2001-12-31,NA,182,14
2002-01-31,NA,181,13
2002-02-28,NA,179,13
2002-03-31,NA,178,13
2002-04-30,NA,178,14
2002-05-31,NA,177,14
2002-06-30,NA,168,13
2002-07-31,NA,157,13
2002-08-30,NA,183,13
2002-09-30,NA,163,13
2002-10-31,NA,166,13
2002-11-30,NA,166,13
2002-12-31,NA,163,13
2003-01-31,NA,162,14
2003-02-28,NA,162,13
2003-03-30,NA,184,7
2003-04-30,NA,184,7
2003-05-31,NA,184,6
2003-06-30,NA,188,7
2003-07-31,NA,184,7
2003-08-31,NA,186,6
2003-09-30,NA,185,7
2003-10-31,NA,163,7
2003-11-30,NA,174,7
2003-12-31,NA,177,7
2004-01-31,NA,193,6
2004-02-28,NA,194,6
2004-03-31,NA,194,6
2004-04-30,NA,190,6
2004-05-31,NA,224,6
2004-06-30,NA,277,5
2004-07-31,NA,283,5
2004-08-31,NA,283,5
2004-09-30,NA,328,5
2004-10-31,NA,328,5
2004-11-30,NA,330,5
2004-12-31,NA,288,5
2005-01-31,NA,288,5
2005-02-28,NA,291,5
2005-03-31,NA,285,5
2005-04-30,3,236,NA
2005-05-31,3,304,5
2005-06-30,3,304,5
2005-07-31,3,243,5
2005-08-31,3,241,5
2005-09-30,3,232,5
2005-10-31,3,234,5
2005-11-30,3,233,5
2005-12-31,3,236,5
2006-01-31,3,236,5
2006-02-28,3,236,5
2006-03-31,3,235,5
2006-04-30,3,233,5
2006-05-31,3,234,NA
2006-06-30,3,160,5
2006-07-31,3,244,5
2006-08-31,4,240,NA
2006-09-30,4,229,NA
2006-10-31,499,240,NA
2006-11-30,498,231,5
2006-12-31,513,242,5
2007-01-31,526,271,5
2007-02-28,526,274,5
2007-03-31,764,275,5
2007-04-30,756,275,5
2007-05-31,917,254,5
2007-06-30,933,239,5
2007-07-31,747,213,6
2007-08-31,738,151,5
2007-09-30,750,189,5
2007-10-31,750,195,5
2007-11-30,750,225,5
2007-12-31,750,207,5
2008-01-31,548,241,5
2008-02-28,491,239,5
2008-03-31,495,257,5
2008-04-30,495,256,5
2008-05-31,366,252,5
2008-06-30,370,274,5
2008-07-31,375,288,5
2008-08-31,472,284,5
2008-09-30,509,278,5
2008-10-31,503,275,5
2008-11-30,503,263,5
2008-12-31,491,257,5
2009-01-31,496,176,5
2009-02-28,498,168,4
2009-03-31,503,153,6
2009-04-30,353,177,5
2009-05-31,359,177,6
2009-06-30,381,182,1
2009-07-31,374,170,1
2009-08-31,367,166,1
2009-09-30,370,161,1
2009-10-31,514,184,1
2009-11-30,532,180,1
2009-12-31,582,169,1
2010-01-31,380,141,1
2010-02-28,382,164,1
2010-03-31,484,168,NA
2010-04-30,375,163,NA
2010-05-31,367,156,NA
2010-06-30,379,155,NA
2010-07-31,381,151,NA
2010-08-31,378,147,NA
2010-09-30,507,157,NA
2010-10-31,497,156,NA
2010-11-30,494,161,NA
2010-12-31,475,160,NA
2011-01-31,475,155,NA
2011-02-28,360,152,NA
2011-03-31,357,151,NA
2011-04-30,345,134,NA
2011-05-31,353,134,NA
2011-06-30,314,144,NA
2011-07-31,310,121,NA
2011-08-31,311,142,NA
2011-09-30,357,140,NA
2011-10-31,361,124,NA
2011-11-30,360,140,NA
2011-12-31,352,152,1
2012-01-31,358,148,2
2012-02-28,343,153,1
2012-03-31,521,170,2
2012-04-30,450,160,2
2012-05-31,464,171,2
2012-06-30,299,164,2
2012-07-31,286,150,2
2012-08-31,295,146,2
2012-09-30,452,146,2
2012-10-31,472,149,1
2012-11-30,374,160,2
2012-12-31,477,157,2
2013-01-31,461,163,2
2013-02-28,472,162,2
2013-03-31,461,158,2
2013-04-30,366,159,2
2013-05-31,348,147,2
2013-06-30,304,164,2
2013-07-31,302,160,2
2013-08-31,292,158,2
2013-09-30,190,158,2
2013-10-31,210,161,2
2013-11-30,210,153,2
2013-12-31,203,141,2
2014-01-31,202,141,2
2014-02-28,97,142,2
