"Date","Troops","Police","Experts"
2004-05-31,NA,20,NA
2004-06-30,NA,20,NA
2004-07-31,NA,20,NA
2004-08-31,NA,20,NA
2004-09-30,NA,20,NA
2004-10-31,NA,20,NA
2004-11-30,NA,20,NA
2004-12-31,NA,20,NA
2005-01-31,NA,20,NA
2005-02-28,NA,20,NA
2005-03-31,NA,20,2
2005-04-30,2,19,2
2005-05-31,2,19,6
2005-06-30,2,19,6
2005-07-31,2,21,6
2005-08-31,2,21,6
2005-09-30,2,21,6
2005-10-31,2,28,5
2005-11-30,2,38,12
2005-12-31,2,33,12
2006-01-31,2,34,12
2006-02-28,2,34,12
2006-03-31,2,40,12
2006-04-30,2,40,10
2006-05-31,2,40,12
2006-06-30,2,40,12
2006-07-31,2,40,14
2006-08-31,2,40,14
2006-09-30,2,40,14
2006-10-31,2,41,14
2006-11-30,2,40,14
2006-12-31,2,40,14
2007-01-31,2,60,14
2007-02-28,2,61,13
2007-03-31,2,61,13
2007-04-30,2,58,13
2007-05-31,2,58,13
2007-06-30,2,60,13
2007-07-31,2,55,13
2007-08-31,2,55,10
2007-09-30,2,55,12
2007-10-31,2,60,13
2007-11-30,2,59,14
2007-12-31,2,117,14
2008-01-31,3,136,17
2008-02-28,3,136,14
2008-03-31,2,132,15
2008-04-30,1,132,15
2008-05-31,1,131,11
2008-06-30,1,125,18
2008-07-31,1,123,22
2008-08-31,1,119,22
2008-09-30,1,127,19
2008-10-31,1,126,16
2008-11-30,1,125,17
2008-12-31,1,123,18
2009-01-31,2,113,20
2009-02-28,2,101,19
2009-03-31,2,120,19
2009-04-30,1,130,19
2009-05-31,1,75,17
2009-06-30,1,75,12
2009-07-31,1,206,8
2009-08-31,2,205,10
2009-09-30,2,209,10
2009-10-31,2,198,11
2009-11-30,2,194,7
2009-12-31,2,186,5
2010-01-31,2,178,3
2010-02-28,2,185,3
2010-03-31,2,164,3
2010-04-30,1,162,10
2010-05-31,2,165,10
2010-06-30,2,164,14
2010-07-31,1,161,13
2010-08-31,1,172,12
2010-09-30,1,172,11
2010-10-31,1,167,13
2010-11-30,1,168,13
2010-12-31,1,167,13
2011-01-31,1,165,13
2011-02-28,1,142,13
2011-03-31,1,138,13
2011-04-30,1,34,9
2011-05-31,1,45,4
2011-06-30,2,42,5
2011-07-31,2,17,4
2011-08-31,2,20,5
2011-09-30,1,30,7
2011-10-31,1,30,7
2011-11-30,2,30,6
2011-12-31,1,30,6
2012-01-31,2,41,6
2012-02-28,2,38,6
2012-03-31,2,35,6
2012-04-30,2,41,6
2012-05-31,2,44,6
2012-06-30,2,44,6
2012-07-31,2,42,6
2012-08-31,2,42,6
2012-09-30,2,39,6
2012-10-31,2,35,5
2012-11-30,2,32,5
2012-12-31,3,32,6
2013-01-31,3,27,6
2013-02-28,3,31,6
2013-03-31,3,31,6
2013-04-30,3,45,4
2013-05-31,3,46,6
2013-06-30,3,45,6
2013-07-31,3,42,6
2013-08-31,3,42,6
2013-09-30,3,52,6
2013-10-31,3,52,6
2013-11-30,3,45,6
2013-12-31,3,52,6
2014-01-31,3,52,6
2014-02-28,3,52,5
