"Date","Troops","Police","Experts"
1992-08-31,398,NA,NA
1992-09-30,396,NA,NA
1992-10-31,396,NA,NA
1992-11-30,387,NA,NA
1992-12-31,398,NA,NA
1993-01-31,NA,NA,398
1993-02-28,NA,NA,378
1993-03-31,NA,NA,378
1993-04-30,NA,NA,394
1993-05-31,NA,NA,362
1993-06-30,NA,NA,362
1993-07-31,NA,NA,407
1993-08-31,NA,NA,407
1993-09-30,NA,NA,402
1993-10-31,NA,NA,397
1993-11-30,NA,NA,383
1993-12-31,344,NA,NA
1994-01-31,411,NA,NA
1994-02-28,582,NA,NA
1994-03-31,582,NA,NA
1994-04-30,1021,NA,NA
1994-05-31,1133,9,NA
1994-06-30,1128,9,NA
1994-07-31,2605,9,10
1994-08-31,2636,9,10
1994-09-30,2585,9,10
1994-10-31,2573,9,10
1994-11-30,2611,9,10
1994-12-31,2585,19,10
1995-01-31,2550,19,10
1995-02-28,2656,19,10
1995-03-31,2596,19,10
1995-04-30,1084,19,13
1995-05-31,1112,15,13
1995-06-30,1164,17,13
1995-07-31,1322,15,13
1995-08-31,1232,20,13
1995-09-30,798,20,13
1995-10-31,825,20,13
1995-11-30,660,15,13
1995-12-31,643,5,12
1996-01-31,74,5,16
1996-02-29,27,5,13
1996-03-31,361,17,13
1996-04-30,652,17,13
1996-05-31,644,30,13
1996-06-30,646,30,13
1996-07-31,379,30,14
1996-08-31,652,38,14
1996-09-30,647,38,14
1996-10-31,720,38,14
1996-11-30,569,38,14
1996-12-31,374,49,15
1997-01-31,368,49,14
1997-02-28,363,49,24
1997-03-31,359,49,19
1997-04-30,342,50,19
1997-05-31,261,62,11
1997-06-30,260,62,11
1997-07-31,256,61,14
1997-08-31,258,63,13
1997-09-30,247,63,13
1997-10-31,131,64,14
1997-11-30,79,67,14
1997-12-31,79,52,14
1998-01-31,3,52,8
1998-02-28,3,52,8
1998-03-31,1,52,8
1998-04-30,1,53,8
1998-05-31,1,49,11
1998-06-30,1,53,11
1998-07-31,1,53,11
1998-08-31,1,52,10
1998-09-30,1,50,8
1998-10-31,1,37,8
1998-11-30,1,37,8
1998-12-31,1,37,8
1999-01-31,NA,36,7
1999-02-28,NA,36,4
1999-03-31,NA,32,3
1999-04-30,NA,32,3
1999-05-31,NA,32,3
1999-06-30,NA,24,3
1999-07-31,1,24,3
1999-08-31,1,24,4
1999-09-30,NA,21,5
1999-10-31,NA,58,5
1999-11-30,NA,58,5
1999-12-31,NA,57,5
2000-01-31,NA,59,4
2000-02-28,NA,60,4
2000-03-31,NA,60,6
2000-04-30,NA,59,6
2000-05-31,NA,67,4
2000-06-30,50,67,4
2000-07-31,650,66,6
2000-08-31,650,66,6
2000-09-30,646,66,7
2000-10-31,645,164,7
2000-11-30,639,195,10
2000-12-31,1158,231,11
2001-01-31,1179,230,12
2001-02-28,1179,230,12
2001-03-31,1287,221,8
2001-04-30,1283,223,14
2001-05-31,1277,237,17
2001-06-30,1275,239,17
2001-07-31,1276,232,16
2001-08-31,1276,231,24
2001-09-30,1284,230,24
2001-10-31,1279,219,26
2001-11-30,1266,211,27
2001-12-31,1254,255,27
2002-01-31,1278,239,25
2002-02-28,1278,239,26
2002-03-31,1278,239,27
2002-04-30,1281,236,27
2002-05-31,1278,218,27
2002-06-30,1273,230,27
2002-07-31,1089,235,30
2002-08-30,1085,234,29
2002-09-30,1165,232,29
2002-10-31,1169,220,31
2002-11-30,1166,220,32
2002-12-31,917,211,31
2003-01-31,917,198,31
2003-02-28,834,200,31
2003-03-30,830,200,31
2003-04-30,814,200,32
2003-05-31,813,200,32
2003-06-30,812,192,34
2003-07-31,832,195,31
2003-08-31,832,195,31
2003-09-30,832,195,31
2003-10-31,834,195,33
2003-11-30,834,195,33
2003-12-31,834,194,33
2004-01-31,1018,192,34
2004-02-28,1095,192,34
2004-03-31,1104,193,31
2004-04-30,1112,193,37
2004-05-31,1132,211,37
2004-06-30,1132,205,37
2004-07-31,1132,229,37
2004-08-31,1131,229,34
2004-09-30,1130,227,34
2004-10-31,1128,227,34
2004-11-30,1120,227,34
2004-12-31,946,225,34
2005-01-31,944,225,35
2005-02-28,649,225,35
2005-03-31,496,224,35
2005-04-30,500,213,25
2005-05-31,498,210,33
2005-06-30,498,210,33
2005-07-31,498,186,32
2005-08-31,499,186,32
2005-09-30,499,184,30
2005-10-31,498,185,29
2005-11-30,498,181,30
2005-12-31,486,202,32
2006-01-31,497,211,38
2006-02-28,493,211,40
2006-03-31,408,210,40
2006-04-30,306,210,40
2006-05-31,310,208,37
2006-06-30,301,220,43
2006-07-31,300,223,41
2006-08-31,299,223,36
2006-09-30,299,222,38
2006-10-31,296,223,38
2006-11-30,301,223,38
2006-12-31,301,230,34
2007-01-31,300,233,27
2007-02-28,301,230,27
2007-03-31,301,230,27
2007-04-30,301,230,31
2007-05-31,301,231,31
2007-06-30,301,221,26
2007-07-31,301,219,25
2007-08-31,301,225,24
2007-09-30,301,226,23
2007-10-31,301,211,25
2007-11-30,317,210,23
2007-12-31,301,227,23
2008-01-31,301,224,20
2008-02-28,301,224,23
2008-03-31,300,221,25
2008-04-30,301,221,28
2008-05-31,301,219,33
2008-06-30,301,207,35
2008-07-31,302,209,35
2008-08-31,302,211,35
2008-09-30,302,208,36
2008-10-31,302,207,36
2008-11-30,302,157,38
2008-12-31,286,78,35
2009-01-31,302,53,34
2009-02-28,302,40,36
2009-03-31,302,32,39
2009-04-30,302,40,36
2009-05-31,302,40,35
2009-06-30,302,43,30
2009-07-31,302,48,28
2009-08-31,302,48,28
2009-09-30,302,55,26
2009-10-31,302,56,27
2009-11-30,300,57,25
2009-12-31,279,64,27
2010-01-31,279,62,27
2010-02-28,275,61,27
2010-03-31,275,61,28
2010-04-30,275,57,20
2010-05-31,275,63,24
2010-06-30,159,61,23
2010-07-31,277,67,27
2010-08-31,277,70,25
2010-09-30,277,64,25
2010-10-31,277,71,25
2010-11-30,277,70,27
2010-12-31,277,64,28
2011-01-31,277,70,28
2011-02-28,277,68,26
2011-03-31,277,74,26
2011-04-30,274,72,28
2011-05-31,274,70,21
2011-06-30,275,70,28
2011-07-31,277,41,18
2011-08-31,277,67,27
2011-09-30,277,67,27
2011-10-31,277,40,27
2011-11-30,277,71,26
2011-12-31,277,72,23
2012-01-31,277,71,26
2012-02-28,277,71,25
2012-03-31,431,70,23
2012-04-30,433,72,25
2012-05-31,433,74,26
2012-06-30,433,76,18
2012-07-31,432,71,16
2012-08-31,434,66,24
2012-09-30,433,67,23
2012-10-31,432,65,24
2012-11-30,433,53,24
2012-12-31,436,56,24
2013-01-31,437,55,24
2013-02-28,441,69,20
2013-03-31,443,75,20
2013-04-30,441,75,20
2013-05-31,441,75,22
2013-06-30,441,74,22
2013-07-31,440,73,21
2013-08-31,533,70,18
2013-09-30,533,81,20
2013-10-31,535,79,20
2013-11-30,514,77,20
2013-12-31,514,78,20
2014-01-31,514,72,18
2014-02-28,512,74,19
