"Date","Troops","Police","Experts"
1990-11-30,769,NA,NA
1990-12-31,769,NA,NA
1991-01-31,769,NA,NA
1991-02-28,769,NA,NA
1991-03-31,770,NA,NA
1991-04-30,811,NA,NA
1991-05-31,793,NA,NA
1991-06-30,793,NA,NA
1991-07-31,802,NA,NA
1991-08-31,801,NA,NA
1991-09-30,820,NA,NA
1991-10-31,824,NA,NA
1991-11-30,828,NA,NA
1991-12-31,826,NA,NA
1992-01-31,824,NA,NA
1992-02-29,830,NA,NA
1992-03-31,838,NA,NA
1992-04-30,873,14,NA
1992-05-31,873,14,NA
1992-06-30,873,14,NA
1992-07-31,873,14,NA
1992-08-31,1173,NA,74
1992-09-30,1159,NA,75
1992-10-31,1160,NA,73
1992-11-30,3684,NA,72
1992-12-31,3744,NA,75
1993-01-31,3563,NA,75
1993-02-28,3563,NA,77
1993-03-31,3548,NA,77
1993-04-30,3380,NA,78
1993-05-31,3128,NA,77
1993-06-30,3123,NA,76
1993-07-31,3225,NA,81
1993-08-31,3202,NA,80
1993-09-30,2940,NA,59
1993-10-31,2754,NA,32
1993-11-30,2793,NA,30
1993-12-31,2737,NA,28
1994-01-31,2614,NA,28
1994-02-28,2548,NA,28
1994-03-31,3205,NA,28
1994-04-30,3868,NA,33
1994-05-31,3849,NA,31
1994-06-30,4072,NA,34
1994-07-31,3635,NA,33
1994-08-31,3690,NA,35
1994-09-30,4039,NA,43
1994-10-31,4403,NA,42
1994-11-30,3813,NA,44
1994-12-31,3776,NA,44
1995-01-31,3860,NA,43
1995-02-28,3816,NA,44
1995-03-31,3874,NA,44
1995-04-30,3865,NA,43
1995-05-31,4585,NA,44
1995-06-30,4585,NA,44
1995-07-31,9739,NA,44
1995-08-31,10214,NA,46
1995-09-30,8532,NA,43
1995-10-31,6364,NA,43
1995-11-30,4934,NA,42
1995-12-31,434,NA,41
1996-01-31,408,NA,29
1996-02-29,397,NA,28
1996-03-31,394,NA,28
1996-04-30,393,NA,27
1996-05-31,390,NA,25
1996-06-30,375,NA,25
1996-07-31,401,NA,25
1996-08-31,391,NA,24
1996-09-30,391,NA,24
1996-10-31,385,NA,22
1996-11-30,384,NA,22
1996-12-31,384,NA,21
1997-01-31,384,NA,21
1997-02-28,384,1,21
1997-03-31,384,1,20
1997-04-30,389,30,19
1997-05-31,389,30,19
1997-06-30,391,30,19
1997-07-31,395,30,19
1997-08-31,393,30,17
1997-09-30,393,29,18
1997-10-31,406,60,18
1997-11-30,411,30,18
1997-12-31,401,60,18
1998-01-31,401,60,18
1998-02-28,407,60,17
1998-03-31,407,34,12
1998-04-30,405,60,12
1998-05-31,398,60,12
1998-06-30,311,60,12
1998-07-31,314,60,19
1998-08-31,311,65,22
1998-09-30,308,70,24
1998-10-31,305,70,26
1998-11-30,320,71,25
1998-12-31,320,71,25
1999-01-31,309,70,18
1999-02-28,308,70,19
1999-03-31,310,70,20
1999-04-30,304,80,20
1999-05-31,331,80,23
1999-06-30,306,80,23
1999-07-31,310,79,27
1999-08-31,315,85,27
1999-09-30,313,78,32
1999-10-31,315,84,41
1999-11-30,315,84,41
1999-12-31,304,153,41
2000-01-31,315,153,50
2000-02-28,313,151,43
2000-03-31,312,151,43
2000-04-30,309,153,42
2000-05-31,310,157,43
2000-06-30,313,212,43
2000-07-31,316,210,43
2000-08-31,312,210,43
2000-09-30,315,210,40
2000-10-31,312,205,40
2000-11-30,314,230,42
2000-12-31,316,231,47
2001-01-31,321,230,42
2001-02-28,321,230,42
2001-03-31,323,226,40
2001-04-30,318,229,43
2001-05-31,377,228,34
2001-06-30,411,231,39
2001-07-31,433,230,29
2001-08-31,435,227,37
2001-09-30,425,225,38
2001-10-31,423,228,38
2001-11-30,432,230,38
2001-12-31,420,258,36
2002-01-31,423,255,36
2002-02-28,427,255,36
2002-03-31,424,253,36
2002-04-30,422,251,36
2002-05-31,428,240,34
2002-06-30,427,246,34
2002-07-31,427,243,33
2002-08-30,420,240,34
2002-09-30,428,237,35
2002-10-31,426,232,36
2002-11-30,430,232,36
2002-12-31,432,144,36
2003-01-31,431,142,36
2003-02-28,434,143,36
2003-03-30,434,140,24
2003-04-30,430,138,25
2003-05-31,447,124,24
2003-06-30,442,152,25
2003-07-31,430,150,25
2003-08-31,430,148,25
2003-09-30,427,147,25
2003-10-31,421,146,25
2003-11-30,415,95,25
2003-12-31,415,121,27
2004-01-31,412,119,27
2004-02-28,431,126,24
2004-03-31,427,125,25
2004-04-30,403,123,24
2004-05-31,403,114,24
2004-06-30,404,113,24
2004-07-31,429,115,23
2004-08-31,427,115,21
2004-09-30,420,113,20
2004-10-31,420,110,20
2004-11-30,422,111,20
2004-12-31,424,102,16
2005-01-31,312,102,17
2005-02-28,307,99,17
2005-03-31,284,99,16
2005-04-30,300,99,9
2005-05-31,295,99,16
2005-06-30,297,99,15
2005-07-31,301,78,15
2005-08-31,290,78,16
2005-09-30,269,77,16
2005-10-31,272,79,22
2005-11-30,272,75,22
2005-12-31,266,69,14
2006-01-31,279,70,16
2006-02-28,283,69,16
2006-03-31,259,69,16
2006-04-30,281,68,10
2006-05-31,277,66,9
2006-06-30,289,64,17
2006-07-31,289,64,17
2006-08-31,272,63,9
2006-09-30,270,62,9
2006-10-31,275,62,9
2006-11-30,275,60,15
2006-12-31,275,69,14
2007-01-31,276,70,14
2007-02-28,275,72,19
2007-03-31,274,71,19
2007-04-30,282,71,21
2007-05-31,278,70,21
2007-06-30,281,71,21
2007-07-31,282,70,19
2007-08-31,276,68,16
2007-09-30,282,64,19
2007-10-31,283,64,19
2007-11-30,285,64,18
2007-12-31,281,63,18
2008-01-31,284,65,17
2008-02-28,281,64,18
2008-03-31,269,62,17
2008-04-30,268,62,19
2008-05-31,280,61,17
2008-06-30,280,50,17
2008-07-31,288,51,14
2008-08-31,285,46,13
2008-09-30,267,46,13
2008-10-31,267,44,25
2008-11-30,280,5,11
2008-12-31,284,2,11
2009-01-31,282,1,11
2009-02-28,280,1,11
2009-03-31,288,1,12
2009-04-30,278,1,11
2009-05-31,278,NA,12
2009-06-30,275,NA,8
2009-07-31,275,NA,8
2009-08-31,267,NA,9
2009-09-30,260,NA,8
2009-10-31,275,NA,9
2009-11-30,274,NA,7
2009-12-31,275,NA,7
2010-01-31,274,NA,7
2010-02-28,268,NA,7
2010-03-31,275,NA,8
2010-04-30,275,NA,6
2010-05-31,275,NA,6
2010-06-30,276,NA,5
2010-07-31,275,NA,7
2010-08-31,275,NA,8
2010-09-30,271,NA,10
2010-10-31,274,NA,7
2010-11-30,275,NA,7
2010-12-31,275,NA,7
2011-01-31,275,NA,7
2011-02-28,276,NA,6
2011-03-31,276,NA,7
2011-04-30,275,NA,9
2011-05-31,274,NA,8
2011-06-30,275,NA,9
2011-07-31,271,NA,6
2011-08-31,273,NA,8
2011-09-30,273,NA,8
2011-10-31,275,NA,7
2011-11-30,276,NA,6
2011-12-31,274,NA,5
2012-01-31,275,2,6
2012-02-28,275,2,5
2012-03-31,277,2,6
2012-04-30,277,2,5
2012-05-31,275,2,5
2012-06-30,274,2,6
2012-07-31,276,2,5
2012-08-31,273,2,5
2012-09-30,269,2,5
2012-10-31,278,2,5
2012-11-30,277,2,5
2012-12-31,277,2,4
2013-01-31,278,NA,4
2013-02-28,283,NA,NA
2013-03-31,298,NA,NA
2013-04-30,278,NA,NA
2013-05-31,281,NA,NA
2013-06-30,282,NA,NA
2013-07-31,278,NA,NA
2013-08-31,275,NA,NA
2013-09-30,347,NA,NA
2013-10-31,284,NA,NA
2013-11-30,281,NA,NA
2013-12-31,289,NA,NA
2014-01-31,280,2,NA
2014-02-28,281,2,NA
