"Date","Troops","Police","Experts"
1990-11-30,33,NA,NA
1990-12-31,33,NA,NA
1991-01-31,33,NA,NA
1991-02-28,33,NA,NA
1991-03-31,34,NA,NA
1991-04-30,55,NA,NA
1991-05-31,57,NA,NA
1991-06-30,53,NA,NA
1991-07-31,55,NA,NA
1991-08-31,53,NA,NA
1991-09-30,83,NA,NA
1991-10-31,85,NA,NA
1991-11-30,88,NA,NA
1991-12-31,87,NA,NA
1992-01-31,87,NA,NA
1992-02-29,80,NA,NA
1992-03-31,88,NA,NA
1992-04-30,88,NA,NA
1992-05-31,88,NA,NA
1992-06-30,88,NA,NA
1992-07-31,88,NA,NA
1992-08-31,3,NA,111
1992-09-30,5,NA,116
1992-10-31,5,NA,114
1992-11-30,359,NA,102
1992-12-31,344,NA,92
1993-01-31,341,NA,110
1993-02-28,339,2,113
1993-03-31,341,NA,107
1993-04-30,358,2,108
1993-05-31,3065,2,92
1993-06-30,3065,2,98
1993-07-31,3350,1,103
1993-08-31,3452,1,105
1993-09-30,3405,1,94
1993-10-31,4114,NA,67
1993-11-30,4114,NA,60
1993-12-31,2562,NA,60
1994-01-31,2031,NA,56
1994-02-28,623,NA,62
1994-03-31,652,NA,62
1994-04-30,805,NA,62
1994-05-31,838,NA,61
1994-06-30,868,NA,58
1994-07-31,850,NA,61
1994-08-31,874,NA,61
1994-09-30,878,NA,60
1994-10-31,847,4,60
1994-11-30,749,5,64
1994-12-31,897,NA,66
1995-01-31,883,NA,64
1995-02-28,1073,NA,66
1995-03-31,3253,NA,64
1995-04-30,3232,NA,64
1995-05-31,3294,NA,64
1995-06-30,3257,NA,61
1995-07-31,3108,NA,64
1995-08-31,3191,NA,63
1995-09-30,3179,NA,60
1995-10-31,3125,NA,60
1995-11-30,3194,NA,60
1995-12-31,2792,NA,59
1996-01-31,2389,NA,60
1996-02-29,2341,NA,58
1996-03-31,1019,58,56
1996-04-30,556,100,56
1996-05-31,551,193,54
1996-06-30,554,206,50
1996-07-31,548,201,37
1996-08-31,492,199,35
1996-09-30,469,196,35
1996-10-31,491,231,35
1996-11-30,489,235,35
1996-12-31,493,232,34
1997-01-31,502,252,33
1997-02-28,449,247,38
1997-03-31,504,252,38
1997-04-30,514,235,38
1997-05-31,513,240,33
1997-06-30,505,327,34
1997-07-31,501,311,36
1997-08-31,549,310,32
1997-09-30,486,299,32
1997-10-31,483,269,32
1997-11-30,317,288,32
1997-12-31,348,264,32
1998-01-31,345,160,32
1998-02-28,400,249,32
1998-03-31,348,257,32
1998-04-30,351,206,30
1998-05-31,353,236,30
1998-06-30,349,256,29
1998-07-31,338,255,29
1998-08-31,341,251,29
1998-09-30,344,246,30
1998-10-31,346,212,30
1998-11-30,345,200,30
1998-12-31,345,200,30
1999-01-31,362,228,29
1999-02-28,362,227,29
1999-03-31,4,225,29
1999-04-30,NA,194,29
1999-05-31,NA,196,29
1999-06-30,NA,181,23
1999-07-31,2,198,30
1999-08-31,5,341,30
1999-09-30,NA,623,35
1999-10-31,NA,615,33
1999-11-30,NA,615,33
1999-12-31,NA,647,30
2000-01-31,NA,621,32
2000-02-28,NA,721,34
2000-03-31,NA,730,35
2000-04-30,NA,769,35
2000-05-31,NA,791,35
2000-06-30,NA,759,34
2000-07-31,NA,824,43
2000-08-31,NA,809,36
2000-09-30,NA,814,36
2000-10-31,NA,834,38
2000-11-30,NA,865,36
