"Date","Troops","Police","Experts"
1990-11-30,10,NA,NA
1990-12-31,10,NA,NA
1991-01-31,10,NA,NA
1991-02-28,10,NA,NA
1991-03-31,1,NA,NA
1991-04-30,9,NA,NA
1991-05-31,9,NA,NA
1991-06-30,9,NA,NA
1991-07-31,9,NA,NA
1991-08-31,9,NA,NA
1991-09-30,9,NA,NA
1991-10-31,9,NA,NA
1991-11-30,11,NA,NA
1991-12-31,11,NA,NA
1992-01-31,11,NA,NA
1992-02-29,11,1,NA
1992-03-31,11,NA,NA
1992-04-30,11,1,NA
1992-05-31,11,1,NA
1992-06-30,11,1,NA
1992-07-31,11,1,NA
1992-08-31,936,NA,8
1992-09-30,937,NA,8
1992-10-31,934,NA,8
1992-11-30,932,NA,9
1992-12-31,930,NA,19
1993-01-31,935,NA,20
1993-02-28,940,NA,29
1993-03-31,946,NA,28
1993-04-30,1780,NA,28
1993-05-31,1774,NA,27
1993-06-30,1770,NA,27
1993-07-31,1764,NA,35
1993-08-31,913,NA,35
1993-09-30,904,NA,34
1993-10-31,870,NA,28
1993-11-30,870,NA,28
1993-12-31,845,NA,83
1994-01-31,845,NA,66
1994-02-28,873,NA,58
1994-03-31,842,NA,89
1994-04-30,835,5,74
1994-05-31,829,10,89
1994-06-30,843,15,94
1994-07-31,842,15,82
1994-08-31,840,19,96
1994-09-30,832,19,95
1994-10-31,833,20,87
1994-11-30,827,19,74
1994-12-31,827,19,77
1995-01-31,NA,4,59
1995-02-28,NA,10,70
1995-03-31,NA,10,70
1995-04-30,NA,10,74
1995-05-31,829,19,72
1995-06-30,836,19,72
1995-07-31,837,19,71
1995-08-31,837,19,72
1995-09-30,837,19,72
1995-10-31,837,19,78
1995-11-30,837,19,77
1995-12-31,838,22,68
1996-01-31,843,22,64
1996-02-29,842,22,68
1996-03-31,850,22,50
1996-04-30,840,22,44
1996-05-31,850,22,44
1996-06-30,864,23,42
1996-07-31,800,13,42
1996-08-31,857,14,39
1996-09-30,857,14,40
1996-10-31,853,15,40
1996-11-30,855,14,42
1996-12-31,856,14,42
1997-01-31,856,15,41
1997-02-28,720,15,61
1997-03-31,53,15,57
1997-04-30,39,15,55
1997-05-31,39,17,36
1997-06-30,7,17,33
1997-07-31,7,17,36
1997-08-31,4,22,34
1997-09-30,NA,21,34
1997-10-31,NA,25,34
1997-11-30,NA,22,34
1997-12-31,NA,22,34
1998-01-31,NA,24,34
1998-02-28,NA,25,34
1998-03-31,3,24,35
1998-04-30,3,24,35
1998-05-31,3,24,36
1998-06-30,3,24,36
1998-07-31,3,31,34
1998-08-31,3,31,33
1998-09-30,3,31,31
1998-10-31,2,31,30
1998-11-30,2,30,30
1998-12-31,2,30,30
1999-01-31,2,15,30
1999-02-28,1,6,28
1999-03-31,NA,2,26
1999-04-30,NA,1,26
1999-05-31,NA,1,26
1999-06-30,NA,NA,26
1999-07-31,1,NA,26
1999-08-31,5,7,27
1999-09-30,NA,8,34
1999-10-31,NA,1,45
1999-11-30,NA,1,45
1999-12-31,NA,2,45
2000-01-31,NA,1,48
2000-02-28,NA,1,49
2000-03-31,NA,1,50
2000-04-30,NA,1,52
2000-05-31,NA,1,61
2000-06-30,NA,1,61
2000-07-31,NA,1,62
2000-08-31,NA,NA,62
2000-09-30,NA,NA,61
2000-10-31,1,NA,65
2000-11-30,1,NA,63
2000-12-31,1,NA,61
2001-01-31,8,NA,56
2001-02-28,8,NA,56
2001-03-31,8,NA,55
2001-04-30,241,NA,65
2001-05-31,265,NA,56
2001-06-30,420,NA,70
2001-07-31,424,NA,70
2001-08-31,420,NA,74
2001-09-30,417,NA,74
2001-10-31,796,NA,71
2001-11-30,785,1,69
2001-12-31,785,NA,69
2002-01-31,793,NA,69
2002-02-28,995,NA,67
2002-03-31,996,NA,68
2002-04-30,995,NA,69
