"Date","Troops","Police","Experts"
2000-09-30,NA,34,NA
2000-10-31,NA,24,NA
2000-11-30,NA,34,NA
2000-12-31,NA,34,NA
2001-01-31,NA,34,NA
2001-02-28,NA,34,NA
2001-03-31,NA,34,NA
2001-04-30,NA,33,NA
2001-05-31,NA,33,NA
2001-06-30,NA,42,NA
2001-07-31,NA,33,NA
2001-08-31,NA,33,NA
2001-09-30,NA,24,NA
2001-10-31,NA,29,NA
2001-11-30,NA,6,NA
2001-12-31,NA,6,NA
2002-01-31,NA,6,NA
2002-02-28,NA,6,NA
2002-03-31,NA,6,NA
2002-04-30,NA,6,NA
2002-05-31,NA,6,NA
2002-06-30,NA,6,NA
2002-07-31,NA,6,NA
2002-08-30,NA,6,NA
2002-09-30,NA,6,NA
2005-10-31,NA,4,NA
2005-11-30,NA,6,NA
2005-12-31,NA,9,NA
2006-01-31,NA,9,NA
2006-02-28,NA,9,NA
2006-03-31,NA,9,NA
2006-04-30,NA,9,NA
2006-05-31,NA,15,NA
2006-06-30,NA,15,NA
2006-07-31,NA,15,NA
2006-08-31,NA,15,NA
2006-09-30,NA,15,NA
2006-10-31,NA,25,NA
2006-11-30,NA,26,NA
2006-12-31,NA,26,NA
2007-01-31,NA,26,NA
2007-02-28,NA,26,NA
2007-03-31,NA,26,NA
2007-04-30,NA,24,NA
2007-05-31,NA,18,NA
2007-06-30,NA,11,NA
2007-07-31,NA,11,NA
2007-08-31,NA,10,NA
2007-09-30,NA,10,NA
2007-10-31,NA,8,NA
2007-11-30,NA,8,NA
2008-01-31,NA,13,NA
2008-02-28,NA,13,NA
2008-03-31,NA,13,NA
2008-04-30,NA,13,NA
2008-05-31,NA,14,NA
2008-06-30,NA,14,NA
2008-07-31,NA,14,NA
2008-08-31,NA,14,NA
2008-09-30,NA,14,NA
2008-10-31,NA,14,NA
2008-11-30,NA,14,NA
2008-12-31,NA,14,NA
2009-01-31,NA,14,NA
2009-02-28,NA,19,NA
2009-03-31,NA,19,NA
2009-04-30,NA,19,NA
2009-05-31,NA,18,NA
2009-06-30,NA,18,NA
2009-07-31,NA,47,NA
2009-08-31,NA,46,NA
2009-09-30,NA,46,NA
2009-10-31,NA,46,NA
2009-11-30,NA,46,NA
2009-12-31,NA,46,NA
2010-01-31,NA,34,NA
2010-02-28,NA,33,NA
2010-03-31,NA,33,NA
2010-04-30,NA,33,NA
2010-05-31,NA,33,NA
2010-06-30,NA,33,NA
2010-07-31,NA,4,NA
2013-10-31,NA,1,NA
2013-11-30,NA,4,NA
2013-12-31,NA,5,NA
2014-01-31,NA,5,NA
2014-02-28,NA,5,NA
