"Date","Troops","Police","Experts"
1990-11-30,23,NA,NA
1990-12-31,23,NA,NA
1991-01-31,23,NA,NA
1991-02-28,23,NA,NA
1991-03-31,13,NA,NA
1991-04-30,20,NA,NA
1991-05-31,18,NA,NA
1991-06-30,18,NA,NA
1991-07-31,15,NA,NA
1991-08-31,18,NA,NA
1991-09-30,36,NA,NA
1991-10-31,36,NA,NA
1991-11-30,39,NA,NA
1991-12-31,24,NA,NA
1992-01-31,71,NA,NA
1992-02-29,60,NA,NA
1992-03-31,60,NA,NA
1992-04-30,63,NA,NA
1992-05-31,63,NA,NA
1992-06-30,63,NA,NA
1992-07-31,63,NA,NA
1992-08-31,NA,NA,61
1992-09-30,NA,NA,61
1992-10-31,NA,NA,52
1992-11-30,NA,NA,54
1992-12-31,NA,NA,53
1993-01-31,NA,NA,58
1993-02-28,NA,NA,46
1993-03-31,NA,NA,41
1993-04-30,NA,NA,42
1993-05-31,NA,NA,41
1993-06-30,NA,NA,29
1993-07-31,NA,NA,29
1993-08-31,NA,NA,33
1993-09-30,NA,NA,33
1993-10-31,NA,NA,32
1993-11-30,NA,NA,30
1993-12-31,NA,NA,30
1994-01-31,NA,NA,32
1994-02-28,NA,NA,31
1994-03-31,NA,NA,28
1994-04-30,NA,NA,26
1994-05-31,NA,NA,24
1994-06-30,NA,NA,20
1994-07-31,NA,NA,20
1994-08-31,NA,NA,14
1994-09-30,NA,NA,16
1994-10-31,NA,NA,10
1994-11-30,NA,NA,6
1994-12-31,NA,NA,4
1995-01-31,NA,NA,4
1995-02-28,NA,NA,4
1995-03-31,NA,NA,4
1995-04-30,NA,NA,4
1995-05-31,NA,NA,3
1995-06-30,NA,NA,3
1995-07-31,NA,NA,3
1995-08-31,NA,NA,3
1995-09-30,NA,NA,3
1995-10-31,NA,NA,3
1995-11-30,NA,NA,3
1995-12-31,NA,NA,3
1996-01-31,NA,NA,5
1996-02-29,NA,NA,5
1996-03-31,NA,NA,5
1996-04-30,NA,NA,5
1996-05-31,NA,NA,5
1996-06-30,NA,NA,5
1996-07-31,NA,NA,5
1996-08-31,NA,NA,5
1996-09-30,NA,NA,6
1996-10-31,NA,NA,6
1996-11-30,NA,NA,5
1996-12-31,NA,NA,2
1997-01-31,NA,NA,5
1997-02-28,NA,NA,11
1997-03-31,NA,NA,14
1997-04-30,NA,NA,14
1997-05-31,NA,NA,6
1997-06-30,NA,NA,6
1997-07-31,NA,NA,6
1997-08-31,NA,NA,6
1997-09-30,NA,NA,6
1997-10-31,NA,NA,6
1997-11-30,NA,NA,6
1997-12-31,NA,NA,3
1998-01-31,NA,NA,6
1998-02-28,NA,NA,5
1998-03-31,NA,NA,5
1998-04-30,NA,NA,5
1998-05-31,NA,NA,5
1998-06-30,NA,NA,5
1998-07-31,NA,NA,5
1998-08-31,NA,NA,4
1998-09-30,NA,NA,4
1998-10-31,NA,NA,5
1998-11-30,NA,NA,5
1998-12-31,NA,NA,5
1999-01-31,NA,NA,5
1999-02-28,NA,NA,5
1999-03-31,NA,NA,5
1999-04-30,NA,NA,5
1999-05-31,NA,NA,5
1999-06-30,NA,NA,5
1999-07-31,NA,NA,5
1999-08-31,NA,NA,5
1999-09-30,NA,NA,8
1999-10-31,NA,NA,8
1999-11-30,NA,NA,8
1999-12-31,NA,NA,9
2000-01-31,NA,NA,8
2000-02-28,NA,NA,5
2000-03-31,NA,NA,5
2000-04-30,NA,NA,5
2000-05-31,NA,NA,5
2000-06-30,NA,NA,5
2000-07-31,NA,NA,5
2000-08-31,NA,NA,5
2000-09-30,NA,NA,4
2000-10-31,NA,NA,4
2000-11-30,NA,NA,4
2000-12-31,NA,NA,3
2001-01-31,NA,NA,3
2001-02-28,NA,NA,3
2001-03-31,NA,NA,4
2001-04-30,NA,NA,4
2001-05-31,NA,NA,4
2001-06-30,NA,NA,4
2001-07-31,NA,NA,5
2001-08-31,NA,NA,4
2001-09-30,NA,NA,4
2001-10-31,NA,NA,4
2001-11-30,NA,NA,4
2001-12-31,NA,NA,4
2002-01-31,NA,NA,4
2002-02-28,NA,NA,4
2002-03-31,NA,NA,4
2002-04-30,NA,NA,4
2002-05-31,NA,NA,3
2002-06-30,NA,NA,3
2002-07-31,NA,NA,3
2002-08-30,NA,NA,3
2002-09-30,NA,NA,2
2002-10-31,NA,NA,3
2002-11-30,NA,NA,3
2002-12-31,NA,NA,3
2003-01-31,NA,NA,3
2003-02-28,NA,NA,3
