"Date","Troops","Police","Experts"
2003-12-31,NA,2,NA
2004-01-31,NA,2,NA
2004-02-28,NA,2,NA
2004-03-31,NA,2,NA
2004-04-30,NA,2,NA
2004-05-31,NA,2,NA
2004-06-30,NA,2,6
2004-07-31,NA,2,6
2004-08-31,NA,2,6
2004-09-30,NA,2,5
2004-10-31,NA,2,6
2004-11-30,NA,2,6
2004-12-31,NA,4,8
2005-01-31,NA,4,8
2005-02-28,NA,4,10
2005-03-31,NA,4,10
2005-04-30,NA,4,10
2005-05-31,NA,4,10
2005-06-30,NA,4,10
2005-07-31,NA,7,10
2005-08-31,NA,7,10
2005-09-30,1,6,15
2005-10-31,1,6,14
2005-11-30,1,7,14
2005-12-31,1,9,26
2006-01-31,1,9,27
2006-02-28,1,9,27
2006-03-31,1,9,26
2006-04-30,1,10,25
2006-05-31,1,11,25
2006-06-30,NA,13,28
2006-07-31,NA,13,29
2006-08-31,NA,13,29
2006-09-30,NA,13,28
2006-10-31,NA,13,31
2006-11-30,NA,13,27
2006-12-31,NA,22,24
2007-01-31,NA,21,26
2007-02-28,NA,21,38
2007-03-31,3,21,41
2007-04-30,3,22,44
2007-05-31,3,24,49
2007-06-30,4,23,49
2007-07-31,4,22,49
2007-08-31,4,24,49
2007-09-30,4,24,49
2007-10-31,4,24,49
2007-11-30,4,25,49
2007-12-31,4,23,48
2008-01-31,4,41,46
2008-02-28,6,52,51
2008-03-31,4,60,51
2008-04-30,8,62,54
2008-05-31,7,62,57
2008-06-30,7,65,57
2008-07-31,7,68,46
2008-08-31,6,70,52
2008-09-30,3,90,56
2008-10-31,10,90,60
2008-11-30,10,91,59
2008-12-31,11,95,62
2009-01-31,13,95,59
2009-02-28,15,94,66
2009-03-31,14,101,61
2009-04-30,14,148,65
2009-05-31,15,154,65
2009-06-30,16,150,60
2009-07-31,16,152,60
2009-08-31,17,151,56
2009-09-30,18,151,58
2009-10-31,18,155,58
2009-11-30,12,152,64
2009-12-31,12,150,63
2010-01-31,12,149,62
2010-02-28,12,147,57
2010-03-31,12,120,62
2010-04-30,11,126,59
2010-05-31,9,82,64
2010-06-30,9,120,61
2010-07-31,8,126,64
2010-08-31,9,124,64
2010-09-30,7,137,67
2010-10-31,10,142,63
2010-11-30,9,145,62
2010-12-31,9,150,64
2011-01-31,9,149,64
2011-02-28,9,161,65
2011-03-31,8,172,64
2011-04-30,10,193,67
2011-05-31,10,192,68
2011-06-30,9,194,65
2011-07-31,7,193,55
2011-08-31,9,216,63
2011-09-30,9,233,53
2011-10-31,9,232,56
2011-11-30,9,233,56
2011-12-31,9,239,55
2012-01-31,8,239,59
2012-02-28,7,240,75
2012-03-31,8,245,71
2012-04-30,6,250,77
2012-05-31,7,278,88
2012-06-30,8,283,86
2012-07-31,8,279,79
2012-08-31,8,275,71
2012-09-30,8,263,63
2012-10-31,6,292,68
2012-11-30,6,290,69
2012-12-31,6,240,72
2013-01-31,6,251,70
2013-02-28,6,260,71
2013-03-31,6,252,76
2013-04-30,6,248,74
2013-05-31,6,262,75
2013-06-30,7,260,78
2013-07-31,10,253,82
2013-08-31,10,229,79
2013-09-30,14,210,80
2013-10-31,18,208,79
2013-11-30,18,242,82
2013-12-31,18,233,84
2014-01-31,19,206,88
2014-02-28,23,175,84
