"Date","Troops","Police","Experts"
1990-11-30,6,NA,NA
1990-12-31,6,NA,NA
1991-01-31,6,NA,NA
1991-02-28,6,NA,NA
1992-11-30,NA,NA,28
1993-02-28,NA,1,NA
1993-03-31,NA,26,NA
1993-04-30,NA,444,NA
1993-05-31,846,NA,NA
1993-06-30,872,NA,NA
1993-07-31,866,NA,NA
1993-08-31,859,NA,NA
1993-09-30,859,NA,8
1993-10-31,833,NA,8
1993-11-30,878,NA,8
1993-12-31,874,NA,8
1994-01-31,873,NA,8
1994-02-28,873,NA,8
1994-03-31,865,NA,8
1994-04-30,835,NA,8
1994-05-31,820,NA,8
1994-06-30,810,NA,8
1994-07-31,809,6,8
1994-08-31,914,6,18
1994-09-30,885,56,18
1994-10-31,1121,56,18
1994-11-30,1231,66,10
1994-12-31,1231,66,10
1995-01-31,790,16,20
1995-02-28,790,10,20
1995-03-31,833,14,30
1995-04-30,NA,14,30
1995-05-31,830,20,30
1995-06-30,827,20,30
1995-07-31,828,22,30
1995-08-31,33,21,22
1995-09-30,33,25,30
1995-10-31,88,25,30
1995-11-30,78,25,30
1995-12-31,323,19,28
1996-01-31,322,15,18
1996-02-29,322,15,18
1996-03-31,447,15,12
1998-09-30,8,22,7
1998-10-31,8,24,7
1998-11-30,8,22,7
1998-12-31,8,22,7
1999-01-31,7,10,3
1999-02-28,4,2,1
1999-03-31,NA,NA,1
1999-04-30,NA,NA,2
1999-05-31,NA,NA,3
1999-06-30,NA,NA,3
1999-07-31,NA,NA,5
1999-08-31,1,NA,10
1999-09-30,NA,14,12
1999-10-31,NA,NA,11
1999-11-30,NA,NA,11
1999-12-31,NA,NA,14
2000-01-31,NA,15,16
2000-02-28,NA,58,16
2000-03-31,NA,56,17
2000-04-30,775,56,16
2000-05-31,779,60,21
2000-06-30,778,60,20
2000-07-31,777,60,21
2000-08-31,777,60,21
2000-09-30,777,60,31
2000-10-31,777,60,30
2000-11-30,776,60,29
2000-12-31,776,58,28
2001-01-31,776,54,26
2001-02-28,776,54,26
2001-03-31,831,53,26
2001-04-30,835,49,28
2001-05-31,836,49,27
2001-06-30,833,49,27
2001-07-31,838,14,28
2001-08-31,833,16,26
2001-09-30,841,4,26
2001-10-31,837,42,31
2001-11-30,832,42,31
2001-12-31,838,42,31
2002-01-31,831,42,31
2002-02-28,827,42,31
2002-03-31,834,46,31
2002-04-30,834,46,30
2002-05-31,831,46,31
2002-06-30,840,53,30
2002-07-31,838,53,31
2002-08-30,826,52,28
2002-09-30,832,52,26
2002-10-31,837,36,31
2002-11-30,836,36,31
2002-12-31,835,41,31
2003-01-31,830,41,31
2003-02-28,836,40,31
2003-03-30,833,45,38
2003-04-30,832,20,38
2003-05-31,831,18,38
2003-06-30,830,18,37
2003-07-31,833,18,39
2003-08-31,832,18,38
2003-09-30,833,7,26
2003-10-31,832,41,35
2003-11-30,831,44,37
2003-12-31,828,45,37
2004-01-31,827,59,39
2004-02-28,835,59,39
2004-03-31,834,59,41
2004-04-30,831,59,43
2004-05-31,834,59,44
2004-06-30,831,59,44
2004-07-31,830,62,43
2004-08-31,11,62,47
2004-09-30,13,81,45
2004-10-31,13,85,44
2004-11-30,13,82,44
2004-12-31,10,78,43
2005-01-31,10,78,43
2005-02-28,10,80,43
2005-03-31,11,79,42
2005-04-30,12,67,42
2005-05-31,13,66,48
2005-06-30,12,66,52
2005-07-31,13,69,49
2005-08-31,14,69,48
2005-09-30,304,48,48
2005-10-31,301,55,52
2005-11-30,300,52,51
2005-12-31,352,50,49
2006-01-31,353,63,53
2006-02-28,352,63,52
2006-03-31,351,62,51
2006-04-30,346,73,58
2006-05-31,342,67,53
2006-06-30,341,64,55
2006-07-31,342,49,58
2006-08-31,339,64,59
2006-09-30,337,62,61
2006-10-31,353,53,58
2006-11-30,353,56,58
2006-12-31,352,56,57
2007-01-31,351,61,57
2007-02-28,351,62,57
2007-03-31,355,64,59
2007-04-30,358,56,63
2007-05-31,358,62,58
2007-06-30,360,62,57
2007-07-31,359,60,62
2007-08-31,357,66,58
2007-09-30,357,70,63
2007-10-31,356,74,63
2007-11-30,361,79,64
2007-12-31,361,164,64
2008-01-31,372,159,85
2008-02-28,373,158,89
2008-03-31,371,176,72
2008-04-30,370,156,69
2008-05-31,369,150,73
2008-06-30,369,139,70
2008-07-31,368,122,63
2008-08-31,355,134,48
