"Date","Troops","Police","Experts"
1991-07-31,15,NA,NA
1991-08-31,15,NA,NA
1991-09-30,10,10,NA
1991-10-31,15,NA,NA
1991-11-30,14,10,NA
1991-12-31,14,10,NA
1992-09-30,NA,12,35
1992-10-31,NA,12,31
1992-12-31,NA,12,27
1993-01-31,NA,10,20
1993-02-28,7,7,5
1993-03-31,7,7,NA
1993-04-30,7,7,NA
1993-05-31,163,7,8
1993-06-30,973,4,6
1993-07-31,928,4,5
1993-08-31,956,4,14
1993-09-30,916,4,15
1993-10-31,909,4,15
1993-11-30,895,6,14
1993-12-31,910,5,14
1994-01-31,990,3,14
1994-02-28,994,2,33
1994-03-31,991,2,33
1994-04-30,993,2,34
1994-05-31,1095,7,25
1994-06-30,1063,7,25
1994-07-31,1004,7,25
1994-08-31,998,7,30
1994-09-30,993,7,31
1994-10-31,946,7,30
1994-11-30,939,7,30
1994-12-31,99,10,36
1995-01-31,45,22,47
1995-02-28,790,27,47
1995-03-31,NA,16,45
1995-04-30,NA,16,45
1995-05-31,3,17,45
1995-06-30,35,17,45
1995-07-31,35,17,45
1995-08-31,835,17,46
1995-09-30,840,22,46
1995-10-31,835,22,47
1995-11-30,835,22,47
1995-12-31,834,22,44
1996-01-31,837,22,36
1996-02-29,845,22,36
1996-03-31,856,22,25
1996-04-30,1355,37,33
1996-05-31,1366,37,32
1996-06-30,1365,37,32
1996-07-31,1287,37,34
1996-08-31,1371,41,32
1996-09-30,1369,36,32
1996-10-31,1369,36,32
1996-11-30,1377,37,31
1996-12-31,1376,37,32
1997-01-31,1376,37,32
1997-02-28,850,22,31
1997-03-31,1246,37,37
1997-04-30,1231,37,31
1997-05-31,1215,37,31
1997-06-30,1209,37,30
1997-07-31,1206,37,30
1997-08-31,1199,42,24
1997-09-30,1159,37,24
1997-10-31,1159,46,21
1997-11-30,1155,51,21
1997-12-31,544,71,20
1998-01-31,246,47,7
1998-02-28,130,46,7
1998-03-31,158,45,7
1998-04-30,165,45,9
1998-05-31,151,46,6
1998-06-30,13,51,6
1998-07-31,13,48,6
1998-08-31,12,45,6
1998-09-30,4,22,3
1998-10-31,4,22,3
1998-11-30,4,22,3
1998-12-31,4,22,3
1999-01-31,3,5,2
1999-02-28,6,5,1
1999-03-31,NA,1,1
1999-04-30,NA,1,NA
1999-05-31,NA,1,NA
1999-08-31,NA,5,NA
1999-09-30,NA,5,NA
1999-10-31,NA,43,1
1999-11-30,NA,43,1
1999-12-31,NA,42,1
2000-01-31,NA,28,NA
2000-02-28,NA,58,NA
2000-03-31,NA,77,NA
2000-04-30,NA,77,NA
2000-05-31,NA,77,NA
2000-06-30,NA,74,NA
2000-07-31,NA,73,NA
2000-08-31,NA,73,NA
2000-09-30,NA,71,NA
2000-10-31,NA,91,NA
2000-11-30,NA,91,NA
2000-12-31,NA,91,NA
2001-01-31,NA,91,NA
2001-02-28,NA,91,NA
2001-03-31,NA,50,NA
2001-04-30,NA,49,NA
2001-05-31,NA,49,NA
2001-06-30,NA,49,NA
2001-07-31,NA,48,NA
2001-08-31,NA,82,NA
2001-09-30,NA,84,NA
2001-10-31,NA,65,NA
2001-11-30,NA,30,NA
2001-12-31,NA,85,NA
2002-01-31,NA,85,NA
2002-02-28,NA,87,NA
2002-03-31,NA,60,NA
2002-04-30,NA,87,NA
2002-05-31,NA,87,NA
2002-06-30,NA,87,NA
2002-07-31,NA,67,NA
2002-08-30,NA,64,NA
2002-09-30,NA,64,NA
2002-10-31,NA,60,NA
2002-11-30,NA,60,NA
2002-12-31,NA,73,NA
2003-01-31,NA,71,NA
2003-02-28,NA,71,NA
2003-03-30,NA,71,NA
2003-04-30,NA,51,NA
2003-05-31,NA,53,NA
2003-06-30,NA,52,NA
2003-07-31,NA,70,NA
2003-08-31,NA,70,NA
2003-09-30,NA,74,NA
2003-10-31,NA,69,NA
2003-11-30,NA,74,NA
2003-12-31,NA,78,NA
2004-01-31,NA,89,NA
2004-02-28,NA,83,NA
2004-03-31,NA,89,NA
2004-04-30,NA,83,NA
2004-05-31,NA,90,NA
2004-06-30,NA,89,NA
2004-07-31,NA,97,NA
2004-08-31,NA,97,NA
2004-09-30,NA,97,NA
2004-10-31,NA,99,NA
2004-11-30,NA,99,NA
2004-12-31,NA,65,NA
2005-01-31,NA,62,NA
2005-02-28,NA,66,NA
2005-03-31,NA,86,NA
2005-04-30,NA,76,NA
2005-05-31,NA,76,4
2005-06-30,NA,76,4
2005-07-31,NA,81,4
2005-08-31,NA,81,4
2005-09-30,NA,74,8
2005-10-31,NA,75,13
2005-11-30,NA,71,20
2005-12-31,NA,70,20
2006-01-31,NA,96,21
2006-02-28,NA,96,21
2006-03-31,NA,86,21
2006-04-30,NA,83,19
2006-05-31,NA,79,21
2006-06-30,NA,83,21
2006-07-31,NA,77,21
2006-08-31,NA,77,21
2006-09-30,NA,62,21
2006-10-31,NA,89,23
2006-11-30,2,84,16
2006-12-31,2,84,17
2007-01-31,2,119,18
2007-02-28,2,119,18
2007-03-31,2,120,20
2007-04-30,2,120,20
2007-05-31,2,120,20
2007-06-30,NA,114,20
2007-07-31,2,119,20
2007-08-31,3,121,20
2007-09-30,3,116,20
2007-10-31,3,119,16
2007-11-30,1,112,20
2007-12-31,1,109,20
2008-01-31,3,93,22
2008-02-28,3,136,20
2008-03-31,3,124,19
2008-04-30,4,126,19
2008-05-31,4,126,19
2008-06-30,4,137,16
2008-07-31,4,132,20
2008-08-31,2,134,20
2008-09-30,NA,136,20
2008-10-31,2,126,16
2008-11-30,4,127,20
2008-12-31,2,111,19
2009-01-31,7,102,20
2009-02-28,7,102,22
2009-03-31,8,99,21
2009-04-30,8,99,23
2009-05-31,8,104,23
2009-06-30,8,104,21
2009-07-31,8,104,23
2009-08-31,8,103,23
2009-09-30,8,103,23
2009-10-31,7,110,25
2009-11-30,5,109,27
2009-12-31,4,109,27
2010-01-31,2,109,22
2010-02-28,3,109,25
2010-03-31,2,74,26
2010-04-30,2,115,24
2010-05-31,2,116,27
2010-06-30,2,112,29
2010-07-31,2,104,25
2010-08-31,2,113,22
2010-09-30,2,111,27
2010-10-31,2,115,27
2010-11-30,2,110,19
2010-12-31,2,108,19
2011-01-31,1,133,15
2011-02-28,1,133,13
2011-03-31,NA,133,13
2011-04-30,NA,133,12
2011-05-31,1,106,12
2011-06-30,1,103,9
2011-07-31,1,62,11
2011-08-31,1,97,10
2011-09-30,1,97,9
2011-10-31,1,97,9
2011-11-30,2,80,9
2011-12-31,2,83,9
2012-01-31,2,83,9
2012-02-28,2,88,9
2012-03-31,2,63,9
2012-04-30,2,63,9
2012-05-31,2,63,13
2012-06-30,2,58,15
2012-07-31,2,77,12
2012-08-31,2,82,8
2012-09-30,2,76,10
2012-10-31,2,75,10
2012-11-30,2,62,9
2012-12-31,2,62,10
2013-01-31,2,62,12
2013-02-28,3,63,12
2013-03-31,3,71,12
2013-04-30,3,83,14
2013-05-31,3,83,12
2013-06-30,3,83,13
2013-07-31,3,62,13
2013-08-31,3,90,14
2013-09-30,3,87,12
2013-10-31,2,90,15
2013-11-30,2,90,15
2013-12-31,3,90,15
2014-01-31,3,89,16
2014-02-28,4,86,16
