"date","mission.continent","n.missions","troops","police","observers","total"
1990-11-30,"Africa",1,67,0,0,67
1990-11-30,"Asia",6,9795,44,0,9839
1990-11-30,"South America",1,423,0,0,423
1990-12-31,"Africa",1,67,0,0,67
1990-12-31,"Asia",6,9795,44,0,9839
1990-12-31,"South America",1,423,0,0,423
1991-01-31,"Africa",1,67,0,0,67
1991-01-31,"Asia",6,9795,44,0,9839
1991-01-31,"South America",1,423,0,0,423
1991-02-28,"Africa",1,67,0,0,67
1991-02-28,"Asia",6,9795,44,0,9839
1991-02-28,"South America",1,423,0,0,423
1991-03-31,"Africa",1,61,0,0,61
1991-03-31,"Asia",5,9482,37,0,9519
1991-03-31,"South America",1,201,0,0,201
1991-04-30,"Africa",1,61,0,0,61
1991-04-30,"Asia",6,10415,38,0,10453
1991-04-30,"South America",1,199,0,0,199
1991-05-31,"Africa",1,61,0,0,61
1991-05-31,"Asia",6,10425,38,0,10463
1991-05-31,"South America",1,176,0,0,176
1991-06-30,"Africa",1,65,0,0,65
1991-06-30,"Asia",6,10421,38,0,10459
1991-06-30,"South America",1,171,0,0,171
1991-07-31,"Africa",1,241,0,0,241
1991-07-31,"Asia",6,10408,37,0,10445
1991-07-31,"South America",1,175,0,0,175
1991-08-31,"Africa",1,224,0,0,224
1991-08-31,"Asia",6,10399,37,0,10436
1991-08-31,"South America",1,175,0,0,175
1991-09-30,"Africa",2,568,65,0,633
1991-09-30,"Asia",6,10380,38,0,10418
1991-09-30,"South America",2,190,26,0,216
1991-10-31,"Africa",2,670,0,0,670
1991-10-31,"Asia",6,10124,0,0,10124
1991-10-31,"South America",2,187,0,0,187
1991-11-30,"Africa",2,681,90,0,771
1991-11-30,"Asia",7,10326,38,0,10364
1991-11-30,"South America",2,202,27,0,229
1991-12-31,"Africa",2,688,90,0,778
1991-12-31,"Asia",7,10286,38,0,10324
1991-12-31,"South America",2,162,27,0,189
1992-01-31,"Africa",2,699,80,0,779
1992-01-31,"Asia",7,10256,38,0,10294
1992-01-31,"South America",2,509,27,0,536
1992-02-29,"Africa",2,714,86,0,800
1992-02-29,"Asia",7,10959,37,0,10996
1992-02-29,"South America",1,359,263,0,622
1992-03-31,"Africa",2,699,86,0,785
1992-03-31,"Asia",7,13197,152,0,13349
1992-03-31,"South America",1,287,256,0,543
1992-04-30,"Africa",2,635,89,0,724
1992-04-30,"Asia",7,13231,393,0,13624
1992-04-30,"Europe",1,9709,307,0,10016
1992-04-30,"South America",1,291,343,0,634
1992-05-31,"Africa",2,635,89,0,724
1992-05-31,"Asia",7,13231,393,0,13624
1992-05-31,"Europe",1,9709,307,0,10016
1992-05-31,"South America",1,291,343,0,634
1992-06-30,"Africa",2,635,89,0,724
1992-06-30,"Asia",7,13231,393,0,13624
1992-06-30,"Europe",1,9709,307,0,10016
1992-06-30,"South America",1,291,343,0,634
1992-07-31,"Africa",2,635,89,0,724
1992-07-31,"Asia",7,13231,393,0,13624
1992-07-31,"Europe",1,9709,307,0,10016
1992-07-31,"South America",1,291,343,0,634
1992-08-31,"Africa",3,1019,118,595,1732
1992-08-31,"Asia",7,22725,2857,1023,26605
1992-08-31,"Europe",1,14062,600,234,14896
1992-08-31,"South America",1,8,311,286,605
1992-09-30,"Africa",3,130,111,654,895
1992-09-30,"Asia",7,22719,2747,1018,26484
1992-09-30,"Europe",1,15378,600,219,16197
1992-09-30,"South America",1,8,311,238,557
1992-10-31,"Africa",3,672,94,565,1331
1992-10-31,"Asia",7,23156,3240,1002,27398
1992-10-31,"Europe",1,14095,610,251,14956
1992-10-31,"South America",1,8,308,227,543
1992-11-30,"Africa",3,641,66,469,1176
1992-11-30,"Asia",7,23032,3200,990,27222
1992-11-30,"Europe",1,21084,617,362,22063
1992-11-30,"South America",1,7,303,220,530
1992-12-31,"Africa",3,718,87,484,1289
1992-12-31,"Asia",7,23260,3390,1023,27673
1992-12-31,"Europe",1,21790,624,341,22755
1992-12-31,"South America",1,7,312,218,537
1993-01-31,"Africa",4,776,45,458,1279
1993-01-31,"Asia",7,21604,4250,1011,26865
1993-01-31,"Europe",1,21285,622,774,22681
1993-01-31,"South America",1,942,298,130,1370
1993-02-28,"Africa",4,1066,54,446,1566
1993-02-28,"Asia",7,21665,4252,990,26907
1993-02-28,"Europe",1,22156,601,772,23529
1993-02-28,"South America",1,942,294,105,1341
1993-03-31,"Africa",4,2083,80,395,2558
1993-03-31,"Asia",7,21374,4246,983,26603
1993-03-31,"Europe",1,22156,621,772,23549
1993-03-31,"South America",1,943,286,105,1334
1993-04-30,"Africa",4,3996,498,444,4938
1993-04-30,"Asia",7,21682,4217,977,26876
1993-04-30,"Europe",1,22855,621,787,24263
1993-04-30,"South America",1,940,288,91,1319
1993-05-31,"Africa",4,21491,52,462,22005
1993-05-31,"Asia",7,21969,4212,955,27136
1993-05-31,"Europe",1,22819,621,755,24195
1993-05-31,"South America",1,937,302,79,1318
1993-06-30,"Africa",5,26049,58,524,26631
1993-06-30,"Asia",7,21033,3780,945,25758
1993-06-30,"Europe",1,22706,649,758,24113
1993-06-30,"South America",1,933,312,49,1294
1993-07-31,"Africa",5,24097,291,473,24861
1993-07-31,"Asia",7,21510,4131,973,26614
1993-07-31,"Europe",1,23452,618,830,24900
1993-07-31,"South America",1,923,315,44,1282
1993-08-31,"Africa",5,28507,292,522,29321
1993-08-31,"Asia",7,17945,1758,924,20627
1993-08-31,"Europe",1,23405,598,817,24820
1993-08-31,"South America",1,77,325,40,442
1993-09-30,"Africa",6,31941,290,646,32877
1993-09-30,"Asia",8,15678,748,812,17238
1993-09-30,"Europe",1,24044,641,927,25612
1993-09-30,"South America",1,68,326,37,431
1993-10-31,"Africa",7,35343,54,735,36132
1993-10-31,"Asia",8,11087,54,567,11708
1993-10-31,"Europe",1,25259,653,963,26875
1993-10-31,"South America",1,28,278,32,338
