"date","mission.continent","mission.un.region","n.missions","troops","police","observers","total"
1990-11-30,"Africa","Middle Africa",1,67,0,0,67
1990-11-30,"Asia","Southern Asia",2,216,0,0,216
1990-11-30,"Asia","Western Asia",4,9579,44,0,9623
1990-11-30,"South America","Central America",1,423,0,0,423
1990-12-31,"Africa","Middle Africa",1,67,0,0,67
1990-12-31,"Asia","Southern Asia",2,216,0,0,216
1990-12-31,"Asia","Western Asia",4,9579,44,0,9623
1990-12-31,"South America","Central America",1,423,0,0,423
1991-01-31,"Africa","Middle Africa",1,67,0,0,67
1991-01-31,"Asia","Southern Asia",2,216,0,0,216
1991-01-31,"Asia","Western Asia",4,9579,44,0,9623
1991-01-31,"South America","Central America",1,423,0,0,423
1991-02-28,"Africa","Middle Africa",1,67,0,0,67
1991-02-28,"Asia","Southern Asia",2,216,0,0,216
1991-02-28,"Asia","Western Asia",4,9579,44,0,9623
1991-02-28,"South America","Central America",1,423,0,0,423
1991-03-31,"Africa","Middle Africa",1,61,0,0,61
1991-03-31,"Asia","Southern Asia",1,39,0,0,39
1991-03-31,"Asia","Western Asia",4,9443,37,0,9480
1991-03-31,"South America","Central America",1,201,0,0,201
1991-04-30,"Africa","Middle Africa",1,61,0,0,61
1991-04-30,"Asia","Southern Asia",1,39,0,0,39
1991-04-30,"Asia","Western Asia",5,10376,38,0,10414
1991-04-30,"South America","Central America",1,199,0,0,199
1991-05-31,"Africa","Middle Africa",1,61,0,0,61
1991-05-31,"Asia","Southern Asia",1,68,0,0,68
1991-05-31,"Asia","Western Asia",5,10357,38,0,10395
1991-05-31,"South America","Central America",1,176,0,0,176
1991-06-30,"Africa","Middle Africa",1,65,0,0,65
1991-06-30,"Asia","Southern Asia",1,38,0,0,38
1991-06-30,"Asia","Western Asia",5,10383,38,0,10421
1991-06-30,"South America","Central America",1,171,0,0,171
1991-07-31,"Africa","Middle Africa",1,241,0,0,241
1991-07-31,"Asia","Southern Asia",1,38,0,0,38
1991-07-31,"Asia","Western Asia",5,10370,37,0,10407
1991-07-31,"South America","Central America",1,175,0,0,175
1991-08-31,"Africa","Middle Africa",1,224,0,0,224
1991-08-31,"Asia","Southern Asia",1,31,0,0,31
1991-08-31,"Asia","Western Asia",5,10368,37,0,10405
1991-08-31,"South America","Central America",1,175,0,0,175
1991-09-30,"Africa","Middle Africa",1,254,65,0,319
1991-09-30,"Africa","Northern Africa",1,314,0,0,314
1991-09-30,"Asia","Southern Asia",1,39,0,0,39
1991-09-30,"Asia","Western Asia",5,10341,38,0,10379
1991-09-30,"South America","Central America",2,190,26,0,216
1991-10-31,"Africa","Middle Africa",1,348,0,0,348
1991-10-31,"Africa","Northern Africa",1,322,0,0,322
1991-10-31,"Asia","Southern Asia",1,39,0,0,39
1991-10-31,"Asia","Western Asia",5,10085,0,0,10085
1991-10-31,"South America","Central America",2,187,0,0,187
1991-11-30,"Africa","Middle Africa",1,359,90,0,449
1991-11-30,"Africa","Northern Africa",1,322,0,0,322
1991-11-30,"Asia","South-Eastern Asia",1,231,0,0,231
1991-11-30,"Asia","Southern Asia",1,39,0,0,39
1991-11-30,"Asia","Western Asia",5,10056,38,0,10094
1991-11-30,"South America","Central America",2,202,27,0,229
1991-12-31,"Africa","Middle Africa",1,329,90,0,419
1991-12-31,"Africa","Northern Africa",1,359,0,0,359
1991-12-31,"Asia","South-Eastern Asia",1,224,0,0,224
1991-12-31,"Asia","Southern Asia",1,38,0,0,38
1991-12-31,"Asia","Western Asia",5,10024,38,0,10062
1991-12-31,"South America","Central America",2,162,27,0,189
1992-01-31,"Africa","Middle Africa",1,324,80,0,404
1992-01-31,"Africa","Northern Africa",1,375,0,0,375
1992-01-31,"Asia","South-Eastern Asia",1,222,0,0,222
1992-01-31,"Asia","Southern Asia",1,37,0,0,37
1992-01-31,"Asia","Western Asia",5,9997,38,0,10035
1992-01-31,"South America","Central America",2,509,27,0,536
1992-02-29,"Africa","Middle Africa",1,347,86,0,433
1992-02-29,"Africa","Northern Africa",1,367,0,0,367
1992-02-29,"Asia","South-Eastern Asia",1,1090,0,0,1090
1992-02-29,"Asia","Southern Asia",1,39,0,0,39
1992-02-29,"Asia","Western Asia",5,9830,37,0,9867
1992-02-29,"South America","Central America",1,359,263,0,622
1992-03-31,"Africa","Middle Africa",1,346,86,0,432
1992-03-31,"Africa","Northern Africa",1,353,0,0,353
1992-03-31,"Asia","South-Eastern Asia",1,3059,115,0,3174
1992-03-31,"Asia","Southern Asia",1,38,0,0,38
1992-03-31,"Asia","Western Asia",5,10100,37,0,10137
1992-03-31,"South America","Central America",1,287,256,0,543
1992-04-30,"Africa","Middle Africa",1,352,89,0,441
1992-04-30,"Africa","Northern Africa",1,283,0,0,283
1992-04-30,"Asia","South-Eastern Asia",1,3861,355,0,4216
1992-04-30,"Asia","Southern Asia",1,38,0,0,38
1992-04-30,"Asia","Western Asia",5,9332,38,0,9370
1992-04-30,"Europe","Southern Europe",1,9709,307,0,10016
1992-04-30,"South America","Central America",1,291,343,0,634
1992-05-31,"Africa","Middle Africa",1,352,89,0,441
1992-05-31,"Africa","Northern Africa",1,283,0,0,283
1992-05-31,"Asia","South-Eastern Asia",1,3861,355,0,4216
1992-05-31,"Asia","Southern Asia",1,38,0,0,38
1992-05-31,"Asia","Western Asia",5,9332,38,0,9370
1992-05-31,"Europe","Southern Europe",1,9709,307,0,10016
1992-05-31,"South America","Central America",1,291,343,0,634
1992-06-30,"Africa","Middle Africa",1,352,89,0,441
1992-06-30,"Africa","Northern Africa",1,283,0,0,283
1992-06-30,"Asia","South-Eastern Asia",1,3861,355,0,4216
1992-06-30,"Asia","Southern Asia",1,38,0,0,38
1992-06-30,"Asia","Western Asia",5,9332,38,0,9370
1992-06-30,"Europe","Southern Europe",1,9709,307,0,10016
1992-06-30,"South America","Central America",1,291,343,0,634
1992-07-31,"Africa","Middle Africa",1,352,89,0,441
1992-07-31,"Africa","Northern Africa",1,283,0,0,283
1992-07-31,"Asia","South-Eastern Asia",1,3861,355,0,4216
1992-07-31,"Asia","Southern Asia",1,38,0,0,38
1992-07-31,"Asia","Western Asia",5,9332,38,0,9370
1992-07-31,"Europe","Southern Europe",1,9709,307,0,10016
