"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1990-11-30,"Eastern Africa","Africa",2,13,NA,NA,13
1990-11-30,"Middle Africa","Africa",1,6,NA,NA,6
1990-11-30,"Northern Africa","Africa",1,7,NA,NA,7
1990-11-30,"Western Africa","Africa",3,898,NA,NA,898
1990-12-31,"Eastern Africa","Africa",2,13,NA,NA,13
1990-12-31,"Middle Africa","Africa",1,6,NA,NA,6
1990-12-31,"Northern Africa","Africa",1,7,NA,NA,7
1990-12-31,"Western Africa","Africa",3,898,NA,NA,898
1991-01-31,"Eastern Africa","Africa",2,13,NA,NA,13
1991-01-31,"Middle Africa","Africa",1,6,NA,NA,6
1991-01-31,"Northern Africa","Africa",1,7,NA,NA,7
1991-01-31,"Western Africa","Africa",3,898,NA,NA,898
1991-02-28,"Eastern Africa","Africa",2,13,NA,NA,13
1991-02-28,"Middle Africa","Africa",1,6,NA,NA,6
1991-02-28,"Northern Africa","Africa",1,7,NA,NA,7
1991-02-28,"Western Africa","Africa",3,898,NA,NA,898
1991-03-31,"Middle Africa","Africa",1,6,NA,NA,6
1991-03-31,"Northern Africa","Africa",1,6,NA,NA,6
1991-03-31,"Western Africa","Africa",1,895,NA,NA,895
1991-04-30,"Eastern Africa","Africa",1,8,NA,NA,8
1991-04-30,"Middle Africa","Africa",1,6,NA,NA,6
1991-04-30,"Northern Africa","Africa",1,6,NA,NA,6
1991-04-30,"Western Africa","Africa",2,910,NA,NA,910
1991-05-31,"Eastern Africa","Africa",1,8,NA,NA,8
1991-05-31,"Middle Africa","Africa",1,6,NA,NA,6
1991-05-31,"Northern Africa","Africa",1,6,NA,NA,6
1991-05-31,"Western Africa","Africa",3,916,NA,NA,916
1991-06-30,"Eastern Africa","Africa",1,8,NA,NA,8
1991-06-30,"Middle Africa","Africa",1,6,NA,NA,6
1991-06-30,"Northern Africa","Africa",1,6,NA,NA,6
1991-06-30,"Western Africa","Africa",3,916,NA,NA,916
1991-07-31,"Eastern Africa","Africa",2,23,NA,NA,23
1991-07-31,"Middle Africa","Africa",1,10,NA,NA,10
1991-07-31,"Northern Africa","Africa",3,21,NA,NA,21
1991-07-31,"Western Africa","Africa",4,935,NA,NA,935
1991-08-31,"Eastern Africa","Africa",2,23,NA,NA,23
1991-08-31,"Middle Africa","Africa",1,10,NA,NA,10
1991-08-31,"Northern Africa","Africa",3,30,NA,NA,30
1991-08-31,"Western Africa","Africa",4,920,NA,NA,920
1991-09-30,"Eastern Africa","Africa",2,28,10,NA,38
1991-09-30,"Middle Africa","Africa",1,14,NA,NA,14
1991-09-30,"Northern Africa","Africa",4,59,NA,NA,59
1991-09-30,"Western Africa","Africa",5,938,NA,NA,938
1991-10-31,"Eastern Africa","Africa",2,33,NA,NA,33
1991-10-31,"Middle Africa","Africa",1,14,NA,NA,14
1991-10-31,"Northern Africa","Africa",4,61,NA,NA,61
1991-10-31,"Western Africa","Africa",5,949,NA,NA,949
1991-11-30,"Eastern Africa","Africa",2,32,10,NA,42
1991-11-30,"Middle Africa","Africa",1,15,NA,NA,15
1991-11-30,"Northern Africa","Africa",4,67,9,NA,76
1991-11-30,"Western Africa","Africa",5,963,10,NA,973
1991-12-31,"Eastern Africa","Africa",2,31,10,NA,41
1991-12-31,"Northern Africa","Africa",4,67,9,NA,76
1991-12-31,"Western Africa","Africa",5,963,10,NA,973
1992-01-31,"Eastern Africa","Africa",1,15,NA,NA,15
1992-01-31,"Northern Africa","Africa",4,64,9,NA,73
1992-01-31,"Western Africa","Africa",4,945,10,NA,955
1992-02-29,"Eastern Africa","Africa",1,18,NA,NA,18
1992-02-29,"Northern Africa","Africa",4,88,19,NA,107
1992-02-29,"Western Africa","Africa",4,952,8,NA,960
1992-03-31,"Eastern Africa","Africa",1,18,NA,NA,18
1992-03-31,"Northern Africa","Africa",4,108,19,NA,127
1992-03-31,"Western Africa","Africa",4,944,16,NA,960
1992-04-30,"Eastern Africa","Africa",1,20,NA,NA,20
1992-04-30,"Northern Africa","Africa",4,115,46,NA,161
1992-04-30,"Western Africa","Africa",5,1036,31,NA,1067
1992-05-31,"Eastern Africa","Africa",1,20,NA,NA,20
1992-05-31,"Northern Africa","Africa",4,115,46,NA,161
1992-05-31,"Western Africa","Africa",5,1036,31,NA,1067
1992-06-30,"Eastern Africa","Africa",1,20,NA,NA,20
1992-06-30,"Northern Africa","Africa",4,115,46,NA,161
1992-06-30,"Western Africa","Africa",5,1036,31,NA,1067
1992-07-31,"Eastern Africa","Africa",1,20,NA,NA,20
1992-07-31,"Northern Africa","Africa",4,115,46,NA,161
1992-07-31,"Western Africa","Africa",5,1036,31,NA,1067
1992-08-31,"Eastern Africa","Africa",1,909,145,31,1085
1992-08-31,"Middle Africa","Africa",1,783,115,31,929
1992-08-31,"Northern Africa","Africa",4,1294,335,116,1745
1992-08-31,"Western Africa","Africa",4,2664,341,88,3093
1992-09-30,"Eastern Africa","Africa",2,909,157,51,1117
1992-09-30,"Middle Africa","Africa",1,NA,150,31,181
1992-09-30,"Northern Africa","Africa",4,1257,337,118,1712
1992-09-30,"Western Africa","Africa",5,2564,341,104,3009
1992-10-31,"Eastern Africa","Africa",2,909,157,63,1129
1992-10-31,"Middle Africa","Africa",1,762,150,31,943
1992-10-31,"Northern Africa","Africa",4,1257,414,115,1786
1992-10-31,"Western Africa","Africa",5,2592,416,101,3109
1992-11-30,"Eastern Africa","Africa",2,902,145,60,1107
1992-11-30,"Middle Africa","Africa",1,722,150,34,906
1992-11-30,"Northern Africa","Africa",4,1269,420,100,1789
1992-11-30,"Western Africa","Africa",5,2587,416,110,3113
1992-12-31,"Eastern Africa","Africa",2,902,157,59,1118
1992-12-31,"Middle Africa","Africa",1,729,150,34,913
1992-12-31,"Northern Africa","Africa",4,1283,420,98,1801
1992-12-31,"Western Africa","Africa",5,2555,416,109,3080
1993-01-31,"Eastern Africa","Africa",2,917,154,56,1127
1993-01-31,"Middle Africa","Africa",2,75,NA,28,103
1993-01-31,"Northern Africa","Africa",4,1300,414,56,1770
1993-01-31,"Western Africa","Africa",5,2572,404,81,3057
1993-02-28,"Eastern Africa","Africa",3,920,152,41,1113
1993-02-28,"Middle Africa","Africa",2,74,NA,20,94
1993-02-28,"Northern Africa","Africa",4,1298,413,66,1777
1993-02-28,"Southern Africa","Africa",1,7,NA,NA,7
1993-02-28,"Western Africa","Africa",6,2547,401,91,3039
1993-03-31,"Eastern Africa","Africa",3,920,177,36,1133
1993-03-31,"Middle Africa","Africa",2,74,NA,20,94
1993-03-31,"Northern Africa","Africa",4,1298,417,56,1771
1993-03-31,"Southern Africa","Africa",1,25,NA,NA,25
1993-03-31,"Western Africa","Africa",6,2539,400,91,3030
1993-04-30,"Eastern Africa","Africa",3,915,595,36,1546
1993-04-30,"Middle Africa","Africa",2,74,NA,20,94
1993-04-30,"Northern Africa","Africa",4,1298,415,67,1780
1993-04-30,"Southern Africa","Africa",1,746,NA,NA,746
1993-04-30,"Western Africa","Africa",6,2543,403,99,3045
1993-05-31,"Eastern Africa","Africa",3,1915,151,44,2110
1993-05-31,"Middle Africa","Africa",2,73,NA,20,93
1993-05-31,"Northern Africa","Africa",4,2948,414,67,3429
1993-05-31,"Southern Africa","Africa",1,949,NA,NA,949
1993-05-31,"Western Africa","Africa",6,3103,404,92,3599
1993-06-30,"Eastern Africa","Africa",3,2807,153,41,3001
1993-06-30,"Middle Africa","Africa",2,71,NA,19,90
1993-06-30,"Northern Africa","Africa",4,3323,413,73,3809
1993-06-30,"Southern Africa","Africa",1,953,NA,14,967
1993-06-30,"Western Africa","Africa",6,2225,416,78,2719
1993-07-31,"Eastern Africa","Africa",3,2700,148,41,2889
1993-07-31,"Middle Africa","Africa",2,71,NA,19,90
