"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1990-11-30,"Eastern Asia","Asia",1,5,NA,NA,5
1990-11-30,"South-Eastern Asia","Asia",2,20,NA,NA,20
1990-11-30,"Southern Asia","Asia",3,896,NA,NA,896
1990-11-30,"Western Asia","Asia",2,8,NA,NA,8
1990-12-31,"Eastern Asia","Asia",1,5,NA,NA,5
1990-12-31,"South-Eastern Asia","Asia",2,20,NA,NA,20
1990-12-31,"Southern Asia","Asia",3,896,NA,NA,896
1990-12-31,"Western Asia","Asia",2,8,NA,NA,8
1991-01-31,"Eastern Asia","Asia",1,5,NA,NA,5
1991-01-31,"South-Eastern Asia","Asia",2,20,NA,NA,20
1991-01-31,"Southern Asia","Asia",3,896,NA,NA,896
1991-01-31,"Western Asia","Asia",2,8,NA,NA,8
1991-02-28,"Eastern Asia","Asia",1,5,NA,NA,5
1991-02-28,"South-Eastern Asia","Asia",2,20,NA,NA,20
1991-02-28,"Southern Asia","Asia",3,896,NA,NA,896
1991-02-28,"Western Asia","Asia",2,8,NA,NA,8
1991-03-31,"Eastern Asia","Asia",1,5,NA,NA,5
1991-03-31,"Southern Asia","Asia",2,867,NA,NA,867
1991-03-31,"Western Asia","Asia",1,6,NA,NA,6
1991-04-30,"Eastern Asia","Asia",1,21,NA,NA,21
1991-04-30,"South-Eastern Asia","Asia",4,29,NA,NA,29
1991-04-30,"Southern Asia","Asia",4,893,NA,NA,893
1991-04-30,"Western Asia","Asia",1,6,NA,NA,6
1991-05-31,"Eastern Asia","Asia",1,25,NA,NA,25
1991-05-31,"South-Eastern Asia","Asia",4,29,NA,NA,29
1991-05-31,"Southern Asia","Asia",4,891,NA,NA,891
1991-05-31,"Western Asia","Asia",1,7,NA,NA,7
1991-06-30,"Eastern Asia","Asia",1,25,NA,NA,25
1991-06-30,"South-Eastern Asia","Asia",4,29,NA,NA,29
1991-06-30,"Southern Asia","Asia",4,891,NA,NA,891
1991-06-30,"Western Asia","Asia",2,13,NA,NA,13
1991-07-31,"Eastern Asia","Asia",1,25,NA,NA,25
1991-07-31,"South-Eastern Asia","Asia",4,42,NA,NA,42
1991-07-31,"Southern Asia","Asia",4,900,NA,NA,900
1991-07-31,"Western Asia","Asia",2,18,NA,NA,18
1991-08-31,"Eastern Asia","Asia",1,25,NA,NA,25
1991-08-31,"South-Eastern Asia","Asia",4,42,NA,NA,42
1991-08-31,"Southern Asia","Asia",4,900,NA,NA,900
1991-08-31,"Western Asia","Asia",2,18,NA,NA,18
1991-09-30,"Eastern Asia","Asia",1,45,NA,NA,45
1991-09-30,"South-Eastern Asia","Asia",4,48,5,NA,53
1991-09-30,"Southern Asia","Asia",4,902,NA,NA,902
1991-09-30,"Western Asia","Asia",2,22,NA,NA,22
1991-10-31,"Eastern Asia","Asia",1,43,NA,NA,43
1991-10-31,"South-Eastern Asia","Asia",4,53,NA,NA,53
1991-10-31,"Southern Asia","Asia",4,902,NA,NA,902
1991-10-31,"Western Asia","Asia",2,22,NA,NA,22
1991-11-30,"Eastern Asia","Asia",1,47,NA,NA,47
1991-11-30,"South-Eastern Asia","Asia",4,57,11,NA,68
1991-11-30,"Southern Asia","Asia",4,905,NA,NA,905
1991-11-30,"Western Asia","Asia",2,22,NA,NA,22
1991-12-31,"Eastern Asia","Asia",1,44,NA,NA,44
1991-12-31,"South-Eastern Asia","Asia",4,56,11,NA,67
1991-12-31,"Southern Asia","Asia",4,903,NA,NA,903
1991-12-31,"Western Asia","Asia",2,22,NA,NA,22
1992-01-31,"Eastern Asia","Asia",1,48,NA,NA,48
1992-01-31,"South-Eastern Asia","Asia",4,54,11,NA,65
1992-01-31,"Southern Asia","Asia",4,914,NA,NA,914
1992-01-31,"Western Asia","Asia",2,22,NA,NA,22
1992-02-29,"Eastern Asia","Asia",1,48,NA,NA,48
1992-02-29,"South-Eastern Asia","Asia",4,808,9,NA,817
1992-02-29,"Southern Asia","Asia",4,916,NA,NA,916
1992-02-29,"Western Asia","Asia",2,22,NA,NA,22
1992-03-31,"Eastern Asia","Asia",1,76,NA,NA,76
1992-03-31,"South-Eastern Asia","Asia",5,2470,41,NA,2511
1992-03-31,"Southern Asia","Asia",4,965,NA,NA,965
1992-03-31,"Western Asia","Asia",2,22,NA,NA,22
1992-04-30,"Eastern Asia","Asia",1,458,NA,NA,458
1992-04-30,"South-Eastern Asia","Asia",5,2522,119,NA,2641
1992-04-30,"Southern Asia","Asia",4,1139,48,NA,1187
1992-04-30,"Western Asia","Asia",2,882,14,NA,896
1992-05-31,"Eastern Asia","Asia",1,458,NA,NA,458
1992-05-31,"South-Eastern Asia","Asia",5,2522,119,NA,2641
1992-05-31,"Southern Asia","Asia",4,1139,48,NA,1187
1992-05-31,"Western Asia","Asia",2,882,14,NA,896
1992-06-30,"Eastern Asia","Asia",1,458,NA,NA,458
1992-06-30,"South-Eastern Asia","Asia",5,2522,119,NA,2641
1992-06-30,"Southern Asia","Asia",4,1139,48,NA,1187
1992-06-30,"Western Asia","Asia",2,882,14,NA,896
1992-07-31,"Eastern Asia","Asia",1,458,NA,NA,458
1992-07-31,"South-Eastern Asia","Asia",5,2522,119,NA,2641
1992-07-31,"Southern Asia","Asia",4,1139,48,NA,1187
1992-07-31,"Western Asia","Asia",2,882,14,NA,896
1992-08-31,"Eastern Asia","Asia",1,NA,401,85,486
1992-08-31,"South-Eastern Asia","Asia",5,3461,537,101,4099
1992-08-31,"Southern Asia","Asia",4,5097,527,129,5753
1992-08-31,"Western Asia","Asia",2,854,130,41,1025
1992-09-30,"Eastern Asia","Asia",2,430,NA,95,525
1992-09-30,"South-Eastern Asia","Asia",5,3461,537,101,4099
1992-09-30,"Southern Asia","Asia",4,5372,663,127,6162
1992-09-30,"Western Asia","Asia",2,853,129,41,1023
1992-10-31,"Eastern Asia","Asia",2,1001,75,95,1171
1992-10-31,"South-Eastern Asia","Asia",5,3463,687,100,4250
1992-10-31,"Southern Asia","Asia",4,4445,766,101,5312
1992-10-31,"Western Asia","Asia",2,853,129,38,1020
1992-11-30,"Eastern Asia","Asia",2,1001,75,95,1171
1992-11-30,"South-Eastern Asia","Asia",5,3461,687,92,4240
1992-11-30,"Southern Asia","Asia",4,4448,766,108,5322
1992-11-30,"Western Asia","Asia",2,867,129,43,1039
1992-12-31,"Eastern Asia","Asia",2,1001,75,95,1171
1992-12-31,"South-Eastern Asia","Asia",5,3463,687,85,4235
1992-12-31,"Southern Asia","Asia",4,5477,956,119,6552
1992-12-31,"Western Asia","Asia",2,883,129,44,1056
1993-01-31,"Eastern Asia","Asia",2,1001,75,95,1171
1993-01-31,"South-Eastern Asia","Asia",6,2740,1477,98,4315
1993-01-31,"Southern Asia","Asia",4,5469,1026,113,6608
1993-01-31,"Western Asia","Asia",2,882,130,50,1062
1993-02-28,"Eastern Asia","Asia",2,1000,75,94,1169
1993-02-28,"South-Eastern Asia","Asia",6,2820,1485,102,4407
1993-02-28,"Southern Asia","Asia",4,5743,1024,121,6888
1993-02-28,"Western Asia","Asia",2,884,130,48,1062
1993-03-31,"Eastern Asia","Asia",2,1000,75,104,1179
1993-03-31,"South-Eastern Asia","Asia",6,2820,1484,96,4400
1993-03-31,"Southern Asia","Asia",4,5812,1020,131,6963
1993-03-31,"Western Asia","Asia",2,884,129,43,1056
1993-04-30,"Eastern Asia","Asia",2,1000,75,93,1168
1993-04-30,"South-Eastern Asia","Asia",6,2771,1479,96,4346
1993-04-30,"Southern Asia","Asia",4,5990,1014,134,7138
1993-04-30,"Western Asia","Asia",2,886,129,43,1058
1993-05-31,"Eastern Asia","Asia",2,1057,66,92,1215
1993-05-31,"South-Eastern Asia","Asia",6,3047,1478,96,4621
1993-05-31,"Southern Asia","Asia",4,11609,1012,149,12770
1993-05-31,"Western Asia","Asia",3,1890,129,45,2064
1993-06-30,"Eastern Asia","Asia",3,1114,NA,94,1208
1993-06-30,"South-Eastern Asia","Asia",6,3750,1464,96,5310
1993-06-30,"Southern Asia","Asia",4,12246,822,150,13218
1993-06-30,"Western Asia","Asia",4,2110,132,42,2284
1993-07-31,"Eastern Asia","Asia",2,1053,66,104,1223
1993-07-31,"South-Eastern Asia","Asia",6,2974,1477,83,4534
1993-07-31,"Southern Asia","Asia",4,11936,1004,174,13114
1993-07-31,"Western Asia","Asia",4,2122,128,40,2290
1993-08-31,"Eastern Asia","Asia",2,1053,NA,99,1152
1993-08-31,"South-Eastern Asia","Asia",6,3748,1264,89,5101
1993-08-31,"Southern Asia","Asia",4,12164,205,151,12520
1993-08-31,"Western Asia","Asia",4,2009,20,17,2046
1993-09-30,"Eastern Asia","Asia",2,58,NA,78,136
1993-09-30,"South-Eastern Asia","Asia",6,3728,717,102,4547
1993-09-30,"Southern Asia","Asia",4,14377,96,196,14669
1993-09-30,"Western Asia","Asia",5,2712,55,54,2821
1993-10-31,"Eastern Asia","Asia",3,307,NA,57,364
1993-10-31,"South-Eastern Asia","Asia",5,2462,12,114,2588
1993-10-31,"Southern Asia","Asia",4,15376,96,171,15643
1993-10-31,"Western Asia","Asia",5,3701,55,75,3831
1993-11-30,"Eastern Asia","Asia",3,350,NA,65,415
1993-11-30,"South-Eastern Asia","Asia",4,876,5,109,990
1993-11-30,"Southern Asia","Asia",4,15369,100,188,15657
1993-11-30,"Western Asia","Asia",5,3613,55,74,3742
1993-12-31,"Eastern Asia","Asia",3,306,NA,65,371
1993-12-31,"South-Eastern Asia","Asia",4,1729,8,113,1850
1993-12-31,"Southern Asia","Asia",4,16078,100,256,16434
1993-12-31,"Western Asia","Asia",5,3676,55,95,3826
1994-01-31,"Eastern Asia","Asia",3,305,NA,65,370
1994-01-31,"South-Eastern Asia","Asia",4,2445,43,113,2601
1994-01-31,"Southern Asia","Asia",4,16245,125,295,16665
1994-01-31,"Western Asia","Asia",5,3018,55,95,3168
1994-02-28,"Eastern Asia","Asia",3,304,NA,65,369
1994-02-28,"South-Eastern Asia","Asia",4,2540,43,116,2699
1994-02-28,"Southern Asia","Asia",4,17002,127,322,17451
1994-02-28,"Western Asia","Asia",5,4246,55,95,4396
1994-03-31,"Eastern Asia","Asia",2,53,NA,64,117
1994-03-31,"South-Eastern Asia","Asia",4,2442,43,118,2603
1994-03-31,"Southern Asia","Asia",4,17523,130,333,17986
1994-03-31,"Western Asia","Asia",2,3037,55,95,3187
1994-04-30,"Eastern Asia","Asia",2,53,NA,63,116
1994-04-30,"South-Eastern Asia","Asia",4,2447,43,127,2617
1994-04-30,"Southern Asia","Asia",4,17835,118,304,18257
1994-04-30,"Western Asia","Asia",2,3085,100,95,3280
1994-05-31,"Eastern Asia","Asia",3,62,2,61,125
1994-05-31,"South-Eastern Asia","Asia",4,2582,48,100,2730
1994-05-31,"Southern Asia","Asia",5,18018,143,301,18462
1994-05-31,"Western Asia","Asia",2,3346,116,95,3557
1994-06-30,"Eastern Asia","Asia",3,52,2,74,128
1994-06-30,"South-Eastern Asia","Asia",4,2706,83,129,2918
1994-06-30,"Southern Asia","Asia",5,18132,363,330,18825
1994-06-30,"Western Asia","Asia",2,4835,120,95,5050
1994-07-31,"Eastern Asia","Asia",3,53,2,76,131
1994-07-31,"South-Eastern Asia","Asia",4,2621,108,126,2855
1994-07-31,"Southern Asia","Asia",5,19173,397,331,19901
1994-07-31,"Western Asia","Asia",2,3322,116,101,3539
1994-08-31,"Eastern Asia","Asia",3,80,2,72,154
1994-08-31,"South-Eastern Asia","Asia",4,2661,93,128,2882
1994-08-31,"Southern Asia","Asia",5,19909,328,340,20577
1994-08-31,"Western Asia","Asia",2,3360,116,101,3577
1994-09-30,"Eastern Asia","Asia",3,96,2,67,165
1994-09-30,"South-Eastern Asia","Asia",4,2915,88,134,3137
1994-09-30,"Southern Asia","Asia",5,20533,385,321,21239
1994-09-30,"Western Asia","Asia",2,3410,151,101,3662
