"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1990-11-30,"Eastern Europe","Europe",4,221,NA,NA,221
1990-11-30,"Northern Europe","Europe",6,4593,18,NA,4611
1990-11-30,"Southern Europe","Europe",3,159,NA,NA,159
1990-11-30,"Western Europe","Europe",6,1529,NA,NA,1529
1990-12-31,"Eastern Europe","Europe",4,221,NA,NA,221
1990-12-31,"Northern Europe","Europe",6,4593,18,NA,4611
1990-12-31,"Southern Europe","Europe",3,159,NA,NA,159
1990-12-31,"Western Europe","Europe",6,1529,NA,NA,1529
1991-01-31,"Eastern Europe","Europe",4,221,NA,NA,221
1991-01-31,"Northern Europe","Europe",6,4593,18,NA,4611
1991-01-31,"Southern Europe","Europe",3,159,NA,NA,159
1991-01-31,"Western Europe","Europe",6,1529,NA,NA,1529
1991-02-28,"Eastern Europe","Europe",4,221,NA,NA,221
1991-02-28,"Northern Europe","Europe",6,4593,18,NA,4611
1991-02-28,"Southern Europe","Europe",3,159,NA,NA,159
1991-02-28,"Western Europe","Europe",6,1529,NA,NA,1529
1991-03-31,"Eastern Europe","Europe",3,196,NA,NA,196
1991-03-31,"Northern Europe","Europe",6,4550,18,NA,4568
1991-03-31,"Southern Europe","Europe",3,113,NA,NA,113
1991-03-31,"Western Europe","Europe",6,1369,NA,NA,1369
1991-04-30,"Eastern Europe","Europe",5,239,NA,NA,239
1991-04-30,"Northern Europe","Europe",6,4790,18,NA,4808
1991-04-30,"Southern Europe","Europe",4,125,NA,NA,125
1991-04-30,"Western Europe","Europe",5,1528,NA,NA,1528
1991-05-31,"Eastern Europe","Europe",5,237,NA,NA,237
1991-05-31,"Northern Europe","Europe",6,4756,18,NA,4774
1991-05-31,"Southern Europe","Europe",4,131,NA,NA,131
1991-05-31,"Western Europe","Europe",6,1541,NA,NA,1541
1991-06-30,"Eastern Europe","Europe",5,246,NA,NA,246
1991-06-30,"Northern Europe","Europe",6,4735,18,NA,4753
1991-06-30,"Southern Europe","Europe",4,127,NA,NA,127
1991-06-30,"Western Europe","Europe",6,1542,NA,NA,1542
1991-07-31,"Eastern Europe","Europe",5,252,NA,NA,252
1991-07-31,"Northern Europe","Europe",6,4778,17,NA,4795
1991-07-31,"Southern Europe","Europe",4,136,NA,NA,136
1991-07-31,"Western Europe","Europe",6,1546,NA,NA,1546
1991-08-31,"Eastern Europe","Europe",5,253,NA,NA,253
1991-08-31,"Northern Europe","Europe",6,4778,17,NA,4795
1991-08-31,"Southern Europe","Europe",4,126,NA,NA,126
1991-08-31,"Western Europe","Europe",6,1539,NA,NA,1539
1991-09-30,"Eastern Europe","Europe",5,293,NA,NA,293
1991-09-30,"Northern Europe","Europe",6,4728,39,NA,4767
1991-09-30,"Southern Europe","Europe",4,150,18,NA,168
1991-09-30,"Western Europe","Europe",6,1642,18,NA,1660
1991-10-31,"Eastern Europe","Europe",5,293,NA,NA,293
1991-10-31,"Northern Europe","Europe",6,4727,NA,NA,4727
1991-10-31,"Southern Europe","Europe",4,149,NA,NA,149
1991-10-31,"Western Europe","Europe",6,1617,NA,NA,1617
1991-11-30,"Eastern Europe","Europe",5,298,NA,NA,298
1991-11-30,"Northern Europe","Europe",6,4703,38,NA,4741
1991-11-30,"Southern Europe","Europe",4,159,18,NA,177
1991-11-30,"Western Europe","Europe",6,1749,19,NA,1768
1991-12-31,"Eastern Europe","Europe",5,296,NA,NA,296
1991-12-31,"Northern Europe","Europe",6,4685,38,NA,4723
1991-12-31,"Southern Europe","Europe",4,151,18,NA,169
1991-12-31,"Western Europe","Europe",6,1773,19,NA,1792
1992-01-31,"Eastern Europe","Europe",4,329,NA,NA,329
1992-01-31,"Northern Europe","Europe",6,4683,38,NA,4721
1992-01-31,"Southern Europe","Europe",3,272,18,NA,290
1992-01-31,"Western Europe","Europe",6,1793,19,NA,1812
1992-02-29,"Eastern Europe","Europe",5,348,NA,NA,348
1992-02-29,"Northern Europe","Europe",6,4668,50,NA,4718
1992-02-29,"Southern Europe","Europe",3,240,127,NA,367
1992-02-29,"Western Europe","Europe",6,1849,13,NA,1862
1992-03-31,"Eastern Europe","Europe",5,336,NA,NA,336
1992-03-31,"Northern Europe","Europe",6,4652,41,NA,4693
1992-03-31,"Southern Europe","Europe",3,226,123,NA,349
