"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1990-11-30,"Australia and New Zealand","Oceania",2,37,26,NA,63
1990-11-30,"Melanesia","Oceania",1,719,NA,NA,719
1990-12-31,"Australia and New Zealand","Oceania",2,37,26,NA,63
1990-12-31,"Melanesia","Oceania",1,719,NA,NA,719
1991-01-31,"Australia and New Zealand","Oceania",2,37,26,NA,63
1991-01-31,"Melanesia","Oceania",1,719,NA,NA,719
1991-02-28,"Australia and New Zealand","Oceania",2,37,26,NA,63
1991-02-28,"Melanesia","Oceania",1,719,NA,NA,719
1991-03-31,"Australia and New Zealand","Oceania",2,17,19,NA,36
1991-03-31,"Melanesia","Oceania",1,726,NA,NA,726
1991-04-30,"Australia and New Zealand","Oceania",1,13,20,NA,33
1991-04-30,"Melanesia","Oceania",1,728,NA,NA,728
1991-05-31,"Australia and New Zealand","Oceania",2,17,20,NA,37
1991-05-31,"Melanesia","Oceania",1,726,NA,NA,726
1991-06-30,"Australia and New Zealand","Oceania",2,17,20,NA,37
1991-06-30,"Melanesia","Oceania",1,728,NA,NA,728
1991-07-31,"Australia and New Zealand","Oceania",2,22,20,NA,42
1991-07-31,"Melanesia","Oceania",1,727,NA,NA,727
1991-08-31,"Australia and New Zealand","Oceania",2,22,20,NA,42
1991-08-31,"Melanesia","Oceania",1,727,NA,NA,727
1991-09-30,"Australia and New Zealand","Oceania",2,67,19,NA,86
1991-09-30,"Melanesia","Oceania",1,731,NA,NA,731
1991-10-31,"Australia and New Zealand","Oceania",2,74,NA,NA,74
1991-10-31,"Melanesia","Oceania",1,734,NA,NA,734
1991-11-30,"Australia and New Zealand","Oceania",2,136,20,NA,156
1991-11-30,"Melanesia","Oceania",1,734,NA,NA,734
1991-12-31,"Australia and New Zealand","Oceania",2,139,20,NA,159
1991-12-31,"Melanesia","Oceania",1,731,NA,NA,731
1992-01-31,"Australia and New Zealand","Oceania",2,136,20,NA,156
1992-01-31,"Melanesia","Oceania",1,730,NA,NA,730
1992-02-29,"Australia and New Zealand","Oceania",2,168,19,NA,187
1992-02-29,"Melanesia","Oceania",1,726,NA,NA,726
1992-03-31,"Australia and New Zealand","Oceania",2,292,19,NA,311
1992-03-31,"Melanesia","Oceania",1,727,NA,NA,727
1992-04-30,"Australia and New Zealand","Oceania",2,296,20,NA,316
1992-04-30,"Melanesia","Oceania",1,730,NA,NA,730
1992-05-31,"Australia and New Zealand","Oceania",2,296,20,NA,316
1992-05-31,"Melanesia","Oceania",1,730,NA,NA,730
1992-06-30,"Australia and New Zealand","Oceania",2,296,20,NA,316
1992-06-30,"Melanesia","Oceania",1,730,NA,NA,730
1992-07-31,"Australia and New Zealand","Oceania",2,296,20,NA,316
1992-07-31,"Melanesia","Oceania",1,730,NA,NA,730
1992-08-31,"Australia and New Zealand","Oceania",2,650,30,39,719
1992-08-31,"Melanesia","Oceania",1,728,49,11,788
1992-09-30,"Australia and New Zealand","Oceania",2,618,30,40,688
1992-09-30,"Melanesia","Oceania",1,703,50,11,764
1992-10-31,"Australia and New Zealand","Oceania",2,683,30,37,750
1992-10-31,"Melanesia","Oceania",1,724,50,11,785
1992-11-30,"Australia and New Zealand","Oceania",2,645,30,36,711
1992-11-30,"Melanesia","Oceania",1,724,50,11,785
1992-12-31,"Australia and New Zealand","Oceania",2,637,30,34,701
1992-12-31,"Melanesia","Oceania",1,649,50,11,710
1993-01-31,"Australia and New Zealand","Oceania",2,701,31,32,764
1993-01-31,"Melanesia","Oceania",1,648,49,11,708
1993-02-28,"Australia and New Zealand","Oceania",2,699,31,32,762
1993-02-28,"Melanesia","Oceania",1,648,52,11,711
1993-03-31,"Australia and New Zealand","Oceania",2,542,32,31,605
1993-03-31,"Melanesia","Oceania",1,648,50,6,704
1993-04-30,"Australia and New Zealand","Oceania",2,732,30,30,792
1993-04-30,"Melanesia","Oceania",1,647,50,2,699
1993-05-31,"Australia and New Zealand","Oceania",2,794,31,30,855
1993-05-31,"Melanesia","Oceania",1,647,50,6,703
1993-06-30,"Australia and New Zealand","Oceania",2,666,31,31,728
1993-06-30,"Melanesia","Oceania",1,645,50,6,701
1993-07-31,"Australia and New Zealand","Oceania",2,906,31,31,968
1993-07-31,"Melanesia","Oceania",1,646,50,6,702
1993-08-31,"Australia and New Zealand","Oceania",2,661,29,31,721
1993-08-31,"Melanesia","Oceania",1,651,4,6,661
1993-09-30,"Australia and New Zealand","Oceania",2,655,22,31,708
1993-09-30,"Melanesia","Oceania",1,653,4,6,663
1993-10-31,"Australia and New Zealand","Oceania",2,305,20,31,356
1993-10-31,"Melanesia","Oceania",1,666,4,6,676
1993-11-30,"Australia and New Zealand","Oceania",2,125,21,34,180
1993-11-30,"Melanesia","Oceania",1,661,NA,7,668
1993-12-31,"Australia and New Zealand","Oceania",2,138,20,35,193
1993-12-31,"Melanesia","Oceania",1,649,NA,7,656
1994-01-31,"Australia and New Zealand","Oceania",2,127,20,35,182
1994-01-31,"Melanesia","Oceania",1,650,NA,7,657
1994-02-28,"Australia and New Zealand","Oceania",2,132,20,35,187
1994-02-28,"Melanesia","Oceania",1,650,NA,7,657
1994-03-31,"Australia and New Zealand","Oceania",2,134,36,35,205
1994-03-31,"Melanesia","Oceania",1,641,NA,7,648
1994-04-30,"Australia and New Zealand","Oceania",2,162,36,34,232
1994-04-30,"Melanesia","Oceania",1,643,NA,7,650
1994-05-31,"Australia and New Zealand","Oceania",2,161,36,36,233
1994-05-31,"Melanesia","Oceania",1,643,NA,8,651
1994-06-30,"Australia and New Zealand","Oceania",2,71,37,34,142
1994-06-30,"Melanesia","Oceania",1,641,NA,7,648
1994-07-31,"Australia and New Zealand","Oceania",2,77,37,33,147
1994-07-31,"Melanesia","Oceania",1,647,NA,8,655
1994-08-31,"Australia and New Zealand","Oceania",2,395,37,34,466
1994-08-31,"Melanesia","Oceania",1,1450,NA,8,1458
1994-09-30,"Australia and New Zealand","Oceania",2,399,303,38,740
1994-09-30,"Melanesia","Oceania",1,1454,NA,8,1462
1994-10-31,"Australia and New Zealand","Oceania",2,379,286,36,701
1994-10-31,"Melanesia","Oceania",1,1456,NA,8,1464
1994-11-30,"Australia and New Zealand","Oceania",2,321,285,36,642
1994-11-30,"Melanesia","Oceania",1,1451,NA,7,1458
1994-12-31,"Australia and New Zealand","Oceania",2,572,35,36,643
1994-12-31,"Melanesia","Oceania",1,1450,NA,7,1457
1995-01-31,"Australia and New Zealand","Oceania",2,558,19,36,613
1995-01-31,"Melanesia","Oceania",1,1457,NA,7,1464
1995-02-28,"Australia and New Zealand","Oceania",2,558,19,36,613
1995-02-28,"Melanesia","Oceania",1,1457,NA,7,1464
1995-03-31,"Australia and New Zealand","Oceania",2,552,19,49,620
1995-03-31,"Melanesia","Oceania",1,1461,10,7,1478
1995-04-30,"Australia and New Zealand","Oceania",2,697,20,34,751
1995-04-30,"Melanesia","Oceania",1,1484,10,7,1501
1995-05-31,"Australia and New Zealand","Oceania",2,535,20,34,589
1995-05-31,"Melanesia","Oceania",1,1484,8,8,1500
1995-06-30,"Australia and New Zealand","Oceania",2,565,20,35,620
1995-06-30,"Melanesia","Oceania",1,1484,10,8,1502
1995-07-31,"Australia and New Zealand","Oceania",2,569,20,34,623
