"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1990-11-30,"A3",2,2,2,NA,0,NA,NA,NA,0,NA,NA,NA,2,2,2,NA
1990-11-30,"G4",80,13.3333333333333,12,7.28468713581213,0,NA,NA,NA,0,NA,NA,NA,80,13.3333333333333,12,7.28468713581213
1990-11-30,"None",8836,110.45,9,233.528351895954,44,22,22,5.65685424949238,0,NA,NA,NA,8880,109.62962962963,9,232.164189984397
1990-11-30,"P5",1367,227.833333333333,34,326.750312420152,0,NA,NA,NA,0,NA,NA,NA,1367,227.833333333333,34,326.750312420152
1990-12-31,"A3",2,2,2,NA,0,NA,NA,NA,0,NA,NA,NA,2,2,2,NA
1990-12-31,"G4",80,13.3333333333333,12,7.28468713581213,0,NA,NA,NA,0,NA,NA,NA,80,13.3333333333333,12,7.28468713581213
1990-12-31,"None",8836,110.45,9,233.528351895954,44,22,22,5.65685424949238,0,NA,NA,NA,8880,109.62962962963,9,232.164189984397
1990-12-31,"P5",1367,227.833333333333,34,326.750312420152,0,NA,NA,NA,0,NA,NA,NA,1367,227.833333333333,34,326.750312420152
1991-01-31,"A3",2,2,2,NA,0,NA,NA,NA,0,NA,NA,NA,2,2,2,NA
1991-01-31,"G4",80,13.3333333333333,12,7.28468713581213,0,NA,NA,NA,0,NA,NA,NA,80,13.3333333333333,12,7.28468713581213
1991-01-31,"None",8836,110.45,9,233.528351895954,44,22,22,5.65685424949238,0,NA,NA,NA,8880,109.62962962963,9,232.164189984397
1991-01-31,"P5",1367,227.833333333333,34,326.750312420152,0,NA,NA,NA,0,NA,NA,NA,1367,227.833333333333,34,326.750312420152
1991-02-28,"A3",2,2,2,NA,0,NA,NA,NA,0,NA,NA,NA,2,2,2,NA
1991-02-28,"G4",80,13.3333333333333,12,7.28468713581213,0,NA,NA,NA,0,NA,NA,NA,80,13.3333333333333,12,7.28468713581213
1991-02-28,"None",8836,110.45,9,233.528351895954,44,22,22,5.65685424949238,0,NA,NA,NA,8880,109.62962962963,9,232.164189984397
1991-02-28,"P5",1367,227.833333333333,34,326.750312420152,0,NA,NA,NA,0,NA,NA,NA,1367,227.833333333333,34,326.750312420152
1991-03-31,"G4",53,10.6,12,3.84707681233427,0,NA,NA,NA,0,NA,NA,NA,53,10.6,12,3.84707681233427
1991-03-31,"None",8289,145.421052631579,12,264.17668244732,37,18.5,18.5,0.707106781186548,0,NA,NA,NA,8326,143.551724137931,13,262.222563324123
1991-03-31,"P5",1402,233.666666666667,34.5,332.697259782323,0,NA,NA,NA,0,NA,NA,NA,1402,233.666666666667,34.5,332.697259782323
