"date","n.conributors","troops","troops.mean","troops.med","troops.sd","police","police.mean","police.med","police.sd","observers","observers.mean","observers.med","observers.se","total","total.mean","total.med","total.sd","troops.gini","total.gini","total.quint.first","total.quint.second","total.quint.third","total.quint.fourth","total.quint.fifth","troops.quint.first","troops.quint.second","troops.quint.third","troops.quint.fourth","troops.quint.fifth"
1990-11-30,46,10285,223.586956521739,19,357.432546928598,44,22,22,5.65685424949238,NA,NA,NA,NA,10329,224.54347826087,21.5,357.680596592468,NA,0.725687911199787,56,157,335,2380,10329,56,172,315,2354,10285
1990-12-31,46,10285,223.586956521739,19,357.432546928598,44,22,22,5.65685424949238,NA,NA,NA,NA,10329,224.54347826087,21.5,357.680596592468,NA,0.725687911199787,56,157,335,2380,10329,56,172,315,2354,10285
1991-01-31,46,10285,223.586956521739,19,357.432546928598,44,22,22,5.65685424949238,NA,NA,NA,NA,10329,224.54347826087,21.5,357.680596592468,NA,0.725687911199787,56,157,335,2380,10329,56,172,315,2354,10285
1991-02-28,46,10285,223.586956521739,19,357.432546928598,44,22,22,5.65685424949238,NA,NA,NA,NA,10329,224.54347826087,21.5,357.680596592468,NA,0.725687911199787,56,157,335,2380,10329,56,172,315,2354,10285
1991-03-31,37,9744,263.351351351351,21,366.223764036887,37,18.5,18.5,0.707106781186548,NA,NA,NA,NA,9781,264.351351351351,32,366.521805946432,NA,0.673103120501137,49,103,300,2960,9781,49,102,281,2923,9744
1991-04-30,46,10675,232.065217391304,17,372.40631347876,38,19,19,1.4142135623731,NA,NA,NA,NA,10713,232.891304347826,20.5,372.724934518197,NA,0.728012289010913,95,137,321,2446,10713,95,137,301,2426,10675
1991-05-31,49,10662,217.591836734694,13,362.84247720644,38,19,19,1.4142135623731,NA,NA,NA,NA,10700,218.367346938776,17,363.186860415174,NA,0.740934579439252,107,131,273,1750,10700,107,131,261,1730,10662
1991-06-30,50,10657,213.14,12.5,360.272289882448,38,19,19,1.4142135623731,NA,NA,NA,NA,10695,213.9,14,360.604325531235,NA,0.7455502571295,120,136,277,1751,10695,120,136,265,1731,10657
1991-07-31,54,10824,200.444444444444,15,350.738394510279,37,18.5,18.5,2.12132034355964,NA,NA,NA,NA,10861,201.12962962963,15,351.057918475554,NA,0.752019628504298,74,186,345,1350,10861,74,186,333,1330,10824
1991-08-31,54,10798,199.962962962963,15,351.014215858064,37,18.5,18.5,2.12132034355964,NA,NA,NA,NA,10835,200.648148148148,15,351.332619768628,NA,0.753222581141363,75,199,337,1324,10835,75,199,325,1304,10798
1991-09-30,57,11138,195.40350877193,19,344.198181059417,129,11.7272727272727,10,6.64967531674907,NA,NA,NA,NA,11267,197.666666666667,20,344.871784318531,NA,0.746960149108014,96,259,456,1251,11267,96,269,423,1169,11138
1991-10-31,57,10981,192.649122807018,22,332.529026188911,NA,NA,NA,NA,NA,NA,NA,NA,10981,192.649122807018,22,332.529026188911,NA,0.740813877878377,79,230,485,1252,10981,79,230,485,1252,10981
1991-11-30,57,11209,196.649122807018,24,334.269645817996,155,11.9230769230769,10,5.64891639257092,NA,NA,NA,NA,11364,199.368421052632,30,334.712116792654,NA,0.72873401384489,87,258,589,1494,11364,87,247,540,1386,11209
1991-12-31,56,11136,198.857142857143,25,334.675225395467,155,11.9230769230769,10,5.64891639257092,NA,NA,NA,NA,11291,201.625,34,335.09372162535,NA,0.725671204625682,84,357,627,1889,11291,84,244,577,1781,11136
1992-01-31,51,11464,224.78431372549,45,345.97481490568,145,12.0833333333333,10,5.86915408700178,NA,NA,NA,NA,11609,227.627450980392,45,346.390759737284,NA,0.696207641468164,85,295,789,2808,11609,85,269,739,2682,11464
1992-02-29,53,12032,231.384615384615,43.5,341.115192655844,386,22.7058823529412,10,36.5680268572874,NA,NA,NA,NA,12418,234.301886792453,48,338.782695549911,0.0188679245283048,0.677294371833947,97,328,923,3071,12418,96,384,785,2710,12032
1992-03-31,55,14183,267.603773584906,57,367.044135871688,494,24.7,10,35.5440423611105,NA,NA,NA,NA,14677,266.854545454545,60,366.118803738866,0.0363636363636388,0.66096242110414,101,378,1030,4609,14677,123,344,957,4256,14183
1992-04-30,60,23866,411.48275862069,74.5,578.014090806793,1132,31.4444444444444,14.5,34.0012137971946,NA,NA,NA,NA,24998,416.633333333333,88.5,584.041006415766,0.033333333333335,0.655160412833027,174,555,1699,9165,24998,121,406,1395,8452,23866
1992-05-31,60,23866,411.48275862069,74.5,578.014090806793,1132,31.4444444444444,14.5,34.0012137971946,NA,NA,NA,NA,24998,416.633333333333,88.5,584.041006415766,0.033333333333335,0.655160412833027,174,555,1699,9165,24998,121,406,1395,8452,23866
1992-06-30,60,23866,411.48275862069,74.5,578.014090806793,1132,31.4444444444444,14.5,34.0012137971946,NA,NA,NA,NA,24998,416.633333333333,88.5,584.041006415766,0.033333333333335,0.655160412833027,174,555,1699,9165,24998,121,406,1395,8452,23866
1992-07-31,60,23866,411.48275862069,74.5,578.014090806793,1132,31.4444444444444,14.5,34.0012137971946,NA,NA,NA,NA,24998,416.633333333333,88.5,584.041006415766,0.033333333333335,0.655160412833027,174,555,1699,9165,24998,121,406,1395,8452,23866
1992-08-31,60,37814,879.395348837209,867,790.306725854103,3886,94.780487804878,88,71.209378664303,2138,39.5925925925926,31.5,33.3373372857309,43838,730.633333333333,574,806.046723772236,0.283333333333335,0.5357178703408,328,1949,8901,21307,43838,530,4517,12061,20205,37814
1992-09-30,65,38235,868.977272727273,860.5,783.581238679815,3769,91.9268292682927,84,59.4749486102773,2129,36.0847457627119,29,32.3649918018034,44133,678.969230769231,488,798.820399269111,0.323076923076922,0.568041706101662,211,1569,7446,20157,44133,521,4872,12372,20627,38235
1992-10-31,64,37931,862.068181818182,807.5,769.088388113812,4252,103.707317073171,84,81.0660976926974,2045,35.2586206896552,29,31.6563567767979,44228,691.0625,526,796.001074319288,0.3125,0.556627730170932,225,1788,7834,20375,44228,634,5310,11741,20523,37931
1992-11-30,63,44764,994.755555555556,775,1053.23812717032,4186,104.65,90.5,81.9688965400901,2041,35.8070175438597,28,31.5076173309675,50991,809.380952380952,560,1035.77967249503,0.285714285714288,0.57935589629418,251,1792,9451,21331,50991,927,5606,12816,21811,44764
1992-12-31,63,45775,1017.22222222222,821,1091.41482174804,4413,105.071428571429,88,82.1576096432926,2066,36.2456140350877,29,30.9869100829887,52254,829.428571428571,580,1070.70029411394,0.285714285714288,0.579293694232264,262,1815,9663,21853,52254,915,5702,13054,22394,45775
1993-01-31,67,44607,949.085106382979,758,1110.22976137114,5215,118.522727272727,75.5,127.967017668592,2373,38.9016393442623,22,55.4501893348234,52195,779.029850746269,528,1066.91919790254,0.298507462686569,0.602906151301163,175,1505,8159,20663,52195,420,4148,11096,19989,44607
1993-02-28,69,45829,954.770833333333,834.5,1119.49917068918,5201,113.065217391304,75,127.683184688407,2313,37.9180327868852,25,53.323007880266,53343,773.086956521739,487,1074.21793356746,0.304347826086957,0.615866635041964,112,1291,7362,21049,53343,326,3544,11464,20771,45829
1993-03-31,69,46556,969.916666666667,864,1107.9329773364,5233,116.288888888889,75,126.925823402744,2255,38.8793103448276,25,54.3355647759001,54044,783.246376811594,498,1067.79458541477,0.304347826086957,0.608114805005904,143,1290,7751,21802,54044,363,3975,13048,21595,46556
1993-04-30,70,49473,1030.6875,870,1130.11666044856,5624,117.166666666667,75,133.926517377021,2299,38.9661016949153,25,55.8022883295754,57396,819.942857142857,530,1088.16623950723,0.314285714285713,0.596146570691834,127,1469,9216,23999,57396,440,4851,13316,23787,49473
1993-05-31,71,67216,1222.10909090909,906,1379.84971904119,5187,110.36170212766,74,126.561623679313,2251,36.9016393442623,23,50.961980900155,74654,1051.46478873239,729,1360.29735017213,0.225352112676056,0.58861632839877,378,3216,13314,31232,74654,749,6100,15831,31412,67216
1993-06-30,73,70721,1262.875,935.5,1482.59059588276,4799,109.068181818182,62.5,128.427773154982,2276,36.1269841269841,24,50.4791531750874,77796,1065.69863013699,754,1441.93076275577,0.232876712328768,0.590946676837278,433,3183,14034,30806,77796,1253,7528,17723,33278,70721
1993-07-31,72,69982,1272.4,926,1480.90494855904,5355,111.5625,71.5,126.103285301493,2320,37.4193548387097,21,56.0563382845511,77657,1078.56944444444,779,1441.98382349533,0.236111111111111,0.584268535568805,453,3552,14231,30880,77657,959,7327,17254,32606,69982
1993-08-31,71,69934,1319.50943396226,956,1553.66246733623,2973,66.0666666666667,29,117.985438238639,2303,36.5555555555556,19,55.1998649419157,75210,1059.29577464789,661,1482.57847197149,0.253521126760564,0.607079894604965,269,2993,12712,29968,75210,1099,6523,16696,31395,69934
1993-09-30,72,71731,1353.41509433962,919,1590.3536911155,2005,48.9024390243902,28,113.663715599581,2422,38.4444444444444,24,54.3723060964945,76158,1057.75,680.5,1497.79273985064,0.263888888888889,0.624502131533566,208,1939,11122,27721,76158,719,6202,16566,31131,71731
1993-10-31,71,71717,1280.66071428571,864,1576.17791193283,1039,26.6410256410256,26,23.3367647370852,2297,37.655737704918,27,53.30349746058,75053,1057.08450704225,676,1507.19238270064,0.2112676056338,0.631666673860332,243,1969,11052,28112,75053,608,5595,15394,31007,71717
1993-11-30,68,68722,1374.44,887,1491.11417266364,1046,30.7647058823529,32.5,22.7303812490916,2349,39.8135593220339,30,52.1455107917593,72117,1060.54411764706,669,1425.8350832378,0.264705882352942,0.621377312520748,309,1830,10827,26498,72117,1136,6806,16152,31190,68722
